Jurisdiction,Inspected,ObsWeather,FacilityID,AvgDischarge,ObsRecordDate,FlowContribution,FlowCondition,PersistentFlow,FlowConnectivity,IDIC,Priority,PrioritizationScore2022,Conductivity,FloatDischargeCFS,VolumeDischargeCFS,LastDischargeTrend,ScourWaterCondition,DissWaterCondition,Comments,TrashCondition,TrashLocation,SampleDry,SampleWet,OCFSLocation,MaintenanceIssue,PointY,PointX
Rancho Santa Margarita,Verified,1,L02-166-2 (L02P25),0.235352,2024-08-22,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,None,Not A Priority,NA,NA,0.162,0.111,Below Average Discharge,Not present,"Brown ""tea"" tint",NA,Sparse (<10 Items),In flow path of outfall,NA,Yes,NA,None,33.63762571,-117.61788005
Rancho Santa Margarita,Verified,2,L02-166-2 (L02P25),0.235352,2024-01-21,NA,Flowing,Yes,NA,NA,Not A Priority,NA,894,NA,NA,Below Average Discharge,Clear,Clear,NA,Abundant (>50 Items),In flow path of outfall,NA,Yes,NA,NA,33.63762571,-117.61788005
Rancho Santa Margarita,Verified,1,L02-166-2 (L02P25),0.235352,2024-06-20,Small Fraction (<10%),Flowing,Yes,Undetermined,Oil sheen,Not A Priority,NA,1772,0.14,NA,Below Average Discharge,Not present,Not present,Site observed to have an oil sheen and trash accumulation.,Sparse (<10 Items),In flow path of outfall,NA,Yes,NA,Graffiti,33.63762571,-117.61788005
Rancho Santa Margarita,Verified,1,L02-166-2 (L02P25),0.235352,2024-06-19,NA,Flowing,Yes,Undetermined,Surfactants,Not A Priority,NA,NA,0.294,NA,Below Average Discharge,Not present,Not present,Code Enforcement was able to locate a resident washing their cars. Notice was given to the resident along with educational materials.,Sparse (<10 Items),In flow path of outfall,NA,Yes,NA,Graffiti,33.63762571,-117.61788005
Rancho Santa Margarita,Verified,1,L02-166-2 (L02P25),0.235352,2023-11-20,NA,Flowing,Yes,Undetermined,NA,Not A Priority,NA,NA,NA,0.057,Below Average Discharge,Not present,Clear,Flow meter install,Abundant (>50 Items),In flow path of outfall,NA,Yes,NA,NA,33.63762571,-117.61788005
Laguna Niguel,Verified,1,L03-708-9,0.049438,2024-07-15,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,53,3770,0.008072,0.012,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.56260115,-117.67593957
Laguna Niguel,Verified,1,L03-708-9,0.049438,2024-05-13,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,53,3206,0.111724,0.03,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.56260115,-117.67593957
Dana Point,Verified,1,DP06-12106-1,0.254075,2024-06-27,Small Fraction (<10%),Pooled or Ponded,Yes,None - Flow Infiltrates or Outfall is Dry,NA,Not A Priority,NA,8300,0.134043,0.038,Below Average Discharge,Not present,Not present,Volumetric Flow: 3.25L/3sec (0.038 cfs) Flow Measurements collected 10m downstream.,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,NA,33.46389083,-117.6883989
Dana Point,Verified,1,DP06-12106-1,0.254075,2024-08-26,Small Fraction (<10%),Pooled or Ponded,Yes,Undetermined,None,Not A Priority,NA,7197,0.063158,NA,Below Average Discharge,Not present,Not present,Measurements collected app 10 m ds from discharge point,Not Present (0 Items),NA,NA,NA,NA,None,33.46389083,-117.6883989
San Clemente,Verified,1,M01-124-4,0.001617,2024-05-22,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,NA,NA,NA,NA,NA,20% Or More Above Average Discharge,Not present,Not present,No flow. Evidence of past flow due to brown sludge stain coming from outfall.,Not Present (0 Items),NA,NA,NA,NA,Graffiti,33.46508952,-117.63910936
San Clemente,Verified,1,M01-124-4,0.001617,2024-08-19,NA,Flowing,Unknown,Partial - Significant Distance,NA,NA,NA,2730,0.003653,0.005,20% Or More Above Average Discharge,Not present,Not present,Volumetric: 0.005 cfs; .75 liters in 5 sec,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,NA,33.46508952,-117.63910936
