Time,L03_708_11,L03_708_11,J03_9216_2,J03_9216_2,L05_049_1,L02_166_2
and,262,262,262,262,262,262
Date,Mean,Mean,Mean,Inst,Inst,Inst
10/1/2023 0:00,0.004,0.004,,,,
10/2/2023 0:00,0.003,0.003,,,,
10/3/2023 0:00,0.002,0.002,,,,
10/4/2023 0:00,0.004,0.004,,,,
10/5/2023 0:00,0.004,0.004,,,,
10/6/2023 0:00,0.004,0.004,,,,
10/7/2023 0:00,0.004,0.004,,,,
10/8/2023 0:00,0.004,0.004,,,,
10/9/2023 0:00,0.003,0.003,,,,
10/10/2023 0:00,0.004,0.004,,,,
10/11/2023 0:00,0.004,0.004,,,,
10/12/2023 0:00,0.006,0.006,,,,
10/13/2023 0:00,0.004,0.004,,,,
10/14/2023 0:00,0.003,0.003,,,,
10/15/2023 0:00,0.004,0.004,,,,
10/16/2023 0:00,0.002,0.002,,,,
10/17/2023 0:00,0.003,0.003,,,,
10/18/2023 0:00,0.007,0.007,,,,
10/19/2023 0:00,0.006,0.006,,,,
10/20/2023 0:00,0.006,0.006,,,,
10/21/2023 0:00,0.004,0.004,,,,
10/22/2023 0:00,0.004,0.004,,,,
10/23/2023 0:00,0.002,0.002,,,,
10/24/2023 0:00,0.005,0.005,,,,
10/25/2023 0:00,0.003,0.003,,,,
10/26/2023 0:00,0.003,0.003,,,,
10/27/2023 0:00,0.002,0.002,,,,
10/28/2023 0:00,0.002,0.002,,,,
10/29/2023 0:00,0.001,0.001,,,,
10/30/2023 0:00,0.005,0.005,,,,
10/31/2023 0:00,0.004,0.004,,,,
11/1/2023 0:00,0.002,0.002,,,,
11/2/2023 0:00,0.001,0.001,,,,
11/3/2023 0:00,0.002,0.002,,,,
11/4/2023 0:00,,,,,,
11/5/2023 0:00,,,,,,
11/6/2023 0:00,,,,,,
11/7/2023 0:00,,,,,,
11/8/2023 0:00,,,,,,
11/9/2023 0:00,,,,,,
11/10/2023 0:00,,,,,,
11/11/2023 0:00,,,,,,
11/12/2023 0:00,,,,,,
11/13/2023 0:00,,,,,,
11/14/2023 0:00,,,,,,
11/15/2023 0:00,,,,,,
11/16/2023 0:00,,,,,,
11/17/2023 0:00,,,,,,
11/18/2023 0:00,,,,,,
11/19/2023 0:00,,,,,,
11/20/2023 0:00,,,,,,
11/21/2023 0:00,,,,,,0.065
11/22/2023 0:00,,,,,,0.016
11/23/2023 0:00,,,,,,0.025
11/24/2023 0:00,,,,,,0.034
11/25/2023 0:00,,,,,,0.028
11/26/2023 0:00,,,,,,0.017
11/27/2023 0:00,,,,,,0.013
11/28/2023 0:00,,,,,,0.026
11/29/2023 0:00,,,,,,0.018
11/30/2023 0:00,,,,,,0.028
12/1/2023 0:00,,,,,,0.026
12/2/2023 0:00,,,,,,0.022
12/3/2023 0:00,,,,,,0.019
12/4/2023 0:00,,,,,,0.029
12/5/2023 0:00,,,,,,0.017
12/6/2023 0:00,,,,,,0.018
12/7/2023 0:00,,,,,,0.019
12/8/2023 0:00,,,,,,0.027
12/9/2023 0:00,,,,,,0.018
12/10/2023 0:00,,,,,,0.014
12/11/2023 0:00,,,,,,0.017
12/12/2023 0:00,,,,,,0.02
12/13/2023 0:00,,,,,,0.029
12/14/2023 0:00,,,,,,0.024
12/15/2023 0:00,,,,,,0.015
12/16/2023 0:00,,,,0.015,,0.021
12/17/2023 0:00,,,0.511,0.012,,0.02
12/18/2023 0:00,,,0.591,0.037,,0.027
12/19/2023 0:00,,,1.11,0.334,,0.259
12/20/2023 0:00,,,0.736,0.04,,0.049
12/21/2023 0:00,,,4.79,0.275,,0.102
12/22/2023 0:00,,,2.43,45.9,,0
12/23/2023 0:00,,,5.62,0.029,,0.037
12/24/2023 0:00,,,0.537,0.018,,0.022
12/25/2023 0:00,,,0.523,0.016,,0.016
12/26/2023 0:00,,,0.514,0.027,,0.025
12/27/2023 0:00,,,0.526,0.021,,0.021
12/28/2023 0:00,,,0.552,0.039,,0.034
12/29/2023 0:00,,,0.537,0.016,,0.021
12/30/2023 0:00,,,0.544,0.036,,0.042
12/31/2023 0:00,,,4.18,0.34,,0.046
1/1/2024 0:00,,,2.03,0.018,,0.024
1/2/2024 0:00,,,0.817,0.013,,0.021
1/3/2024 0:00,,,0.527,0.019,,0.02
1/4/2024 0:00,,,6.32,0.015,,0.02
1/5/2024 0:00,,,0.488,0.013,,0.023
1/6/2024 0:00,,,0.508,0.015,,0.018
1/7/2024 0:00,,,0.566,0.027,,0.035
1/8/2024 0:00,,,0.545,0.014,,0.012
1/9/2024 0:00,,,0.46,0.01,,0.016
1/10/2024 0:00,,,0.512,0.014,,0.018
1/11/2024 0:00,,,0.624,0.052,,0.039
1/12/2024 0:00,,,0.62,0.014,,0.022
1/13/2024 0:00,,,0.551,0.022,,0.019
1/14/2024 0:00,,,0.591,0.019,,0.025
1/15/2024 0:00,,,0.614,0.02,,0.026
1/16/2024 0:00,,,0.642,0.022,,0.026
1/17/2024 0:00,,,0.661,0.047,,0.04
1/18/2024 0:00,,,0.766,0.04,,0.046
1/19/2024 0:00,,,0.688,0.024,,0.023
1/20/2024 0:00,,,0.722,0.05,,0.034
1/21/2024 0:00,,,7.15,1.03,,0.161
1/22/2024 0:00,,,2,0.043,,0.052
1/23/2024 0:00,,,12.8,0.124,,0.072
1/24/2024 0:00,,,0.863,0.032,,0.035
1/25/2024 0:00,,,0.568,0.032,,0.041
1/26/2024 0:00,,,0.63,0.021,,0.025
1/27/2024 0:00,,,0.56,0.025,,0.013
1/28/2024 0:00,,,0.572,0.022,,0.03
1/29/2024 0:00,,,0.569,0.017,,0.023
1/30/2024 0:00,,,0.561,0.017,,0.026
1/31/2024 0:00,,,0.548,0.017,,0.024
2/1/2024 0:00,,,1.03,0.146,,0.027
2/2/2024 0:00,,,13.1,1.04,,1.44
2/3/2024 0:00,,,3.32,0.052,,0.036
2/4/2024 0:00,,,0.796,0.055,,0.044
2/5/2024 0:00,,,7.82,20.1,,0
2/6/2024 0:00,,,38.1,38.5,,1.73
2/7/2024 0:00,,,25.5,0.486,,0.385
2/8/2024 0:00,,,7.04,23.2,,0.754
2/9/2024 0:00,,,5.11,0.7,,0.181
2/10/2024 0:00,,,7.56,0.175,,0.05
2/11/2024 0:00,,,1.53,0.098,,0.042
2/12/2024 0:00,,,1.12,0.053,,0.026
2/13/2024 0:00,,,0.941,0.044,,0.027
2/14/2024 0:00,,,0.868,0.051,,0.042
2/15/2024 0:00,,,0.854,0.041,,0.031
2/16/2024 0:00,,,0.861,0.071,0.347,0.061
2/17/2024 0:00,,,0.867,0.059,0.348,0.046
2/18/2024 0:00,,,0.799,0.047,0.315,0.039
2/19/2024 0:00,,,0.836,0.042,0.316,0.035
