Time,J01_9005_3,J01_9005_3,J01_9005_3,NARCO_LAPAZ,NARCO_LAPAZ,J01_9364_3,J01_9364_3,J01_9364_3
and,236.34,231,262,232.37,262,236.34,231,262
Date,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
10/1/2023 0:00,60.5,2.97,0.002,3.24,14.9,,,
10/2/2023 0:00,60.5,2.91,0,3.01,15.1,,,
10/3/2023 0:00,60.7,2.76,0,2.71,12.7,,,
10/4/2023 0:00,60.6,2.82,0,2.65,12.1,,,
10/5/2023 0:00,60.6,2.84,0,2.69,13.5,,,
10/6/2023 0:00,60.6,2.82,0,2.81,14.2,,,
10/7/2023 0:00,60.7,2.77,0,2.9,14.8,,,
10/8/2023 0:00,60.7,2.7,0,3,16.2,,,
10/9/2023 0:00,60.6,2.8,0,3.22,17.7,,,
10/10/2023 0:00,60.8,2.69,0,3.07,14.2,,,
10/11/2023 0:00,60.3,3.19,0,3.27,16,,,
10/12/2023 0:00,60.4,3.09,0.003,3.06,15.8,,,
10/13/2023 0:00,60.5,2.96,0,3.29,18.2,,,
10/14/2023 0:00,60.5,2.98,0,3.13,16.8,,,
10/15/2023 0:00,60.5,2.9,0,2.97,17.1,,,
10/16/2023 0:00,60.5,3,0,2.99,16.4,,,
10/17/2023 0:00,60.5,2.93,0.014,3.01,14,,,
10/18/2023 0:00,60.5,2.92,0,2.99,14,,,
10/19/2023 0:00,60.4,3.06,0,2.83,12.7,,,
10/20/2023 0:00,60.4,3.07,0,2.88,14.4,,,
10/21/2023 0:00,60.3,3.11,0,3.04,16.4,,,
10/22/2023 0:00,60.4,3.08,0,3.27,17.2,,,
10/23/2023 0:00,59.8,3.61,0.761,3.36,17.1,,,
10/24/2023 0:00,60.4,3.08,0,3.09,15.5,,,
10/25/2023 0:00,60.5,3,0,3.61,20.8,,,
10/26/2023 0:00,60.4,3.04,0,3.15,15.1,,,
10/27/2023 0:00,60.5,3,0,3.24,17,,,
10/28/2023 0:00,60.6,2.86,0,3.11,16.1,,,
10/29/2023 0:00,60.8,2.61,0,3.15,18.9,,,
10/30/2023 0:00,60.9,2.57,0,3.25,22.1,,,
10/31/2023 0:00,61,2.5,0,3.29,23,,,
11/1/2023 0:00,61,2.43,0,3.33,22.8,,,
11/2/2023 0:00,60.9,2.54,0,3.38,23.2,,,
11/3/2023 0:00,60.9,2.56,0,3.39,23.3,,,
11/4/2023 0:00,,,,,,,,
11/5/2023 0:00,60.8,2.62,0,3.15,18.9,,,
11/6/2023 0:00,60.6,2.8,0,3.21,18.1,,,
11/7/2023 0:00,60.5,2.96,0,3.29,15.8,,,
11/8/2023 0:00,60.5,2.99,0,3.15,17.7,,,
11/9/2023 0:00,60.1,3.31,0.017,3.26,20.6,,,
11/10/2023 0:00,60.3,3.18,0.003,3.5,23.9,,,
11/11/2023 0:00,,,,3.33,22.8,,,
11/12/2023 0:00,,,,3.2,20.5,,,
11/13/2023 0:00,,,,3.43,21.1,,,
11/14/2023 0:00,,,,3.19,19.6,,,
11/15/2023 0:00,,,,4.04,31.2,,,
11/16/2023 0:00,54.2,9.25,11.5,3.03,13,,,
11/17/2023 0:00,,,,2.72,10.3,,,
11/18/2023 0:00,57.1,6.31,3.49,2.88,9.19,,,
11/19/2023 0:00,,,,2.77,9.44,,,
11/20/2023 0:00,,,,2.9,14.4,,,
11/21/2023 0:00,,,,3.02,18.1,,,
11/22/2023 0:00,,,,2.93,16.4,,,
11/23/2023 0:00,,,,2.94,11.7,,,
11/24/2023 0:00,,,,2.98,11.7,,,
11/25/2023 0:00,,,,3.13,16.7,,,
