Time,J01_9007_1,J01_9007_1,J01_9007_1
and,236.34,231,262
Date,Mean,Mean,Mean
10/1/2023 0:00,56.2,0.75,0.033
10/2/2023 0:00,56.2,0.76,0.034
10/3/2023 0:00,56.3,0.66,0.026
10/4/2023 0:00,56.3,0.73,0.031
10/5/2023 0:00,56.2,0.8,0.039
10/6/2023 0:00,56.2,0.79,0.037
10/7/2023 0:00,56.2,0.76,0.035
10/8/2023 0:00,56.2,0.76,0.034
10/9/2023 0:00,56.3,0.7,0.03
10/10/2023 0:00,56.1,0.85,0.048
10/11/2023 0:00,56,0.99,0.086
10/12/2023 0:00,56.3,0.68,0.027
10/13/2023 0:00,56.3,0.66,0.026
10/14/2023 0:00,56.3,0.74,0.033
10/15/2023 0:00,56.3,0.73,0.033
10/16/2023 0:00,56.2,0.8,0.038
10/17/2023 0:00,56.3,0.69,0.029
10/18/2023 0:00,56.3,0.73,0.032
10/19/2023 0:00,56.2,0.76,0.034
10/20/2023 0:00,56.2,0.76,0.034
10/21/2023 0:00,56.3,0.69,0.028
10/22/2023 0:00,56.2,0.74,0.033
10/23/2023 0:00,56.1,0.85,0.059
10/24/2023 0:00,56.3,0.72,0.031
10/25/2023 0:00,56.2,0.76,0.034
10/26/2023 0:00,56.2,0.75,0.035
10/27/2023 0:00,56.3,0.68,0.027
10/28/2023 0:00,56.3,0.65,0.025
10/29/2023 0:00,56.3,0.65,0.027
10/30/2023 0:00,56.4,0.61,0.023
10/31/2023 0:00,56.2,0.75,0.055
11/1/2023 0:00,56.3,0.64,0.026
11/2/2023 0:00,56.3,0.65,0.026
11/3/2023 0:00,56.3,0.69,0.029
11/4/2023 0:00,,,
11/5/2023 0:00,56.3,0.7,0.029
11/6/2023 0:00,56.4,0.64,0.025
11/7/2023 0:00,56.3,0.73,0.031
11/8/2023 0:00,56.3,0.73,0.032
11/9/2023 0:00,56.4,0.54,0.019
11/10/2023 0:00,56.3,0.65,0.027
11/11/2023 0:00,56.3,0.7,0.03
11/12/2023 0:00,56.3,0.73,0.032
11/13/2023 0:00,56.2,0.79,0.038
11/14/2023 0:00,56.1,0.93,0.053
11/15/2023 0:00,55,2,0.471
11/16/2023 0:00,55.9,1.07,0.073
11/17/2023 0:00,56.3,0.72,0.031
11/18/2023 0:00,56.2,0.77,0.036
11/19/2023 0:00,56.2,0.79,0.04
11/20/2023 0:00,56.3,0.69,0.029
11/21/2023 0:00,56.5,0.52,0.018
11/22/2023 0:00,56.5,0.49,0.015
11/23/2023 0:00,56.5,0.53,0.016
11/24/2023 0:00,56.5,0.52,0.015
11/25/2023 0:00,56.5,0.45,0.012
11/26/2023 0:00,56.6,0.41,0.01
11/27/2023 0:00,56.2,0.75,0.034
11/28/2023 0:00,56.3,0.7,0.03
11/29/2023 0:00,56.3,0.68,0.03
11/30/2023 0:00,56.1,0.87,0.094
12/1/2023 0:00,56.5,0.52,0.015
12/2/2023 0:00,56.5,0.45,0.011
12/3/2023 0:00,56.5,0.45,0.012
12/4/2023 0:00,56.5,0.51,0.015
12/5/2023 0:00,56.5,0.5,0.015
12/6/2023 0:00,56.5,0.47,0.013
12/7/2023 0:00,56.4,0.55,0.017
12/8/2023 0:00,56.6,0.43,0.011
12/9/2023 0:00,56.5,0.48,0.014
12/10/2023 0:00,56.5,0.47,0.014
12/11/2023 0:00,56.5,0.54,0.019
12/12/2023 0:00,56.6,0.4,0.01
12/13/2023 0:00,56.6,0.42,0.011
12/14/2023 0:00,56.5,0.51,0.016
12/15/2023 0:00,56.5,0.5,0.015
12/16/2023 0:00,56.5,0.48,0.014
12/17/2023 0:00,56.4,0.58,0.02
12/18/2023 0:00,56.3,0.72,0.055
12/19/2023 0:00,56.4,0.58,0.02
12/20/2023 0:00,55.9,1.07,0.274
12/21/2023 0:00,55.7,1.25,0.203
12/22/2023 0:00,,,
12/23/2023 0:00,56.4,0.58,0.019
12/24/2023 0:00,56.4,0.56,0.017
12/25/2023 0:00,56.5,0.49,0.014
12/26/2023 0:00,56.5,0.54,0.016
12/27/2023 0:00,56.4,0.59,0.02
12/28/2023 0:00,56.4,0.55,0.018
12/29/2023 0:00,56.4,0.56,0.017
12/30/2023 0:00,55.5,1.46,0.294
12/31/2023 0:00,55.9,1.12,0.122
1/1/2024 0:00,,,
1/2/2024 0:00,56.5,0.47,0.013
1/3/2024 0:00,55.8,1.17,0.201
1/4/2024 0:00,56.5,0.5,0.015
1/5/2024 0:00,56.5,0.49,0.015
1/6/2024 0:00,56.5,0.51,0.015
1/7/2024 0:00,56.3,0.66,0.027
1/8/2024 0:00,56.5,0.47,0.013
1/9/2024 0:00,56.6,0.43,0.012
1/10/2024 0:00,56.4,0.56,0.018
1/11/2024 0:00,56.3,0.64,0.029
1/12/2024 0:00,56.5,0.49,0.015
1/13/2024 0:00,56.5,0.44,0.012
