Time,J07_9109_4,J07_9109_4,J07_9109_4,J07_9110_3,J07_9110_3,J07_9110_3,J07_9110_2,J07_9110_2,J07_9110_2
and,236.34,231,262,236.34,231,262,236.34,231,262
Date,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
10/1/2023 0:00,66.2,0.33,0.015,,,,,,
10/2/2023 0:00,66.2,0.37,0.019,,,,,,
10/3/2023 0:00,66.2,0.38,0.023,26.4,-0.3,0,,,
10/4/2023 0:00,66.2,0.36,0.021,26.5,-0.33,0,,,
10/5/2023 0:00,66.2,0.36,0.02,26.4,-0.3,0,,,
10/6/2023 0:00,66.2,0.35,0.017,26.5,-0.35,0,,,
10/7/2023 0:00,66.1,0.38,0.021,26.6,-0.46,0,,,
10/8/2023 0:00,66.2,0.28,0.013,26.5,-0.4,0,,,
10/9/2023 0:00,66.1,0.4,0.024,26.5,-0.36,0,,,
10/10/2023 0:00,66.1,0.43,0.028,26.6,-0.44,0,,,
10/11/2023 0:00,66,0.53,0.048,26.6,-0.43,0,,,
10/12/2023 0:00,66.2,0.36,0.02,26.6,-0.45,0,,,
10/13/2023 0:00,66.2,0.38,0.02,26.6,-0.44,0,,,
10/14/2023 0:00,66.1,0.43,0.025,26.6,-0.45,0,,,
10/15/2023 0:00,66.3,0.27,0.011,26.5,-0.41,0,,,
10/16/2023 0:00,66.2,0.36,0.019,26.5,-0.38,0,,,
10/17/2023 0:00,66.1,0.41,0.028,26.5,-0.42,0,,,
10/18/2023 0:00,66.1,0.4,0.026,26.6,-0.47,0,,,
10/19/2023 0:00,66.2,0.34,0.017,26.6,-0.48,0,,,
10/20/2023 0:00,66.2,0.37,0.02,26.6,-0.44,0,,,
10/21/2023 0:00,66.2,0.31,0.013,26.6,-0.49,0,,,
10/22/2023 0:00,66.2,0.38,0.019,26.6,-0.47,0,,,
10/23/2023 0:00,66.1,0.42,0.026,26.6,-0.5,0,,,
10/24/2023 0:00,66.1,0.4,0.021,26.5,-0.38,0,,,
10/25/2023 0:00,66.1,0.44,0.033,26.6,-0.45,0,,,
10/26/2023 0:00,66.2,0.35,0.017,26.5,-0.38,0,,,
10/27/2023 0:00,66.2,0.34,0.016,26.5,-0.38,0,,,
10/28/2023 0:00,66.2,0.31,0.012,26.6,-0.47,0,,,
10/29/2023 0:00,66.1,0.4,0.026,26.6,-0.5,0,,,
10/30/2023 0:00,66.2,0.28,0.015,26.6,-0.43,0,,,
10/31/2023 0:00,66.3,0.27,0.011,26.5,-0.35,0,,,
11/1/2023 0:00,66.2,0.3,0.012,26.5,-0.35,0,,,
11/2/2023 0:00,66.2,0.32,0.014,26.5,-0.35,0,,,
11/3/2023 0:00,66.3,0.26,0.01,26.4,-0.32,0,,,
11/4/2023 0:00,66.3,0.27,0.01,,,,,,
11/5/2023 0:00,66.2,0.31,0.013,26.4,-0.32,0,,,
11/6/2023 0:00,66.1,0.39,0.022,26.5,-0.34,0,,,
11/7/2023 0:00,66.2,0.37,0.018,26.4,-0.31,0,,,
11/8/2023 0:00,65,1.52,0.452,26.4,-0.28,0,,,
11/9/2023 0:00,66.1,0.38,0.031,26.5,-0.38,0,,,
11/10/2023 0:00,66,0.49,0.042,26.5,-0.41,0,,,
11/11/2023 0:00,65.9,0.66,0.064,26.5,-0.36,0,,,
11/12/2023 0:00,66.1,0.46,0.033,26.5,-0.38,0,,,
11/13/2023 0:00,65.8,0.74,0.101,26.6,-0.43,0,,,
11/14/2023 0:00,64.9,1.59,0.385,26.5,-0.41,0,,,
11/15/2023 0:00,64.9,1.67,0.8,26.3,-0.18,0.012,,,
11/16/2023 0:00,66.1,0.47,0.033,,,,,,
11/17/2023 0:00,66.2,0.37,0.018,26.6,-0.47,0,,,
11/18/2023 0:00,66.1,0.4,0.02,26.7,-0.53,0,,,
11/19/2023 0:00,66.2,0.34,0.016,26.6,-0.52,0,,,
11/20/2023 0:00,66.1,0.44,0.027,26.6,-0.44,0,,,
11/21/2023 0:00,66.2,0.33,0.017,26.7,-0.53,0,,,
11/22/2023 0:00,66.1,0.4,0.023,26.6,-0.44,0,,,
11/23/2023 0:00,66.1,0.43,0.025,26.6,-0.44,0,,,
11/24/2023 0:00,66.1,0.43,0.025,26.5,-0.37,0,,,
11/25/2023 0:00,66.2,0.37,0.017,26.6,-0.51,0,,,
11/26/2023 0:00,66.2,0.35,0.016,26.7,-0.54,0,,,
11/27/2023 0:00,66.1,0.41,0.023,26.6,-0.49,0,,,
11/28/2023 0:00,66.1,0.42,0.025,26.6,-0.46,0,,,
11/29/2023 0:00,66,0.48,0.031,26.6,-0.49,0,,,
11/30/2023 0:00,65.9,0.64,0.189,26.6,-0.48,0,,,
12/1/2023 0:00,66.1,0.43,0.024,26.6,-0.48,0,,,
12/2/2023 0:00,66.1,0.44,0.025,26.7,-0.55,0,,,
12/3/2023 0:00,66,0.51,0.034,26.7,-0.53,0,,,
12/4/2023 0:00,66,0.54,0.041,26.6,-0.51,0,,,
12/5/2023 0:00,,,,26.7,-0.53,0,,,
12/6/2023 0:00,66,0.57,0.044,26.6,-0.49,0,,,
12/7/2023 0:00,,,,26.5,-0.41,0,,,
12/8/2023 0:00,,,,26.4,-0.29,0,,,
12/9/2023 0:00,,,,26.4,-0.3,0,,,
12/10/2023 0:00,,,,26.4,-0.3,0,,,
12/11/2023 0:00,,,,26.4,-0.29,0,,,
12/12/2023 0:00,,,,26.4,-0.3,0,,,
12/13/2023 0:00,,,,26.4,-0.27,0,,,
12/14/2023 0:00,,,,26.4,-0.28,0,,,
12/15/2023 0:00,,,,26.4,-0.31,0,,,
12/16/2023 0:00,,,,26.4,-0.32,0,,,
12/17/2023 0:00,66.1,0.39,0.018,26.6,-0.44,0,,,
12/18/2023 0:00,66,0.57,0.077,26.4,-0.28,0,,,
12/19/2023 0:00,65.9,0.58,0.062,,,,,,
12/20/2023 0:00,64.4,2.15,2.64,,,,,,
12/21/2023 0:00,65.6,0.93,0.206,,,,,,
12/22/2023 0:00,64,2.5,2.8,,,,,,
12/23/2023 0:00,66,0.51,0.034,,,,,,
12/24/2023 0:00,66.1,0.46,0.029,,,,,,
12/25/2023 0:00,,,,,,,,,
12/26/2023 0:00,,,,,,,,,
12/27/2023 0:00,66,0.51,0.039,,,,,,
12/28/2023 0:00,65.3,1.2,0.211,,,,,,
12/29/2023 0:00,65.2,1.31,0.279,,,,,,
12/30/2023 0:00,64.7,1.88,1.44,,,,,,
12/31/2023 0:00,65.7,0.87,0.187,,,,,,
1/1/2024 0:00,66.1,0.4,0.019,,,,,,
1/2/2024 0:00,66.2,0.38,0.017,,,,,,
1/3/2024 0:00,65.9,0.65,0.059,,,,,,
1/4/2024 0:00,66.1,0.41,0.021,,,,,,
1/5/2024 0:00,66.1,0.43,0.025,,,,,,
1/6/2024 0:00,66.1,0.42,0.021,,,,,,
1/7/2024 0:00,,,,,,,,,
1/8/2024 0:00,,,,,,,,,
1/9/2024 0:00,,,,,,,,,
1/10/2024 0:00,,,,,,,,,
1/11/2024 0:00,,,,,,,,,
1/12/2024 0:00,,,,,,,,,
1/13/2024 0:00,,,,,,,,,
1/14/2024 0:00,65.9,0.67,0.079,,,,,,
1/15/2024 0:00,66.1,0.46,0.027,,,,,,
1/16/2024 0:00,66.1,0.46,0.027,,,,,,
1/17/2024 0:00,66,0.52,0.036,,,,,,
1/18/2024 0:00,66.1,0.46,0.028,,,,,,
1/19/2024 0:00,66.1,0.39,0.02,,,,,,
1/20/2024 0:00,64.1,2.45,3.31,,,,,,
1/21/2024 0:00,64,2.5,2.25,,,,,,
1/22/2024 0:00,63.1,3.47,4.19,,,,,,
1/23/2024 0:00,65.7,0.83,0.095,,,,,,
1/24/2024 0:00,66,0.56,0.04,,,,,,
1/25/2024 0:00,65.9,0.68,0.071,,,,,,
1/26/2024 0:00,66.1,0.4,0.021,,,,,,
1/27/2024 0:00,66.2,0.38,0.018,,,,,,
1/28/2024 0:00,66.2,0.37,0.017,,,,,,
1/29/2024 0:00,66.2,0.37,0.017,,,,,,
1/30/2024 0:00,66.2,0.38,0.018,,,,,,
1/31/2024 0:00,66.1,0.39,0.019,,,,,,
2/1/2024 0:00,62.5,4.01,6.09,,,,,,
2/2/2024 0:00,65.2,1.35,0.424,,,,,,
2/3/2024 0:00,65.9,0.61,0.046,,,,,,
2/4/2024 0:00,64.1,2.4,3.68,,,,,,
2/5/2024 0:00,57.1,9.41,17.3,,,,,,
2/6/2024 0:00,59.8,6.7,10.2,,,,,,
2/7/2024 0:00,63.7,2.87,3.49,,,,,,
2/8/2024 0:00,64.3,2.2,1.06,,,,,,
