Time,J06_10011_1,J06_10011_1,J06_10011_1,J06_9079_1,J06_9079_1,J06_9079_1,DAIRYFORK_MOULTON,DAIRYFORK_MOULTON
and,236.34,231,262,236.34,231,262,232.37,262
Date,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
10/1/2023 0:00,,,,,,,,
10/2/2023 0:00,,,,,,,,
10/3/2023 0:00,77.4,9.07,0.007,,,,,
10/4/2023 0:00,77.4,9.11,0.008,,,,,
10/5/2023 0:00,77.2,9.26,0.012,68.1,0.59,0.032,,
10/6/2023 0:00,77.3,9.14,0.008,68.1,0.59,0.032,,
10/7/2023 0:00,77.3,9.19,0.01,68.2,0.54,0.029,,
10/8/2023 0:00,77.4,9.08,0.007,,,,,
10/9/2023 0:00,77.4,9.04,0.006,,,,,
10/10/2023 0:00,77.4,9.12,0.008,,,,,
10/11/2023 0:00,,,,,,,,
10/12/2023 0:00,,,,,,,,
10/13/2023 0:00,,,,,,,,
10/14/2023 0:00,,,,,,,,
10/15/2023 0:00,,,,,,,,
10/16/2023 0:00,,,,,,,,
10/17/2023 0:00,,,,,,,,
10/18/2023 0:00,,,,,,,,
10/19/2023 0:00,,,,,,,,
10/20/2023 0:00,,,,,,,,
10/21/2023 0:00,,,,,,,,
10/22/2023 0:00,,,,,,,,
10/23/2023 0:00,,,,,,,,
10/24/2023 0:00,,,,,,,,
10/25/2023 0:00,,,,,,,,
10/26/2023 0:00,,,,,,,,
10/27/2023 0:00,,,,,,,,
10/28/2023 0:00,,,,,,,,
10/29/2023 0:00,,,,,,,,
10/30/2023 0:00,,,,,,,,
10/31/2023 0:00,,,,,,,,
11/1/2023 0:00,,,,,,,,
11/2/2023 0:00,,,,,,,,
11/3/2023 0:00,,,,,,,,
11/4/2023 0:00,,,,,,,,
11/5/2023 0:00,,,,,,,,
11/6/2023 0:00,,,,,,,,
11/7/2023 0:00,,,,,,,,
11/8/2023 0:00,,,,,,,,
11/9/2023 0:00,,,,,,,,
11/10/2023 0:00,,,,,,,,
11/11/2023 0:00,,,,,,,,
11/12/2023 0:00,,,,,,,,
11/13/2023 0:00,,,,,,,,
11/14/2023 0:00,,,,,,,,
11/15/2023 0:00,,,,,,,,
11/16/2023 0:00,,,,,,,,
11/17/2023 0:00,,,,,,,,
11/18/2023 0:00,,,,,,,,
11/19/2023 0:00,,,,,,,,
