Time,TRABUCO,SULPHURCREEK,ELTORO,PALISADES,LAGUNABEACH,OCEANINSTITUTE,TUCKER,,,,
and,11,11,11,11,11,11.5,11,,,,
Date,Total,Total,Total,Total,Total,Total,Total,,,,
10/1/2023 0:00,0.13,0.11,0.01,0.01,0.02,0.04,0,,,,Data from PALISADES gauge used to estimate OCEANINSTITUTE 
10/2/2023 0:00,0,0,0.04,0,0,0,0,,,,
10/3/2023 0:00,0,0,0,0,0,0,0,,,,
10/4/2023 0:00,0,0,0,0,0,0,0,,,,
10/5/2023 0:00,0,0,0,0,0,0,0,,,,
10/6/2023 0:00,0,0,0,0,0,0,0,,,,
10/7/2023 0:00,0,0,0,0,0,0,0,,,,
10/8/2023 0:00,0,0,0,0,0,0,0,,,,
10/9/2023 0:00,0,0,0,0,0,0,0,,,,
10/10/2023 0:00,0,0,0,0,0,0,0,,,,
10/11/2023 0:00,0,0.02,0,0.04,0,0,0,,,,
10/12/2023 0:00,0,0.03,0.03,0.02,0.16,0.04,0,,,,
10/13/2023 0:00,0,0,0,0,0,0,0,,,,
10/14/2023 0:00,0,0,0,0,0,0,0,,,,
10/15/2023 0:00,0,0,0,0,0,0,0,,,,
10/16/2023 0:00,0,0,0,0,0,0,0,,,,
10/17/2023 0:00,0,0,0,0,0,0,0,,,,
10/18/2023 0:00,0,0,0,0,0,0,0,,,,
10/19/2023 0:00,0,0,0,0,0,0,0,,,,
10/20/2023 0:00,0,0,0,0,0,0,0,,,,
10/21/2023 0:00,0,0,0,0,0,0,0,,,,
10/22/2023 0:00,0,0,0,0,0,0,0,,,,
10/23/2023 0:00,0,0,0,0,0,0,0,,,,
10/24/2023 0:00,0,0.05,0,0,0.03,0,0,,,,
10/25/2023 0:00,0,0,0,0,0,0,0,,,,
10/26/2023 0:00,0,0,0,0,0,0,0,,,,
10/27/2023 0:00,0,0,0,0,0,0,0,,,,
10/28/2023 0:00,0,0,0,0,0,0,0,,,,
10/29/2023 0:00,0,0,0,0,0,0,0,,,,
10/30/2023 0:00,0,0,0,0,0,0,0,,,,
10/31/2023 0:00,0,0,0,0,0,0,0,,,,
11/1/2023 0:00,0,0,0,0,0,0,0,,,,
11/2/2023 0:00,0,0,0,0,0,0,0,,,,
11/3/2023 0:00,0,0,0,0,0,0,0,,,,
11/4/2023 0:00,0,0,0,0,0,0,0,,,,
11/5/2023 0:00,0,0,0,0,0,0,0,,,,
11/6/2023 0:00,0,0,0,0,0,0,0,,,,
11/7/2023 0:00,0,0,0,0,0,0,0,,,,
11/8/2023 0:00,0,0,0,0,0,0,0,,,,
11/9/2023 0:00,,0,0,0,0,0,0,,,,
11/10/2023 0:00,,0,0,0,0,0,0,,,,
11/11/2023 0:00,,0,0,0,0,0,0,,,,
11/12/2023 0:00,,0,0,0,0,0,0,,,,
11/13/2023 0:00,,0,0,0,0,0,0,,,,
11/14/2023 0:00,,0,0,0,0,0,0,,,,
11/15/2023 0:00,,0,0,0,0,0,0,,,,
11/16/2023 0:00,,0.54,0.49,0.58,0.51,0.51,0.39,,,,
11/17/2023 0:00,0,0,0.01,0,0,0,0.01,,,,
11/18/2023 0:00,0,0,0,0,0,0,0,,,,
11/19/2023 0:00,0,0.02,0.01,0.05,0.04,0.04,0,,,,
11/20/2023 0:00,0.01,0.02,0,0.04,0,0.08,0.01,,,,
11/21/2023 0:00,0,0,0.01,0,0,0,0,,,,
11/22/2023 0:00,0,0,0,0,0,0,0,,,,
11/23/2023 0:00,0,0,0,0,0,0,0,,,,
11/24/2023 0:00,0,0,0,0,0,0,0,,,,
11/25/2023 0:00,0,0,0,0,0,0,0.03,,,,
11/26/2023 0:00,0,0,0,0,0,0,0,,,,
11/27/2023 0:00,0,0,0,0,0,0,0,,,,
11/28/2023 0:00,0,0,0,0,0,0,0,,,,
11/29/2023 0:00,0,0,0,0,0,0,0,,,,
11/30/2023 0:00,0,0.02,0,0.09,0.04,0.2,0,,,,
12/1/2023 0:00,0,0.18,0,0.05,0.24,0.12,0,,,,
12/2/2023 0:00,0,0.01,0.01,0,0,0,0.01,,,,
12/3/2023 0:00,0,0,0,0,0,0,0,,,,
12/4/2023 0:00,0,0,0,0,0,0,0,,,,
12/5/2023 0:00,0,0,0,0,0,0,0,,,,
12/6/2023 0:00,0,0,0,0,0,0,0,,,,
12/7/2023 0:00,0,0,0,0,0,0,0,,,,
12/8/2023 0:00,0,0,0,0,0,0,0,,,,
12/9/2023 0:00,0,0,0,0,0,0,0,,,,
12/10/2023 0:00,0,0,0,0,0,0,0,,,,
12/11/2023 0:00,0,0,0,0,0,0,0,,,,
12/12/2023 0:00,0,0,0,0,0,0,0,,,,
12/13/2023 0:00,0,0,0,0,0,0,0,,,,
12/14/2023 0:00,0,0,0,0,0,0,0,,,,
12/15/2023 0:00,0,0,0,0,0,0,0,,,,
12/16/2023 0:00,0,0,0,0,0,0,0,,,,
12/17/2023 0:00,0,0,0,0,0,0,0,,,,
12/18/2023 0:00,0,0,0,0,0,0,0,,,,
12/19/2023 0:00,0.06,0.08,0.05,0,0.12,0,0.08,,,,
12/20/2023 0:00,0.01,0.02,0.02,0,0,0,0.05,,,,
12/21/2023 0:00,0.83,0.56,0.64,0.87,0.43,0.59,0.99,,,,
12/22/2023 0:00,0.07,0.35,0.23,0.28,0.35,0.28,0.07,,,,
12/23/2023 0:00,0.79,0.33,0.74,0.27,0.28,0.24,0.73,,,,
12/24/2023 0:00,0,0,0,0,0,0,0,,,,
12/25/2023 0:00,0,0,0,0,0,0,0,,,,
12/26/2023 0:00,0,0,0,0,0,0,0,,,,
12/27/2023 0:00,0,0,0.01,0,0,0,0.01,,,,
12/28/2023 0:00,0,0,0,0,0,0,0,,,,
12/29/2023 0:00,0,0,0,0,0,0,0,,,,
12/30/2023 0:00,0,0,0,0,0,0,0,,,,
12/31/2023 0:00,0.62,0.48,0.45,0.24,0.47,0.28,0.39,,,,
1/1/2024 0:00,0.07,0.07,0.12,0.13,0.04,0.08,0.13,,,,
1/2/2024 0:00,0.01,0,0,0,0,0,0,,,,
1/3/2024 0:00,0,0,0,0,0,0,0.01,,,,
1/4/2024 0:00,0.52,0.48,0.37,0.36,0.24,0.24,0.54,,,,
1/5/2024 0:00,0,0.01,0,0,0,0,0,,,,
1/6/2024 0:00,0,0,0,0,0,0,0,,,,
1/7/2024 0:00,0,0,0,0,0,0,0,,,,
1/8/2024 0:00,0.09,0.03,0.04,0,0,0,0.07,,,,
1/9/2024 0:00,0,0,0,0,0,0,0,,,,
1/10/2024 0:00,0,0,0,0,0,0,0,,,,
1/11/2024 0:00,0,0,0,0,0,0,0,,,,
1/12/2024 0:00,0.01,0.01,0.04,0,0,0,0.04,,,,
1/13/2024 0:00,0,0,0,0,0,0,0,,,,
1/14/2024 0:00,0,0,0,0,0,0,0,,,,
1/15/2024 0:00,0,0,0,0,0,0,0,,,,
1/16/2024 0:00,0,0,0,0,0,0,0,,,,
1/17/2024 0:00,0,0,0,0,0,0,0,,,,
1/18/2024 0:00,0,0,0,0,0,0,0,,,,
1/19/2024 0:00,0,0,0,0,0,0,0,,,,
1/20/2024 0:00,0,0,0,0,0,0,0,,,,
1/21/2024 0:00,0.77,0.72,0.83,0.84,0.71,0.71,0.84,,,,
1/22/2024 0:00,0.36,0.19,0.43,0.19,0.04,0.12,0.19,,,,
1/23/2024 0:00,1.09,0.97,0.78,0.99,0.94,0.91,1.28,,,,
