JURISDICTI3,DischargeJ_cf,DischargeJ_af,acres_juris_soc,QperArea_cfperacre
LAGUNA BEACH,7448058.107159741,170.98388675756982,5632.041056,1322.4438588254036
LAGUNA NIGUEL,132825482.04366729,3049.253490442316,9463.773977,14035.149441066082
ORANGE CO,97729360.04880093,2243.557393223162,94761.16102,1031.3229491581944
DANA POINT,12194763.924872078,279.9532581467419,4071.560352,2995.108231388947
ALISO VIEJO,12439959.746713916,285.582179676628,4298.475849,2894.0396977240093
LAGUNA WOODS,6240394.198272726,143.25973825235826,756.0075789,8254.406929825456
LAKE FOREST,8847879.819226924,203.11937142394225,3303.943395,2677.975607153804
LAGUNA HILLS,16958558.407187477,389.31493129447836,3498.38696,4847.536479265712
MISSION VIEJO,65054275.03260011,1493.4406573140523,11525.93439,5644.164961501235
SAN JUAN CAPISTRANO,31865270.763572443,731.5259587596979,9220.309393,3455.9871480846787
RANCHO SANTA MARGARITA,50851460.05948046,1167.3888902543724,8280.210526,6141.324535143885
SAN CLEMENTE,57252908.72574012,1314.345930342978,11739.01617,4877.147104716878
