Facility Identifier,AVGDISCHARGE,Jurisdiction,Qcalcs,QInscfs,AVGQadj,Q4calcs,QInscf,Qcont4calc2024,Qcont4calcPrior,Qcf2024,Qcfp,Qboth,Q4calcsall,JURISDICTI3,PERCENTAGE,area_acres,Acres,DischargePCF2,DischargePCF3,avgCnx,Persistent.Flow,MonitoringYear,rain_gage,dry_days,Qadj_Qall
DP04-12015-1,0.010065,LAGUNA BEACH,NA,NA,0.006944849999999999,0.006944849999999999,600.0350399999999,NA,NA,NA,NA,NA,600.0350399999999,LAGUNA BEACH,65.93698008,178.90214373,118.0997707,395.6449847978199,395.6449847978199,0,Yes,MY2023-24,LAGUNABEACH,288,0
DP04-12015-1,0.010065,LAGUNA BEACH,NA,NA,0.006944849999999999,0.006944849999999999,600.0350399999999,NA,NA,NA,NA,NA,600.0350399999999,LAGUNA NIGUEL,33.93511159,178.90214373,60.7117124,203.6225604031011,203.6225604031011,0,Yes,MY2023-24,LAGUNABEACH,288,0
DP04-12015-1,0.010065,LAGUNA BEACH,NA,NA,0.006944849999999999,0.006944849999999999,600.0350399999999,NA,NA,NA,NA,NA,600.0350399999999,ORANGE CO,0.127907549,178.90214373,0.22883035,0.7674901128051695,0.7674901128051695,0,Yes,MY2023-24,LAGUNABEACH,288,0
DP06-12106-1,0.254075,DANA POINT,NA,0.04078951,0.17531175,0.04078951,3524.2136640000003,NA,NA,NA,NA,NA,3524.2136640000003,DANA POINT,100,66.54528569,66.55078859,3524.213664000001,3524.213664000001,0.385,Yes,MY2023-24,DANAPOINT,302,409760.3227132801
I00-11437-1,0.149571,LAGUNA BEACH,NA,0.087425,0.10320399,0.087425,7553.52,NA,NA,NA,NA,NA,7553.52,LAGUNA BEACH,96.47184583,605.19208238,584.5185296,7287.020169138217,7287.020169138217,1,Yes,MY2023-24,LAGUNABEACH,288,2098661.8087118063
I00-11437-1,0.149571,LAGUNA BEACH,NA,0.087425,0.10320399,0.087425,7553.52,NA,NA,NA,NA,NA,7553.52,ORANGE CO,3.528154171,605.19208238,21.35220326,266.49983093731925,266.49983093731925,1,Yes,MY2023-24,LAGUNABEACH,288,76751.95130994794
I00-11453-1,0.013894,LAGUNA BEACH,NA,0.00956754,0.0095868599999999991,0.00956754,826.6354560000001,NA,NA,NA,NA,NA,826.6354560000001,LAGUNA BEACH,100,342.08954194,342.487129,826.6354560000001,826.6354560000001,0.385,Unknown,MY2023-24,LAGUNABEACH,288,91657.33936128
I00-11468-1,0.039855,LAGUNA BEACH,NA,NA,0.02749995,0.02749995,2375.99568,NA,NA,NA,NA,NA,2375.99568,LAGUNA BEACH,91.76756832,223.33679991,205.1889505,2180.3934589242485,2180.3934589242485,0.885,Yes,MY2023-24,LAGUNABEACH,288,555738.6848106125
I00-11468-1,0.039855,LAGUNA BEACH,NA,NA,0.02749995,0.02749995,2375.99568,NA,NA,NA,NA,NA,2375.99568,ORANGE CO,8.232432026,223.33679991,18.38613081,195.60222929669646,195.60222929669646,0.885,Yes,MY2023-24,LAGUNABEACH,288,49855.09620314199
I00-11518-1,0.079534,LAGUNA BEACH,NA,NA,0.05487845999999999,0.05487845999999999,4741.498943999999,NA,NA,NA,NA,NA,4741.498943999999,LAGUNA BEACH,96.690419790000007,645.16066542,624.5335654,4584.5752332920165,4584.5752332920165,0,Yes,MY2023-24,LAGUNABEACH,288,0
I00-11518-1,0.079534,LAGUNA BEACH,NA,NA,0.05487845999999999,0.05487845999999999,4741.498943999999,NA,NA,NA,NA,NA,4741.498943999999,ORANGE CO,3.309580209,645.16066542,21.35220326,156.92371066056796,156.92371066056796,0,Yes,MY2023-24,LAGUNABEACH,288,0
