Facility Identifier,JURISDICTI3,Qadj_Qall,QJur_US,QJur_S
I00-11437-1,LAGUNA BEACH,2098661.8087118063,NA,2776867.075973177
I00-11437-1,ORANGE CO,76751.95130994794,NA,29278455.81804872
I00-11468-1,LAGUNA BEACH,555738.6848106125,NA,2776867.075973177
I00-11468-1,ORANGE CO,49855.09620314199,NA,29278455.81804872
I01-11010-1,LAGUNA BEACH,110108.16,NA,2776867.075973177
I01-11023-1,LAGUNA BEACH,12358.422450757884,NA,2776867.075973177
I01-11023-1,ORANGE CO,24641.649206636925,NA,29278455.81804872
I01-11343-2 (I02P18),LAGUNA WOODS,61739.79570821746,NA,1554221.857610405
J01-10004-1 (J01P01),LAKE FOREST,864420.3563028767,NA,1590585.7791605897
J01-9007-1 (J02P05),ALISO VIEJO,560271.1818090362,NA,2885267.3854883257
J01-9007-1 (J02P05),ORANGE CO,10303.188336323325,NA,29278455.81804872
J01-9031-1,LAKE FOREST,583413.0202498804,NA,1590585.7791605897
J01-9082-2,ALISO VIEJO,1030693.3046623744,NA,2885267.3854883257
J01-9082-2,ORANGE CO,22674.74953076879,NA,29278455.81804872
J01-9131-1 (J01P28),ALISO VIEJO,566854.848,NA,2885267.3854883257
J01-9224-1 (J01P24),ALISO VIEJO,914.041528963416,NA,2885267.3854883257
J01-9224-1 (J01P24),LAGUNA NIGUEL,54878.75822387448,NA,16689765.127180735
J01-9224-2 (J01P25),ALISO VIEJO,4874.888154471552,NA,2885267.3854883257
J01-9224-2 (J01P25),LAGUNA NIGUEL,292686.7105273306,NA,16689765.127180735
J01-9273-1,LAGUNA HILLS,72577.09690753589,NA,162613.19584202167
J01-9273-1,LAGUNA WOODS,1327686.1254546675,NA,1554221.857610405
J01-9377-1,LAKE FOREST,43596.83734037855,NA,1590585.7791605897
J01-9377-1,MISSION VIEJO,855.9620777342877,NA,29902678.15830028
J01-9992-1 (J01P27),ALISO VIEJO,222518.53120595615,NA,2885267.3854883257
J01-9992-1 (J01P27),ORANGE CO,652.66864898256,NA,29278455.81804872
J03-9221-1 (J03P02),LAGUNA NIGUEL,3169526.9760000003,NA,16689765.127180735
