JURISDICTI3,DischargeJ_af,QperArea_cfperacre
LAGUNA BEACH,105.69749736871245,817.4981218356222
LAGUNA NIGUEL,2659.0755288214796,12239.232500370992
ORANGE CO,1939.6538786426902,891.6239738329409
DANA POINT,208.8445789191817,2234.3448386441983
ALISO VIEJO,236.61872734410997,2397.8526634056307
LAGUNA WOODS,94.32922186021317,5435.105439299301
LAKE FOREST,193.11065043521086,2546.018175035286
LAGUNA HILLS,386.5114336185907,4812.628860366496
MISSION VIEJO,1418.6129134490072,5361.368234357853
SAN JUAN CAPISTRANO,534.525607373363,2525.287868849684
RANCHO SANTA MARGARITA,917.686540122401,4827.706440821935
SAN CLEMENTE,1150.8641983405623,4270.514986411752
