Jurisdiction,Facility Identifier,JURISDICTI3,AnnualCF,avgCnx,Qadj_Qall,QJur_S,QJur_US
LAGUNA BEACH,I00-11437-1,LAGUNA BEACH,2098661.8087118063,1,2098661.8087118063,2776867.075973177,NA
LAGUNA BEACH,I00-11437-1,ORANGE CO,76751.95130994794,1,76751.95130994794,29278455.81804872,NA
LAGUNA BEACH,I00-11468-1,LAGUNA BEACH,627953.3161701836,0.885,555738.6848106125,2776867.075973177,NA
LAGUNA BEACH,I00-11468-1,ORANGE CO,56333.44203744858,0.885,49855.09620314199,29278455.81804872,NA
LAGUNA BEACH,I01-11010-1,LAGUNA BEACH,124416,0.885,110108.16,2776867.075973177,NA
LAGUNA BEACH,I01-11023-1,LAGUNA BEACH,12358.422450757884,1,12358.422450757884,2776867.075973177,NA
LAGUNA BEACH,I01-11023-1,ORANGE CO,24641.649206636925,1,24641.649206636925,29278455.81804872,NA
LAGUNA WOODS,I01-11343-2 (I02P18),LAGUNA WOODS,123479.59141643492,0.5,61739.79570821746,1554221.857610405,NA
LAKE FOREST,J01-10004-1 (J01P01),LAKE FOREST,864420.3563028767,1,864420.3563028767,1590585.7791605897,NA
ALISO VIEJO,J01-9007-1 (J02P05),ALISO VIEJO,633074.7817051257,0.885,560271.1818090362,2885267.3854883257,NA
ALISO VIEJO,J01-9007-1 (J02P05),ORANGE CO,11642.020719009406,0.885,10303.188336323325,29278455.81804872,NA
LAKE FOREST,J01-9031-1,LAKE FOREST,583413.0202498804,1,583413.0202498804,1590585.7791605897,NA
ALISO VIEJO,J01-9082-2,ALISO VIEJO,1164625.2030083328,0.885,1030693.3046623744,2885267.3854883257,NA
ALISO VIEJO,J01-9082-2,ORANGE CO,25621.18591047321,0.885,22674.74953076879,29278455.81804872,NA
ALISO VIEJO,J01-9131-1 (J01P28),ALISO VIEJO,892684.7999999999,0.635,566854.848,2885267.3854883257,NA
LAGUNA NIGUEL,J01-9224-1 (J01P24),ALISO VIEJO,1218.722038617888,0.75,914.041528963416,2885267.3854883257,NA
LAGUNA NIGUEL,J01-9224-1 (J01P24),LAGUNA NIGUEL,73171.67763183264,0.75,54878.75822387448,16689765.127180735,NA
LAGUNA NIGUEL,J01-9224-2 (J01P25),ALISO VIEJO,4874.888154471552,1,4874.888154471552,2885267.3854883257,NA
LAGUNA NIGUEL,J01-9224-2 (J01P25),LAGUNA NIGUEL,292686.7105273306,1,292686.7105273306,16689765.127180735,NA
LAGUNA WOODS,J01-9273-1,LAGUNA HILLS,193538.92508676235,0.375,72577.09690753589,162613.19584202167,NA
LAGUNA WOODS,J01-9273-1,LAGUNA WOODS,3540496.33454578,0.375,1327686.1254546675,1554221.857610405,NA
LAKE FOREST,J01-9377-1,LAKE FOREST,174387.3493615142,0.25,43596.83734037855,1590585.7791605897,NA
LAKE FOREST,J01-9377-1,MISSION VIEJO,3423.848310937151,0.25,855.9620777342877,29902678.15830028,NA
ALISO VIEJO,J01-9992-1 (J01P27),ALISO VIEJO,222518.53120595615,1,222518.53120595615,2885267.3854883257,NA
ALISO VIEJO,J01-9992-1 (J01P27),ORANGE CO,652.66864898256,1,652.66864898256,29278455.81804872,NA
LAGUNA NIGUEL,J03-9221-1 (J03P02),LAGUNA NIGUEL,4116268.8000000003,0.77,3169526.9760000003,16689765.127180735,NA
ALISO VIEJO,J06-10011-1 (J06P01),ALISO VIEJO,64191.82316073409,1,64191.82316073409,2885267.3854883257,NA
ALISO VIEJO,J06-10011-1 (J06P01),LAGUNA HILLS,90036.09893448578,1,90036.09893448578,162613.19584202167,NA
ALISO VIEJO,J06-10011-1 (J06P01),LAGUNA WOODS,164795.93644752,1,164795.93644752,1554221.857610405,NA
ALISO VIEJO,J06-10011-1 (J06P01),LAKE FOREST,99155.5652674541,1,99155.5652674541,1590585.7791605897,NA
ALISO VIEJO,J06-9079-1 (J06P03),ALISO VIEJO,684958.6881366768,0.635,434948.7669667898,2885267.3854883257,NA
DANA POINT,K01-12126-1 (K01S01),DANA POINT,1649043.5017217847,1,1649043.5017217847,5056146.576943786,NA
DANA POINT,K01-12126-1 (K01S01),LAGUNA NIGUEL,4419767.737990215,1,4419767.737990215,16689765.127180735,NA
DANA POINT,K01-12159-2,DANA POINT,2048284.7999999998,1,2048284.7999999998,5056146.576943786,NA
DANA POINT,K01-12159-3,DANA POINT,848016.0000000001,1,848016.0000000001,5056146.576943786,NA
LAGUNA NIGUEL,K01-12177-1 (K01P07),LAGUNA NIGUEL,8694955.698841652,0.9233333333333333,8028342.428597124,16689765.127180735,NA
ORANGE CO,L01-340-1,ORANGE CO,289436.09334921034,0.77,222865.79187889196,29278455.81804872,NA
ORANGE CO,L01-340-1,RANCHO SANTA MARGARITA,3555.7566361401373,0.77,2737.9326098279057,6623621.46860727,NA
ORANGE CO,L01-404-1,ORANGE CO,607536.4500000001,0.77,467803.0665000001,29278455.81804872,NA
SAN JUAN CAPISTRANO,L01-724-1 (L01S01),DANA POINT,385707.0001758709,0.5,192853.50008793545,5056146.576943786,NA
SAN JUAN CAPISTRANO,L01-724-1 (L01S01),LAGUNA NIGUEL,273916.2472993525,0.5,136958.12364967624,16689765.127180735,NA
SAN JUAN CAPISTRANO,L01-724-1 (L01S01),SAN JUAN CAPISTRANO,402927.6764766552,0.5,201463.8382383276,5857766.027041091,NA
SAN JUAN CAPISTRANO,L01-724-4 (L01P03),LAGUNA NIGUEL,477727.5219414121,1,477727.5219414121,16689765.127180735,NA
SAN JUAN CAPISTRANO,L01-724-4 (L01P03),SAN JUAN CAPISTRANO,1169099.6795407326,1,1169099.6795407326,5857766.027041091,NA
