Facility Identifier,JURISDICTI3,Qadj_Qall
I00-11437-1,LAGUNA BEACH,2098661.8087118063
I00-11437-1,ORANGE CO,76751.95130994794
I00-11468-1,LAGUNA BEACH,555738.6848106125
I00-11468-1,ORANGE CO,49855.09620314199
I01-11010-1,LAGUNA BEACH,110108.16
I01-11023-1,LAGUNA BEACH,12358.422450757884
I01-11023-1,ORANGE CO,24641.649206636925
I01-11343-2 (I02P18),LAGUNA WOODS,61739.79570821746
J01-10004-1 (J01P01),LAKE FOREST,864420.3563028767
J01-9007-1 (J02P05),ALISO VIEJO,560271.1818090362
J01-9007-1 (J02P05),ORANGE CO,10303.188336323325
J01-9031-1,LAKE FOREST,583413.0202498804
J01-9082-2,ALISO VIEJO,1030693.3046623744
J01-9082-2,ORANGE CO,22674.74953076879
J01-9131-1 (J01P28),ALISO VIEJO,566854.848
J01-9224-1 (J01P24),ALISO VIEJO,914.041528963416
J01-9224-1 (J01P24),LAGUNA NIGUEL,54878.75822387448
J01-9224-2 (J01P25),ALISO VIEJO,4874.888154471552
J01-9224-2 (J01P25),LAGUNA NIGUEL,292686.7105273306
J01-9273-1,LAGUNA HILLS,72577.09690753589
J01-9273-1,LAGUNA WOODS,1327686.1254546675
J01-9377-1,LAKE FOREST,43596.83734037855
J01-9377-1,MISSION VIEJO,855.9620777342877
J01-9992-1 (J01P27),ALISO VIEJO,222518.53120595615
J01-9992-1 (J01P27),ORANGE CO,652.66864898256
J03-9221-1 (J03P02),LAGUNA NIGUEL,3169526.9760000003
J06-10011-1 (J06P01),ALISO VIEJO,64191.82316073409
J06-10011-1 (J06P01),LAGUNA HILLS,90036.09893448578
J06-10011-1 (J06P01),LAGUNA WOODS,164795.93644752
J06-10011-1 (J06P01),LAKE FOREST,99155.5652674541
J06-9079-1 (J06P03),ALISO VIEJO,434948.7669667898
K01-12126-1 (K01S01),DANA POINT,1649043.5017217847
K01-12126-1 (K01S01),LAGUNA NIGUEL,4419767.737990215
K01-12159-2,DANA POINT,2048284.7999999998
K01-12159-3,DANA POINT,848016.0000000001
K01-12177-1 (K01P07),LAGUNA NIGUEL,8028342.428597124
L01-340-1,ORANGE CO,222865.79187889196
L01-340-1,RANCHO SANTA MARGARITA,2737.9326098279057
L01-404-1,ORANGE CO,467803.0665000001
L01-724-1 (L01S01),DANA POINT,192853.50008793545
L01-724-1 (L01S01),LAGUNA NIGUEL,136958.12364967624
L01-724-1 (L01S01),SAN JUAN CAPISTRANO,201463.8382383276
L01-724-4 (L01P03),LAGUNA NIGUEL,477727.5219414121
L01-724-4 (L01P03),SAN JUAN CAPISTRANO,1169099.6795407326
L01-726-5,DANA POINT,317948.7751340659
L01-726-5,SAN JUAN CAPISTRANO,21257.621507790718
L01-728-5 (L01-DP),DANA POINT,0
L01-731-1 (L08TBN2),ORANGE CO,7622.221903016212
L01-731-1 (L08TBN2),RANCHO SANTA MARGARITA,122306.9619995369
L01-766-9,SAN JUAN CAPISTRANO,1915751.2557542396
L02-166-3 (L02P26),ORANGE CO,4309.640532079483
L02-166-3 (L02P26),RANCHO SANTA MARGARITA,763149.052350498
L02-246-1 (L11P01),RANCHO SANTA MARGARITA,650851.2
L02-374-1 (L02P50),ORANGE CO,6629839.826400001
L02-641-1,ORANGE CO,1771.4250436392
L02-641-1,RANCHO SANTA MARGARITA,299548.574853912
L02-641-2,ORANGE CO,25459.629297200037
L02-641-2,RANCHO SANTA MARGARITA,4305231.937230365
L03-214-2 (L03P18),MISSION VIEJO,10072589.117267119
L03-214-2 (L03P18),RANCHO SANTA MARGARITA,479795.8095631303
L03-316-3 (L03P12),MISSION VIEJO,8376960.281847767
L03-418-8,LAGUNA NIGUEL,109876.87025110077
L03-418-8,MISSION VIEJO,1002625.2111076597
L03-662-3 (L03P16),MISSION VIEJO,791458.29
L04-266-5,MISSION VIEJO,7837275.600000001
L04-672-1,MISSION VIEJO,1820913.696
L05-049-1,ORANGE CO,6459566.4
L05-489-3,ORANGE CO,15273413.564915098
L05-503-1,SAN JUAN CAPISTRANO,2550193.6319999998
M01-042-1 (M01S01),SAN CLEMENTE,2296412.823
M01-047-1,SAN CLEMENTE,17133085.580831997
M02-032-1,SAN CLEMENTE,2370822.470496
M02-085-1 (M02P06),ORANGE CO,924.9483429929159
M02-085-1 (M02P06),SAN CLEMENTE,1334007.5785502123
M02-085-2,SAN CLEMENTE,4857258.51
I01-11343-1,LAGUNA WOODS,0
