Facility Identifier,AVGDISCHARGE,Jurisdiction,Qcalcs,QInscfs,AVGQadj,Q4calcs,QInscf,Qcont4calc2024,Qcont4calcPrior,Qcf2024,Qcfp,Qboth,Q4calcsall
DP01-12022-1,0.055382,DANA POINT,NA,0,0.03821358,0,0,NA,NA,NA,NA,NA,0
DP01-12022-2,0,DANA POINT,NA,0,0,0,0,NA,NA,NA,NA,NA,0
DP04-12015-1,0.010065,LAGUNA BEACH,NA,NA,0.006944849999999999,0.006944849999999999,600.0350399999999,NA,NA,NA,NA,NA,600.0350399999999
DP06-12106-1,0.254075,DANA POINT,NA,0.04078951,0.17531175,0.04078951,3524.2136640000003,NA,NA,NA,NA,NA,3524.2136640000003
I00-11437-1,0.149571,LAGUNA BEACH,NA,0.087425,0.10320399,0.087425,7553.52,NA,NA,NA,NA,NA,7553.52
I00-11453-1,0.013894,LAGUNA BEACH,NA,0.00956754,0.0095868599999999991,0.00956754,826.6354560000001,NA,NA,NA,NA,NA,826.6354560000001
I00-11468-1,0.039855,LAGUNA BEACH,NA,NA,0.02749995,0.02749995,2375.99568,NA,NA,NA,NA,NA,2375.99568
I00-11518-1,0.079534,LAGUNA BEACH,NA,NA,0.05487845999999999,0.05487845999999999,4741.498943999999,NA,NA,NA,NA,NA,4741.498943999999
I00-11518-2,0.0048,LAGUNA BEACH,NA,NA,0.0033119999999999994,0.0033119999999999994,286.1568,NA,NA,NA,NA,NA,286.1568
I01-11010-1,0.043362,LAGUNA BEACH,NA,0.005,0.029919779999999997,0.005,432,NA,NA,NA,NA,NA,432
I01-11015-2,0,LAGUNA BEACH,NA,0,0,0,0,NA,NA,NA,NA,NA,0
I01-11015-3,9.06e-4,LAGUNA BEACH,NA,0,6.251399999999999e-4,0,0,NA,NA,NA,NA,NA,0
I01-11023-1,0.002155,LAGUNA BEACH,NA,NA,0.0014869499999999997,0.0014869499999999997,128.47247999999996,NA,NA,NA,NA,NA,128.47247999999996
I01-11023-2,1.87e-4,LAGUNA BEACH,NA,4.484999999999999e-6,1.2902999999999998e-4,4.484999999999999e-6,0.387504,NA,NA,NA,NA,NA,0.387504
I01-11023-3,0,LAGUNA BEACH,NA,0,0,0,0,NA,NA,NA,NA,NA,0
I01-11023-4,0,LAGUNA BEACH,NA,0,0,0,0,NA,NA,NA,NA,NA,0
I01-11023-5,0,LAGUNA BEACH,NA,0,0,0,0,NA,NA,NA,NA,NA,0
I01-11059-1,0.002142,LAGUNA BEACH,NA,0.010349999999999998,0.0014779799999999998,0.010349999999999998,894.2399999999998,NA,NA,NA,NA,NA,894.2399999999998
I01-11059-2,0,LAGUNA BEACH,NA,0,0,0,0,NA,NA,NA,NA,NA,0
I01-11059-3,0,LAGUNA BEACH,NA,0,0,0,0,NA,NA,NA,NA,NA,0
I01-11065-1,0,LAGUNA BEACH,NA,0,0,0,0,NA,NA,NA,NA,NA,0
I01-11077-1,0,LAGUNA BEACH,NA,0,0,0,0,NA,NA,NA,NA,NA,0
I01-11077-2,0,LAGUNA BEACH,NA,0,0,0,0,NA,NA,NA,NA,NA,0
I01-11093-1,0,LAGUNA BEACH,NA,0,0,0,0,NA,NA,NA,NA,NA,0
I01-11093-2,0,LAGUNA BEACH,NA,0,0,0,0,NA,NA,NA,NA,NA,0
I01-11195-2,0.325428,ALISO VIEJO,NA,NA,0.22454532,0.22454532,19400.715648,NA,NA,NA,NA,NA,19400.715648
I01-11216-1 (I02P13),NA,ALISO VIEJO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I01-11216-2 (I02P12),NA,ALISO VIEJO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I01-11216-3,NA,ALISO VIEJO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I01-11216-4 (I02P14),NA,ALISO VIEJO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I01-11217-1,0.001777,ALISO VIEJO,NA,NA,0.0012261299999999998,0.0012261299999999998,105.93763199999998,NA,NA,NA,NA,NA,105.93763199999998
