Station,date,Flow_cfs_md
J03-9216-2,2023-12-17,0.511
J03-9216-2,2023-12-18,0.591
J03-9216-2,2023-12-19,1.11
J03-9216-2,2023-12-20,0.736
J03-9216-2,2023-12-21,4.79
J03-9216-2,2023-12-22,2.43
J03-9216-2,2023-12-23,5.62
J03-9216-2,2023-12-24,0.537
J03-9216-2,2023-12-25,0.523
J03-9216-2,2023-12-26,0.514
J03-9216-2,2023-12-27,0.526
J03-9216-2,2023-12-28,0.552
J03-9216-2,2023-12-29,0.537
J03-9216-2,2023-12-30,0.544
J03-9216-2,2023-12-31,4.18
J03-9216-2,2024-01-01,2.03
J03-9216-2,2024-01-02,0.817
J03-9216-2,2024-01-03,0.527
J03-9216-2,2024-01-04,6.32
J03-9216-2,2024-01-05,0.488
J03-9216-2,2024-01-06,0.508
J03-9216-2,2024-01-07,0.566
J03-9216-2,2024-01-08,0.545
J03-9216-2,2024-01-09,0.46
J03-9216-2,2024-01-10,0.512
J03-9216-2,2024-01-11,0.624
J03-9216-2,2024-01-12,0.62
J03-9216-2,2024-01-13,0.551
J03-9216-2,2024-01-14,0.591
J03-9216-2,2024-01-15,0.614
J03-9216-2,2024-01-16,0.642
J03-9216-2,2024-01-17,0.661
J03-9216-2,2024-01-18,0.766
J03-9216-2,2024-01-19,0.688
J03-9216-2,2024-01-20,0.722
J03-9216-2,2024-01-21,7.15
J03-9216-2,2024-01-22,2
J03-9216-2,2024-01-23,12.8
J03-9216-2,2024-01-24,0.863
J03-9216-2,2024-01-25,0.568
J03-9216-2,2024-01-26,0.63
J03-9216-2,2024-01-27,0.56
J03-9216-2,2024-01-28,0.572
J03-9216-2,2024-01-29,0.569
J03-9216-2,2024-01-30,0.561
J03-9216-2,2024-01-31,0.548
J03-9216-2,2024-02-01,1.03
J03-9216-2,2024-02-02,13.1
J03-9216-2,2024-02-03,3.32
J03-9216-2,2024-02-04,0.796
J03-9216-2,2024-02-05,7.82
J03-9216-2,2024-02-06,38.1
J03-9216-2,2024-02-07,25.5
J03-9216-2,2024-02-08,7.04
J03-9216-2,2024-02-09,5.11
J03-9216-2,2024-02-10,7.56
J03-9216-2,2024-02-11,1.53
J03-9216-2,2024-02-12,1.12
J03-9216-2,2024-02-13,0.941
J03-9216-2,2024-02-14,0.868
J03-9216-2,2024-02-15,0.854
J03-9216-2,2024-02-16,0.861
J03-9216-2,2024-02-17,0.867
J03-9216-2,2024-02-18,0.799
J03-9216-2,2024-02-19,0.836
J03-9216-2,2024-02-20,1.7
J03-9216-2,2024-02-21,15.2
J03-9216-2,2024-02-22,5.41
J03-9216-2,2024-02-23,1.26
J03-9216-2,2024-02-24,1.05
J03-9216-2,2024-02-25,0.929
J03-9216-2,2024-02-26,0.675
J03-9216-2,2024-02-27,0.989
J03-9216-2,2024-02-28,0.996
J03-9216-2,2024-02-29,0.983
J03-9216-2,2024-03-01,1.11
J03-9216-2,2024-03-02,1.09
J03-9216-2,2024-03-03,2.46
J03-9216-2,2024-03-04,2.61
J03-9216-2,2024-03-05,1.06
J03-9216-2,2024-03-06,1.07
J03-9216-2,2024-03-07,6.72
J03-9216-2,2024-03-08,1.35
J03-9216-2,2024-03-09,1.06
J03-9216-2,2024-03-10,1.03
J03-9216-2,2024-03-11,1.02
J03-9216-2,2024-03-12,1.29
J03-9216-2,2024-03-13,1.27
J03-9216-2,2024-03-14,1.04
J03-9216-2,2024-03-15,0.979
J03-9216-2,2024-03-16,0.915
J03-9216-2,2024-03-17,0.811
J03-9216-2,2024-03-18,0.79
J03-9216-2,2024-03-19,1.03
J03-9216-2,2024-03-20,0.928
J03-9216-2,2024-03-21,0.896
J03-9216-2,2024-03-22,0.819
J03-9216-2,2024-03-23,0.834
J03-9216-2,2024-03-24,6.08
J03-9216-2,2024-03-25,0.73
J03-9216-2,2024-03-26,0.576
J03-9216-2,2024-03-27,0.602
J03-9216-2,2024-03-28,0.594
J03-9216-2,2024-03-29,0.699
J03-9216-2,2024-03-30,0.598
J03-9216-2,2024-03-31,16.5
J03-9216-2,2024-04-01,14.6
J03-9216-2,2024-04-02,1.89
J03-9216-2,2024-04-03,1.14
J03-9216-2,2024-04-04,0.968
J03-9216-2,2024-04-05,0.966
J03-9216-2,2024-04-06,3.03
J03-9216-2,2024-04-07,0.779
J03-9216-2,2024-04-08,0.769
J03-9216-2,2024-04-09,0.805
J03-9216-2,2024-04-10,0.783
J03-9216-2,2024-04-11,0.805
J03-9216-2,2024-04-12,0.819
J03-9216-2,2024-04-13,0.842
J03-9216-2,2024-04-14,2.9
J03-9216-2,2024-04-15,0.917
J03-9216-2,2024-04-16,0.71
J03-9216-2,2024-04-17,0.708
J03-9216-2,2024-04-18,0.687
J03-9216-2,2024-04-19,0.744
J03-9216-2,2024-04-20,0.731
J03-9216-2,2024-04-21,0.669
J03-9216-2,2024-04-22,0.696
J03-9216-2,2024-04-23,0.673
J03-9216-2,2024-04-24,0.663
J03-9216-2,2024-04-25,0.7
J03-9216-2,2024-04-26,0.627
J03-9216-2,2024-04-27,0.627
J03-9216-2,2024-04-28,0.59
J03-9216-2,2024-04-29,0.589
J03-9216-2,2024-04-30,0.633
J03-9216-2,2024-05-01,0.7
J03-9216-2,2024-05-02,0.67
J03-9216-2,2024-05-03,0.637
J03-9216-2,2024-05-04,0.635
J03-9216-2,2024-05-05,0.65
