Station,date,Flow_cfs_md
J01-10004-1 (J01P01),2023-10-01,0.029
J01-10004-1 (J01P01),2023-10-02,0.033
J01-10004-1 (J01P01),2023-10-03,0.037
J01-10004-1 (J01P01),2023-10-04,0.036
J01-10004-1 (J01P01),2023-10-05,0.044
J01-10004-1 (J01P01),2023-10-06,0.033
J01-10004-1 (J01P01),2023-10-07,0.037
J01-10004-1 (J01P01),2023-10-08,0.038
J01-10004-1 (J01P01),2023-10-09,0.034
J01-10004-1 (J01P01),2023-10-10,0.035
J01-10004-1 (J01P01),2023-10-11,0.043
J01-10004-1 (J01P01),2023-10-12,0.029
J01-10004-1 (J01P01),2023-10-13,0.024
J01-10004-1 (J01P01),2023-10-14,0.021
J01-10004-1 (J01P01),2023-10-15,0.016
J01-10004-1 (J01P01),2023-10-16,0.026
J01-10004-1 (J01P01),2023-10-17,0.021
J01-10004-1 (J01P01),2023-10-18,0.023
J01-10004-1 (J01P01),2023-10-19,0.022
J01-10004-1 (J01P01),2023-10-20,0.024
J01-10004-1 (J01P01),2023-10-21,0.013
J01-10004-1 (J01P01),2023-10-22,0.016
J01-10004-1 (J01P01),2023-10-23,0.02
J01-10004-1 (J01P01),2023-10-24,0.016
J01-10004-1 (J01P01),2023-10-25,0.016
J01-10004-1 (J01P01),2023-10-26,0.017
J01-10004-1 (J01P01),2023-10-27,0.017
J01-10004-1 (J01P01),2023-10-28,0.013
J01-10004-1 (J01P01),2023-10-29,0.012
J01-10004-1 (J01P01),2023-10-30,0.01
J01-10004-1 (J01P01),2023-10-31,0.018
J01-10004-1 (J01P01),2023-11-01,0.009
J01-10004-1 (J01P01),2023-11-02,0.005
J01-10004-1 (J01P01),2023-11-03,0.008
J01-10004-1 (J01P01),2023-11-05,0.01
J01-10004-1 (J01P01),2023-11-06,0.018
J01-10004-1 (J01P01),2023-11-07,0.024
J01-10004-1 (J01P01),2023-11-08,0.02
J01-10004-1 (J01P01),2023-11-09,0.015
J01-10004-1 (J01P01),2023-11-10,0.008
J01-10004-1 (J01P01),2023-11-11,0.01
J01-10004-1 (J01P01),2023-11-12,0.008
J01-10004-1 (J01P01),2023-11-13,0.007
J01-10004-1 (J01P01),2023-11-14,0.01
J01-10004-1 (J01P01),2023-11-15,0.664
J01-10004-1 (J01P01),2023-11-16,0.029
J01-10004-1 (J01P01),2023-11-17,0.017
J01-10004-1 (J01P01),2023-11-18,0.022
J01-10004-1 (J01P01),2023-11-19,0.022
J01-10004-1 (J01P01),2023-11-20,0.025
J01-10004-1 (J01P01),2023-11-21,0.015
J01-10004-1 (J01P01),2023-11-22,0.017
J01-10004-1 (J01P01),2023-11-23,0.044
J01-10004-1 (J01P01),2023-11-24,0.034
J01-10004-1 (J01P01),2023-11-25,0.029
J01-10004-1 (J01P01),2023-11-26,0.018
J01-10004-1 (J01P01),2023-11-27,0.022
J01-10004-1 (J01P01),2023-11-28,0.047
J01-10004-1 (J01P01),2023-11-29,0.037
J01-10004-1 (J01P01),2023-11-30,0.055
J01-10004-1 (J01P01),2023-12-01,0.052
J01-10004-1 (J01P01),2023-12-02,0.045
J01-10004-1 (J01P01),2023-12-03,0.044
J01-10004-1 (J01P01),2023-12-04,0.041
J01-10004-1 (J01P01),2023-12-05,0.027
J01-10004-1 (J01P01),2023-12-06,0.026
J01-10004-1 (J01P01),2023-12-07,0.137
J01-10004-1 (J01P01),2023-12-08,0.211
J01-10004-1 (J01P01),2023-12-09,0.181
J01-10004-1 (J01P01),2023-12-10,0.15
J01-10004-1 (J01P01),2023-12-11,0.191
J01-10004-1 (J01P01),2023-12-12,0.227
J01-10004-1 (J01P01),2023-12-13,0.256
J01-10004-1 (J01P01),2023-12-14,0.213
J01-10004-1 (J01P01),2023-12-15,0.177
J01-10004-1 (J01P01),2023-12-16,0.191
J01-10004-1 (J01P01),2023-12-17,0.203
J01-10004-1 (J01P01),2023-12-18,0.285
J01-10004-1 (J01P01),2023-12-19,0.435
J01-10004-1 (J01P01),2023-12-20,2.49
J01-10004-1 (J01P01),2023-12-21,0.507
J01-10004-1 (J01P01),2023-12-22,2.93
J01-10004-1 (J01P01),2023-12-23,0.023
J01-10004-1 (J01P01),2023-12-24,0.011
J01-10004-1 (J01P01),2023-12-25,0.008
J01-10004-1 (J01P01),2023-12-26,0.009
J01-10004-1 (J01P01),2023-12-27,0.01
J01-10004-1 (J01P01),2023-12-28,0.009
J01-10004-1 (J01P01),2023-12-29,0.009
J01-10004-1 (J01P01),2023-12-30,1.05
J01-10004-1 (J01P01),2023-12-31,0.27
J01-10004-1 (J01P01),2024-01-01,0.038
J01-10004-1 (J01P01),2024-01-02,0.039
J01-10004-1 (J01P01),2024-01-03,1.51
J01-10004-1 (J01P01),2024-01-04,0.026
J01-10004-1 (J01P01),2024-01-05,0.015
J01-10004-1 (J01P01),2024-01-06,0.015
J01-10004-1 (J01P01),2024-01-07,0.071
J01-10004-1 (J01P01),2024-01-08,0.011
J01-10004-1 (J01P01),2024-01-09,0.018
J01-10004-1 (J01P01),2024-01-10,0.018
J01-10004-1 (J01P01),2024-01-11,0.035
J01-10004-1 (J01P01),2024-01-12,0.019
J01-10004-1 (J01P01),2024-01-13,0.022
J01-10004-1 (J01P01),2024-01-14,0.022
J01-10004-1 (J01P01),2024-01-15,0.027
J01-10004-1 (J01P01),2024-01-16,0.029
J01-10004-1 (J01P01),2024-01-17,0.039
J01-10004-1 (J01P01),2024-01-18,0.037
J01-10004-1 (J01P01),2024-01-19,0.029
J01-10004-1 (J01P01),2024-01-20,3.18
J01-10004-1 (J01P01),2024-01-21,1.29
J01-10004-1 (J01P01),2024-01-22,4.06
J01-10004-1 (J01P01),2024-01-23,0.034
J01-10004-1 (J01P01),2024-01-24,0.014
J01-10004-1 (J01P01),2024-01-25,0.023
J01-10004-1 (J01P01),2024-01-26,0.009
J01-10004-1 (J01P01),2024-01-27,0.008
J01-10004-1 (J01P01),2024-01-28,0.015
J01-10004-1 (J01P01),2024-01-29,0.01
J01-10004-1 (J01P01),2024-01-30,0.008
J01-10004-1 (J01P01),2024-01-31,0.01
J01-10004-1 (J01P01),2024-02-01,4.77
J01-10004-1 (J01P01),2024-02-02,0.39
J01-10004-1 (J01P01),2024-02-03,0.02
J01-10004-1 (J01P01),2024-02-04,4.71
J01-10004-1 (J01P01),2024-02-05,17.6
J01-10004-1 (J01P01),2024-02-06,12
J01-10004-1 (J01P01),2024-02-07,4.74
J01-10004-1 (J01P01),2024-02-08,1.87
J01-10004-1 (J01P01),2024-02-09,0.569
J01-10004-1 (J01P01),2024-02-10,0.04
J01-10004-1 (J01P01),2024-02-11,0.023
J01-10004-1 (J01P01),2024-02-12,0.021
J01-10004-1 (J01P01),2024-02-13,0.024
J01-10004-1 (J01P01),2024-02-14,0.021
J01-10004-1 (J01P01),2024-02-15,0.022
J01-10004-1 (J01P01),2024-02-16,0.022
J01-10004-1 (J01P01),2024-02-17,0.03
J01-10004-1 (J01P01),2024-02-18,0.037
J01-10004-1 (J01P01),2024-02-19,0.321
J01-10004-1 (J01P01),2024-02-20,8.07
J01-10004-1 (J01P01),2024-02-21,2.52
J01-10004-1 (J01P01),2024-02-22,0.072
J01-10004-1 (J01P01),2024-02-23,0.047
J01-10004-1 (J01P01),2024-02-24,0.035
J01-10004-1 (J01P01),2024-02-25,0.031
J01-10004-1 (J01P01),2024-02-26,0.035
J01-10004-1 (J01P01),2024-02-27,0.037
J01-10004-1 (J01P01),2024-02-28,0.034
J01-10004-1 (J01P01),2024-02-29,0.039
J01-10004-1 (J01P01),2024-03-01,0.034
J01-10004-1 (J01P01),2024-03-02,2.88
J01-10004-1 (J01P01),2024-03-03,0.357
J01-10004-1 (J01P01),2024-03-04,0.039
J01-10004-1 (J01P01),2024-03-05,0.034
J01-10004-1 (J01P01),2024-03-06,2.1
J01-10004-1 (J01P01),2024-03-07,0.134
J01-10004-1 (J01P01),2024-03-08,0.034
J01-10004-1 (J01P01),2024-03-09,0.032
J01-10004-1 (J01P01),2024-03-10,0.026
J01-10004-1 (J01P01),2024-03-11,0.031
J01-10004-1 (J01P01),2024-03-12,0.036
J01-10004-1 (J01P01),2024-03-13,0.035
J01-10004-1 (J01P01),2024-03-14,0.044
J01-10004-1 (J01P01),2024-03-15,3.1
J01-10004-1 (J01P01),2024-03-16,0.058
J01-10004-1 (J01P01),2024-03-17,0.047
J01-10004-1 (J01P01),2024-03-18,0.22
J01-10004-1 (J01P01),2024-03-19,0.039
J01-10004-1 (J01P01),2024-03-20,0.038
J01-10004-1 (J01P01),2024-03-21,0.036
J01-10004-1 (J01P01),2024-03-22,0.039
J01-10004-1 (J01P01),2024-03-23,0.298
J01-10004-1 (J01P01),2024-03-24,0.034
J01-10004-1 (J01P01),2024-03-25,0.039
J01-10004-1 (J01P01),2024-03-26,0.045
J01-10004-1 (J01P01),2024-03-27,0.047
J01-10004-1 (J01P01),2024-03-28,0.048
J01-10004-1 (J01P01),2024-03-29,0.054
J01-10004-1 (J01P01),2024-03-30,7.71
J01-10004-1 (J01P01),2024-03-31,6.63
J01-10004-1 (J01P01),2024-04-01,0.118
J01-10004-1 (J01P01),2024-04-02,0.056
J01-10004-1 (J01P01),2024-04-03,0.049
J01-10004-1 (J01P01),2024-04-04,0.04
J01-10004-1 (J01P01),2024-04-05,0.986
J01-10004-1 (J01P01),2024-04-06,0.035
J01-10004-1 (J01P01),2024-04-07,0.033
J01-10004-1 (J01P01),2024-04-08,0.032
J01-10004-1 (J01P01),2024-04-09,0.037
J01-10004-1 (J01P01),2024-04-10,0.038
J01-10004-1 (J01P01),2024-04-11,0.045
J01-10004-1 (J01P01),2024-04-12,0.054
J01-10004-1 (J01P01),2024-04-13,1.17
J01-10004-1 (J01P01),2024-04-14,0.139
J01-10004-1 (J01P01),2024-04-15,0.052
J01-10004-1 (J01P01),2024-04-16,0.043
J01-10004-1 (J01P01),2024-04-17,0.037
J01-10004-1 (J01P01),2024-04-18,0.052
J01-10004-1 (J01P01),2024-04-19,0.059
J01-10004-1 (J01P01),2024-04-20,0.052
J01-10004-1 (J01P01),2024-04-21,0.056
J01-10004-1 (J01P01),2024-04-22,0.064
J01-10004-1 (J01P01),2024-04-23,0.063
J01-10004-1 (J01P01),2024-04-24,0.07
J01-10004-1 (J01P01),2024-04-25,0.056
J01-10004-1 (J01P01),2024-04-26,0.066
J01-10004-1 (J01P01),2024-04-27,0.058
J01-10004-1 (J01P01),2024-04-28,0.054
J01-10004-1 (J01P01),2024-04-29,0.06
J01-10004-1 (J01P01),2024-04-30,0.073
J01-10004-1 (J01P01),2024-05-01,0.141
J01-10004-1 (J01P01),2024-05-02,0.046
J01-10017-1 (J01TBN4),2023-10-01,0.031
J01-10017-1 (J01TBN4),2023-10-03,0.037
J01-10017-1 (J01TBN4),2023-10-04,0.032
J01-10017-1 (J01TBN4),2023-10-05,0.017
J01-10017-1 (J01TBN4),2023-10-06,0.02
J01-10017-1 (J01TBN4),2023-10-07,0.021
J01-10017-1 (J01TBN4),2023-10-08,0.018
J01-10017-1 (J01TBN4),2023-10-09,0.045
J01-10017-1 (J01TBN4),2023-10-10,0.048
J01-10017-1 (J01TBN4),2023-10-11,0.047
J01-10017-1 (J01TBN4),2023-10-12,0.042
J01-10017-1 (J01TBN4),2023-10-13,0.04
J01-10017-1 (J01TBN4),2023-10-14,0.041
J01-10017-1 (J01TBN4),2023-10-15,0.036
J01-10017-1 (J01TBN4),2023-10-16,0.038
J01-10017-1 (J01TBN4),2023-10-17,0.04
J01-10017-1 (J01TBN4),2023-10-18,0.042
J01-10017-1 (J01TBN4),2023-10-19,0.036
J01-10017-1 (J01TBN4),2023-10-20,0.032
J01-10017-1 (J01TBN4),2023-10-21,0.04
J01-10017-1 (J01TBN4),2023-10-22,0.044
J01-10017-1 (J01TBN4),2023-10-23,0.035
J01-10017-1 (J01TBN4),2023-10-24,0.027
J01-10017-1 (J01TBN4),2023-10-25,0.026
J01-10017-1 (J01TBN4),2023-10-27,0.03
J01-10017-1 (J01TBN4),2023-10-28,0.028
J01-10017-1 (J01TBN4),2023-10-29,0.02
J01-10017-1 (J01TBN4),2023-10-30,0.018
J01-10017-1 (J01TBN4),2023-10-31,0.009
J01-10017-1 (J01TBN4),2023-11-01,0.007
J01-10017-1 (J01TBN4),2023-11-02,0.015
J01-10017-1 (J01TBN4),2023-11-03,0.009
J01-10017-1 (J01TBN4),2023-11-05,0.012
J01-10017-1 (J01TBN4),2023-11-06,0.008
J01-10017-1 (J01TBN4),2023-11-07,0.011
J01-10017-1 (J01TBN4),2023-11-09,0.007
J01-10017-1 (J01TBN4),2023-11-10,0.007
J01-10017-1 (J01TBN4),2023-11-11,0.005
J01-10017-1 (J01TBN4),2023-11-12,0.006
J01-10017-1 (J01TBN4),2023-11-13,0.005
J01-10017-1 (J01TBN4),2023-11-14,0.004
J01-10017-1 (J01TBN4),2023-11-17,0.219
J01-10017-1 (J01TBN4),2023-11-18,0.222
J01-10017-1 (J01TBN4),2023-11-19,0.211
J01-10017-1 (J01TBN4),2023-11-20,0.203
J01-10017-1 (J01TBN4),2023-11-21,0.198
J01-10017-1 (J01TBN4),2023-11-22,0.19
J01-10017-1 (J01TBN4),2023-11-23,0.207
J01-10017-1 (J01TBN4),2023-11-24,0.207
J01-10017-1 (J01TBN4),2023-11-25,0.202
J01-10017-1 (J01TBN4),2023-11-26,0.199
J01-10017-1 (J01TBN4),2023-11-27,0.204
J01-10017-1 (J01TBN4),2023-11-28,0.199
J01-10017-1 (J01TBN4),2023-11-29,0.219
J01-10017-1 (J01TBN4),2023-11-30,0.201
J01-10017-1 (J01TBN4),2023-12-02,0.189
J01-10017-1 (J01TBN4),2023-12-03,0.194
J01-10017-1 (J01TBN4),2023-12-04,0.177
J01-10017-1 (J01TBN4),2023-12-05,0.185
J01-10017-1 (J01TBN4),2023-12-06,0.191
J01-10017-1 (J01TBN4),2023-12-15,0.192
J01-10017-1 (J01TBN4),2024-01-15,0
J01-10017-1 (J01TBN4),2024-02-22,0.177
J01-10017-1 (J01TBN4),2024-03-10,0.009
J01-9005-1 (J03P05),2023-10-01,0.003
J01-9005-1 (J03P05),2023-10-02,0.003
J01-9005-1 (J03P05),2023-10-03,0.003
J01-9005-1 (J03P05),2023-10-04,0.003
J01-9005-1 (J03P05),2023-10-05,0.004
J01-9005-1 (J03P05),2023-10-06,0.005
J01-9005-1 (J03P05),2023-10-07,0.003
J01-9005-1 (J03P05),2023-10-08,0.003
J01-9005-1 (J03P05),2023-10-09,0.004
J01-9005-1 (J03P05),2023-10-10,0.004
J01-9005-1 (J03P05),2023-10-11,0.006
J01-9005-1 (J03P05),2023-10-12,0.004
J01-9005-1 (J03P05),2023-10-13,0.003
J01-9005-1 (J03P05),2023-10-14,0.003
J01-9005-1 (J03P05),2023-10-15,0.002
J01-9005-1 (J03P05),2023-10-16,0.002
J01-9005-1 (J03P05),2023-10-17,0.002
J01-9005-1 (J03P05),2023-10-18,0.002
J01-9005-1 (J03P05),2023-10-19,0.002
J01-9005-1 (J03P05),2023-10-20,0.001
J01-9005-1 (J03P05),2023-10-21,0.004
J01-9005-1 (J03P05),2023-10-22,0.015
J01-9005-1 (J03P05),2023-10-23,0.007
J01-9005-1 (J03P05),2023-10-24,0.002
J01-9005-1 (J03P05),2023-10-25,0.003
J01-9005-1 (J03P05),2023-10-26,0.003
J01-9005-1 (J03P05),2023-10-27,0.003
J01-9005-1 (J03P05),2023-10-28,0.003
J01-9005-1 (J03P05),2023-10-29,0.003
J01-9005-1 (J03P05),2023-10-30,0.005
J01-9005-1 (J03P05),2023-10-31,0.004
J01-9005-1 (J03P05),2023-11-01,0.005
J01-9005-1 (J03P05),2023-11-02,0.055
J01-9005-1 (J03P05),2023-11-03,0.005
J01-9005-1 (J03P05),2023-11-05,0.009
J01-9005-1 (J03P05),2023-11-06,0.013
J01-9005-1 (J03P05),2023-11-07,0.013
J01-9005-1 (J03P05),2023-11-08,0.013
J01-9005-1 (J03P05),2023-11-09,0.016
J01-9005-1 (J03P05),2023-11-10,0.019
J01-9005-1 (J03P05),2023-11-11,0.039
J01-9005-1 (J03P05),2023-11-12,0.034
J01-9005-1 (J03P05),2023-11-13,0.142
J01-9005-1 (J03P05),2023-11-14,0.054
J01-9005-1 (J03P05),2023-11-15,0.121
J01-9005-1 (J03P05),2023-11-16,0.005
J01-9005-1 (J03P05),2023-11-17,0.003
J01-9005-1 (J03P05),2023-11-18,0.005
J01-9005-1 (J03P05),2023-11-19,0.006
J01-9005-1 (J03P05),2023-11-20,0.003
J01-9005-1 (J03P05),2023-11-21,0.004
J01-9005-1 (J03P05),2023-11-22,0.004
J01-9005-1 (J03P05),2023-11-23,0.005
J01-9005-1 (J03P05),2023-11-24,0.006
J01-9005-1 (J03P05),2023-11-25,0.003
J01-9005-1 (J03P05),2023-11-26,0.004
J01-9005-1 (J03P05),2023-11-27,0.004
J01-9005-1 (J03P05),2023-11-28,0.004
J01-9005-1 (J03P05),2023-11-29,0.003
J01-9005-1 (J03P05),2023-11-30,0.051
J01-9005-1 (J03P05),2023-12-01,0.004
J01-9005-1 (J03P05),2023-12-02,0.002
J01-9005-1 (J03P05),2023-12-03,0.002
J01-9005-1 (J03P05),2023-12-04,0.003
J01-9005-1 (J03P05),2023-12-05,0.003
J01-9005-1 (J03P05),2023-12-06,0.002
J01-9005-1 (J03P05),2023-12-07,0.004
J01-9005-1 (J03P05),2023-12-08,0.005
J01-9005-1 (J03P05),2023-12-09,0.002
J01-9005-1 (J03P05),2023-12-10,0.003
J01-9005-1 (J03P05),2023-12-11,0.033
J01-9005-1 (J03P05),2023-12-12,0.039
J01-9005-1 (J03P05),2023-12-13,0.036
J01-9005-1 (J03P05),2023-12-14,0.029
J01-9005-1 (J03P05),2023-12-15,0.034
J01-9005-1 (J03P05),2023-12-16,0.066
J01-9005-1 (J03P05),2023-12-17,0.057
J01-9005-1 (J03P05),2023-12-18,0.053
J01-9005-1 (J03P05),2023-12-19,0.004
J01-9005-1 (J03P05),2023-12-20,0.193
J01-9005-1 (J03P05),2023-12-21,0.051
J01-9005-1 (J03P05),2023-12-22,0.63
J01-9005-1 (J03P05),2023-12-23,0.005
J01-9005-1 (J03P05),2023-12-24,0.003
J01-9005-1 (J03P05),2023-12-25,0.003
J01-9005-1 (J03P05),2023-12-26,0.003
J01-9005-1 (J03P05),2023-12-27,0.004
J01-9005-1 (J03P05),2023-12-28,0.004
J01-9005-1 (J03P05),2023-12-29,0.004
J01-9005-1 (J03P05),2023-12-30,0.107
J01-9005-1 (J03P05),2024-01-02,0.004
J01-9005-1 (J03P05),2024-01-03,0.303
J01-9005-1 (J03P05),2024-01-04,0.006
J01-9005-1 (J03P05),2024-01-05,0.004
J01-9005-1 (J03P05),2024-01-06,0.003
J01-9005-1 (J03P05),2024-01-07,0.006
J01-9005-1 (J03P05),2024-01-08,0.002
J01-9005-1 (J03P05),2024-01-09,0.003
J01-9005-1 (J03P05),2024-01-10,0.004
J01-9005-1 (J03P05),2024-01-11,0.005
J01-9005-1 (J03P05),2024-01-12,0.003
J01-9005-1 (J03P05),2024-01-13,0.335
J01-9005-1 (J03P05),2024-01-14,0.663
J01-9005-1 (J03P05),2024-01-15,0.365
J01-9005-1 (J03P05),2024-01-16,0.048
J01-9005-1 (J03P05),2024-01-17,0.004
J01-9005-1 (J03P05),2024-01-18,0.004
J01-9005-1 (J03P05),2024-01-19,0.004
J01-9005-1 (J03P05),2024-01-20,0.199
J01-9005-1 (J03P05),2024-01-21,0.042
J01-9005-1 (J03P05),2024-01-22,9.05
J01-9005-1 (J03P05),2024-01-23,1.97
J01-9005-1 (J03P05),2024-01-24,0.009
J01-9005-1 (J03P05),2024-01-25,0.008
J01-9005-1 (J03P05),2024-01-26,0.008
J01-9005-1 (J03P05),2024-01-27,0.009
J01-9005-1 (J03P05),2024-01-28,0.006
J01-9005-1 (J03P05),2024-01-29,0.004
J01-9005-1 (J03P05),2024-01-30,0.003
J01-9005-1 (J03P05),2024-01-31,0.005
J01-9005-1 (J03P05),2024-02-01,12.9
J01-9005-1 (J03P05),2024-02-02,6.34
J01-9005-1 (J03P05),2024-02-03,0.444
J01-9005-1 (J03P05),2024-02-04,6.66
J01-9005-1 (J03P05),2024-02-05,47.1
J01-9005-1 (J03P05),2024-02-06,27.5
J01-9005-1 (J03P05),2024-02-08,9.35
J01-9005-1 (J03P05),2024-02-09,11.1
J01-9005-1 (J03P05),2024-02-10,2.02
J01-9005-1 (J03P05),2024-02-11,0.018
J01-9005-1 (J03P05),2024-02-12,0.012
J01-9005-1 (J03P05),2024-02-13,0.01
J01-9005-1 (J03P05),2024-02-14,0.009
J01-9005-1 (J03P05),2024-02-15,0.007
J01-9005-1 (J03P05),2024-02-16,0.006
J01-9005-1 (J03P05),2024-02-17,0.005
J01-9005-1 (J03P05),2024-02-18,0.005
J01-9005-1 (J03P05),2024-02-19,0.023
J01-9005-1 (J03P05),2024-02-20,8.08
J01-9005-1 (J03P05),2024-02-21,11.2
J01-9005-1 (J03P05),2024-02-22,2.73
J01-9005-1 (J03P05),2024-02-23,0.143
J01-9005-1 (J03P05),2024-02-24,0.01
J01-9005-1 (J03P05),2024-02-25,0.008
J01-9005-1 (J03P05),2024-02-26,0.008
J01-9005-1 (J03P05),2024-02-27,0.006
J01-9005-1 (J03P05),2024-02-28,0.006
J01-9005-1 (J03P05),2024-02-29,0.005
J01-9005-1 (J03P05),2024-03-01,0.004
J01-9005-1 (J03P05),2024-03-02,0.065
J01-9005-1 (J03P05),2024-03-03,0.073
J01-9005-1 (J03P05),2024-03-04,0.008
J01-9005-1 (J03P05),2024-03-05,0.007
J01-9005-1 (J03P05),2024-03-06,1.36
J01-9005-1 (J03P05),2024-03-07,5.41
J01-9005-1 (J03P05),2024-03-08,5.26
J01-9005-1 (J03P05),2024-03-09,4.45
J01-9005-1 (J03P05),2024-03-10,3.49
J01-9005-1 (J03P05),2024-03-11,2.59
J01-9005-1 (J03P05),2024-03-12,2.34
J01-9005-1 (J03P05),2024-03-13,1.68
J01-9005-1 (J03P05),2024-03-14,1.07
J01-9005-1 (J03P05),2024-03-15,0.58
J01-9005-1 (J03P05),2024-03-16,0.287
J01-9005-1 (J03P05),2024-03-17,0.097
J01-9005-1 (J03P05),2024-03-18,0.017
J01-9005-1 (J03P05),2024-03-19,0.004
J01-9005-1 (J03P05),2024-03-20,0.005
J01-9005-1 (J03P05),2024-03-21,0.003
