FacilityID,ObsRecordDate,FlowConnectivity,FlowCondition,PersistentFlow,SampleDry,FloatDischargeCFS,AvgDischarge,VolumeDischargeCFS,date,rain_gage,wet_within_72,GlobalID,QInscfsV,QInscfsF,QInscfsFadj,QInscfs
L02-166-2 (L02P25),2024-08-22,Direct Connection,Flowing,Yes,NA,0.162,0.235352,0.111,2024-08-22,TRABUCO,FALSE,{FF3574C5-E460-4A7F-94BD-7DEF35298977},0.111,0.162,0.11177999999999999,0.111
L02-166-2 (L02P25),2024-06-20,Undetermined,Flowing,Yes,NA,0.14,0.235352,NA,2024-06-20,TRABUCO,FALSE,{FF3574C5-E460-4A7F-94BD-7DEF35298977},NA,0.14,0.0966,0.0966
L02-166-2 (L02P25),2024-06-19,Undetermined,Flowing,Yes,NA,0.294,0.235352,NA,2024-06-19,TRABUCO,FALSE,{FF3574C5-E460-4A7F-94BD-7DEF35298977},NA,0.294,0.20285999999999998,0.20285999999999998
L02-166-2 (L02P25),2023-11-20,Undetermined,Flowing,Yes,NA,NA,0.235352,0.057,2023-11-20,TRABUCO,FALSE,{FF3574C5-E460-4A7F-94BD-7DEF35298977},0.057,NA,NA,0.057
L03-708-9,2024-07-15,Direct Connection,Flowing,Yes,NA,0.008072,0.049438,0.012,2024-07-15,SULPHURCREEK,FALSE,{FD9D5E93-9C46-49EC-B628-B56D1864239C},0.012,0.008072,0.005569679999999999,0.012
L03-708-9,2024-05-13,Direct Connection,Flowing,Yes,NA,0.111724,0.049438,0.03,2024-05-13,SULPHURCREEK,FALSE,{FD9D5E93-9C46-49EC-B628-B56D1864239C},0.03,0.111724,0.07708956,0.03
DP06-12106-1,2024-06-27,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,NA,0.134043,0.254075,0.038,2024-06-27,DANAPOINT,FALSE,{FA96D381-A5FA-4EF8-9755-46E6C80C3DBB},0.038,0.134043,0.09248967,0.038
DP06-12106-1,2024-08-26,Undetermined,Pooled or Ponded,Yes,NA,0.063158,0.254075,NA,2024-08-26,DANAPOINT,FALSE,{FA96D381-A5FA-4EF8-9755-46E6C80C3DBB},NA,0.063158,0.04357902,0.04357902
M01-124-4,2024-05-22,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,NA,0,0.001617,0,2024-05-22,PALISADES,FALSE,{FA68CCE1-A2A8-414F-8411-9E05511C841E},0,0,0,0
M01-124-4,2024-08-19,Partial - Significant Distance,Flowing,Unknown,NA,0.003653,0.001617,0.005,2024-08-19,PALISADES,FALSE,{FA68CCE1-A2A8-414F-8411-9E05511C841E},0.005,0.003653,0.0025205699999999998,0.005
L01-749-2d,2024-06-25,Undetermined,Flowing,Yes,NA,NA,0.081752,NA,2024-06-25,PALISADES,FALSE,{F974B699-BEF5-4874-8BF5-762E5BABC0EC},NA,NA,NA,NA
L01-749-2d,2024-08-15,Direct Connection,Pooled or Ponded,Yes,NA,NA,0.081752,NA,2024-08-15,PALISADES,FALSE,{F974B699-BEF5-4874-8BF5-762E5BABC0EC},NA,NA,NA,NA
SC01-077-2,2024-08-19,Direct Connection,Flowing,Unknown,NA,0.08,0.019583,0.014,2024-08-19,PALISADES,FALSE,{F83925F7-70B4-4C25-8F17-86AD7D1BE492},0.014,0.08,0.0552,0.014
SC01-077-2,2024-05-23,Direct Connection,Pooled or Ponded,Unknown,NA,NA,0.019583,NA,2024-05-23,PALISADES,FALSE,{F83925F7-70B4-4C25-8F17-86AD7D1BE492},NA,NA,NA,NA
J01-9066-2 (J01P03),2024-08-15,Direct Connection,Flowing,Yes,NA,0.13,0.085018,0.066,2024-08-15,ELTORO,FALSE,{F7A1B2B3-02A7-4B84-A84B-A6BA19C83F0B},0.066,0.13,0.0897,0.066
J01-10006-1,2024-09-10,Partial - Significant Distance,Pooled or Ponded,Yes,NA,NA,0,NA,2024-09-10,ELTORO,FALSE,{F79CDE56-859F-4A33-BFA7-8A7FFBF9055A},NA,NA,NA,NA
