JURISDICTI3,Sample Type,Parameter,LoadsJurs,LoadsPoundsQUns,TotalLoadPounds
MISSION VIEJO,Total,"2,4'-DDD",0.001866708,0.001990957,0.003857665
LAKE FOREST,Total,"2,4'-DDD",6.02E-05,4.26E-04,4.86E-04
RANCHO SANTA MARGARITA,Total,"2,4'-DDD",4.13E-04,0.002082021,0.00249552
ORANGE CO,Total,"2,4'-DDD",0.001823142,0.003453308,0.00527645
LAGUNA NIGUEL,Total,"2,4'-DDD",0.001041907,0.00621969,0.007261597
ALISO VIEJO,Total,"2,4'-DDD",1.80E-04,4.63E-04,6.43E-04
LAGUNA HILLS,Total,"2,4'-DDD",5.62E-06,0.001040912,0.001046533
LAGUNA WOODS,Total,"2,4'-DDD",1.03E-05,1.59E-04,1.70E-04
DANA POINT,Total,"2,4'-DDD",3.16E-04,2.52E-04,5.68E-04
SAN JUAN CAPISTRANO,Total,"2,4'-DDD",2.46E-04,0.001087879,0.001333971
LAGUNA BEACH,Total,"2,4'-DDD",1.38E-04,1.19E-04,2.56E-04
SAN CLEMENTE,Total,"2,4'-DDD",6.78E-04,0.001440002,0.002117875
MISSION VIEJO,Total,"2,4'-DDE",0.001866708,0.001990957,0.003857665
LAKE FOREST,Total,"2,4'-DDE",6.02E-05,4.26E-04,4.86E-04
RANCHO SANTA MARGARITA,Total,"2,4'-DDE",4.13E-04,0.002082021,0.00249552
ORANGE CO,Total,"2,4'-DDE",0.001823142,0.003453308,0.00527645
LAGUNA NIGUEL,Total,"2,4'-DDE",0.001041907,0.00621969,0.007261597
ALISO VIEJO,Total,"2,4'-DDE",1.80E-04,4.63E-04,6.43E-04
LAGUNA HILLS,Total,"2,4'-DDE",5.62E-06,0.001040912,0.001046533
LAGUNA WOODS,Total,"2,4'-DDE",1.03E-05,1.59E-04,1.70E-04
DANA POINT,Total,"2,4'-DDE",3.16E-04,2.52E-04,5.68E-04
SAN JUAN CAPISTRANO,Total,"2,4'-DDE",2.46E-04,0.001087879,0.001333971
LAGUNA BEACH,Total,"2,4'-DDE",1.38E-04,1.19E-04,2.56E-04
SAN CLEMENTE,Total,"2,4'-DDE",6.78E-04,0.001440002,0.002117875
MISSION VIEJO,Total,"2,4'-DDT",0.001866708,0.001990957,0.003857665
LAKE FOREST,Total,"2,4'-DDT",6.02E-05,4.26E-04,4.86E-04
RANCHO SANTA MARGARITA,Total,"2,4'-DDT",4.13E-04,0.002082021,0.00249552
ORANGE CO,Total,"2,4'-DDT",0.001823142,0.003453308,0.00527645
LAGUNA NIGUEL,Total,"2,4'-DDT",0.001041907,0.00621969,0.007261597
ALISO VIEJO,Total,"2,4'-DDT",1.80E-04,4.63E-04,6.43E-04
LAGUNA HILLS,Total,"2,4'-DDT",5.62E-06,0.001040912,0.001046533
LAGUNA WOODS,Total,"2,4'-DDT",1.03E-05,1.59E-04,1.70E-04
DANA POINT,Total,"2,4'-DDT",3.16E-04,2.52E-04,5.68E-04
SAN JUAN CAPISTRANO,Total,"2,4'-DDT",2.46E-04,0.001087879,0.001333971
LAGUNA BEACH,Total,"2,4'-DDT",1.38E-04,1.19E-04,2.56E-04
SAN CLEMENTE,Total,"2,4'-DDT",6.78E-04,0.001440002,0.002117875
MISSION VIEJO,Total,"4,4'-DDD",0.001866708,0.001990957,0.003857665
LAKE FOREST,Total,"4,4'-DDD",6.02E-05,4.26E-04,4.86E-04
RANCHO SANTA MARGARITA,Total,"4,4'-DDD",4.13E-04,0.002082021,0.00249552
ORANGE CO,Total,"4,4'-DDD",0.001823142,0.003453308,0.00527645
LAGUNA NIGUEL,Total,"4,4'-DDD",0.001041907,0.00621969,0.007261597
ALISO VIEJO,Total,"4,4'-DDD",1.80E-04,4.63E-04,6.43E-04
LAGUNA HILLS,Total,"4,4'-DDD",5.62E-06,0.001040912,0.001046533
LAGUNA WOODS,Total,"4,4'-DDD",1.03E-05,1.59E-04,1.70E-04
DANA POINT,Total,"4,4'-DDD",3.16E-04,2.52E-04,5.68E-04
SAN JUAN CAPISTRANO,Total,"4,4'-DDD",2.46E-04,0.001087879,0.001333971
LAGUNA BEACH,Total,"4,4'-DDD",1.38E-04,1.19E-04,2.56E-04
SAN CLEMENTE,Total,"4,4'-DDD",6.78E-04,0.001440002,0.002117875
MISSION VIEJO,Total,"4,4'-DDE",0.001866708,0.001990957,0.003857665
LAKE FOREST,Total,"4,4'-DDE",6.02E-05,4.26E-04,4.86E-04
RANCHO SANTA MARGARITA,Total,"4,4'-DDE",4.13E-04,0.002082021,0.00249552
ORANGE CO,Total,"4,4'-DDE",0.001823142,0.003453308,0.00527645
LAGUNA NIGUEL,Total,"4,4'-DDE",0.001081557,0.007028249,0.008109806
ALISO VIEJO,Total,"4,4'-DDE",1.81E-04,5.24E-04,7.04E-04
LAGUNA HILLS,Total,"4,4'-DDE",5.62E-06,0.001040912,0.001046533
LAGUNA WOODS,Total,"4,4'-DDE",1.03E-05,1.59E-04,1.70E-04
DANA POINT,Total,"4,4'-DDE",3.16E-04,2.52E-04,5.68E-04
SAN JUAN CAPISTRANO,Total,"4,4'-DDE",2.46E-04,0.001087879,0.001333971
LAGUNA BEACH,Total,"4,4'-DDE",1.38E-04,1.19E-04,2.56E-04
SAN CLEMENTE,Total,"4,4'-DDE",6.78E-04,0.001440002,0.002117875
MISSION VIEJO,Total,"4,4'-DDT",0.001866708,0.001990957,0.003857665
LAKE FOREST,Total,"4,4'-DDT",6.02E-05,4.26E-04,4.86E-04
RANCHO SANTA MARGARITA,Total,"4,4'-DDT",4.13E-04,0.002082021,0.00249552
ORANGE CO,Total,"4,4'-DDT",0.001823142,0.003453308,0.00527645
LAGUNA NIGUEL,Total,"4,4'-DDT",0.001041907,0.00621969,0.007261597
ALISO VIEJO,Total,"4,4'-DDT",1.80E-04,4.63E-04,6.43E-04
LAGUNA HILLS,Total,"4,4'-DDT",5.62E-06,0.001040912,0.001046533
LAGUNA WOODS,Total,"4,4'-DDT",1.03E-05,1.59E-04,1.70E-04
DANA POINT,Total,"4,4'-DDT",3.16E-04,2.52E-04,5.68E-04
SAN JUAN CAPISTRANO,Total,"4,4'-DDT",2.46E-04,0.001087879,0.001333971
LAGUNA BEACH,Total,"4,4'-DDT",1.38E-04,1.19E-04,2.56E-04
SAN CLEMENTE,Total,"4,4'-DDT",0.001119423,0.002039042,0.003158465
MISSION VIEJO,Total,Acenaphthene,0.004666771,0.004977393,0.009644163
LAKE FOREST,Total,Acenaphthene,1.50E-04,0.001064601,0.001214986
RANCHO SANTA MARGARITA,Total,Acenaphthene,0.001033747,0.005205052,0.0062388
ORANGE CO,Total,Acenaphthene,0.004557855,0.008633269,0.013191124
LAGUNA NIGUEL,Total,Acenaphthene,0.002604768,0.015549225,0.018153992
ALISO VIEJO,Total,Acenaphthene,4.50E-04,0.001158326,0.001608629
LAGUNA HILLS,Total,Acenaphthene,1.41E-05,0.00260228,0.002616332
LAGUNA WOODS,Total,Acenaphthene,2.57E-05,3.99E-04,4.24E-04
DANA POINT,Total,Acenaphthene,7.89E-04,6.31E-04,0.001419809
SAN JUAN CAPISTRANO,Total,Acenaphthene,6.15E-04,0.002719698,0.003334928
LAGUNA BEACH,Total,Acenaphthene,3.45E-04,2.96E-04,6.41E-04
SAN CLEMENTE,Total,Acenaphthene,0.001694684,0.003600004,0.005294688
MISSION VIEJO,Total,Acenaphthylene,0.004666771,0.004977393,0.009644163
LAKE FOREST,Total,Acenaphthylene,1.50E-04,0.001064601,0.001214986
RANCHO SANTA MARGARITA,Total,Acenaphthylene,0.001033747,0.005205052,0.0062388
ORANGE CO,Total,Acenaphthylene,0.004557855,0.008633269,0.013191124
LAGUNA NIGUEL,Total,Acenaphthylene,0.002604768,0.015549225,0.018153992
ALISO VIEJO,Total,Acenaphthylene,4.50E-04,0.001158326,0.001608629
LAGUNA HILLS,Total,Acenaphthylene,1.41E-05,0.00260228,0.002616332
LAGUNA WOODS,Total,Acenaphthylene,2.57E-05,3.99E-04,4.24E-04
DANA POINT,Total,Acenaphthylene,7.89E-04,6.31E-04,0.001419809
SAN JUAN CAPISTRANO,Total,Acenaphthylene,6.15E-04,0.002719698,0.003334928
LAGUNA BEACH,Total,Acenaphthylene,3.45E-04,2.96E-04,6.41E-04
SAN CLEMENTE,Total,Acenaphthylene,0.001694684,0.003600004,0.005294688
MISSION VIEJO,Total,Aldrin,0.004666771,0.004977393,0.009644163
LAKE FOREST,Total,Aldrin,1.50E-04,0.001064601,0.001214986
RANCHO SANTA MARGARITA,Total,Aldrin,0.001033747,0.005205052,0.0062388
ORANGE CO,Total,Aldrin,0.004557855,0.008633269,0.013191124
LAGUNA NIGUEL,Total,Aldrin,0.002604768,0.015549225,0.018153992
ALISO VIEJO,Total,Aldrin,4.50E-04,0.001158326,0.001608629
LAGUNA HILLS,Total,Aldrin,1.41E-05,0.00260228,0.002616332
LAGUNA WOODS,Total,Aldrin,2.57E-05,3.99E-04,4.24E-04
DANA POINT,Total,Aldrin,7.89E-04,6.31E-04,0.001419809
SAN JUAN CAPISTRANO,Total,Aldrin,6.15E-04,0.002719698,0.003334928
LAGUNA BEACH,Total,Aldrin,3.45E-04,2.96E-04,6.41E-04
SAN CLEMENTE,Total,Aldrin,0.001694684,0.003600004,0.005294688
MISSION VIEJO,Total,BHC-alpha,0.004666771,0.004977393,0.009644163
LAKE FOREST,Total,BHC-alpha,1.50E-04,0.001064601,0.001214986
RANCHO SANTA MARGARITA,Total,BHC-alpha,0.001033747,0.005205052,0.0062388
ORANGE CO,Total,BHC-alpha,0.004557855,0.008633269,0.013191124
LAGUNA NIGUEL,Total,BHC-alpha,0.002604768,0.015549225,0.018153992
ALISO VIEJO,Total,BHC-alpha,4.50E-04,0.001158326,0.001608629
LAGUNA HILLS,Total,BHC-alpha,1.41E-05,0.00260228,0.002616332
LAGUNA WOODS,Total,BHC-alpha,2.57E-05,3.99E-04,4.24E-04
DANA POINT,Total,BHC-alpha,7.89E-04,6.31E-04,0.001419809
SAN JUAN CAPISTRANO,Total,BHC-alpha,6.15E-04,0.002719698,0.003334928
LAGUNA BEACH,Total,BHC-alpha,3.45E-04,2.96E-04,6.41E-04
SAN CLEMENTE,Total,BHC-alpha,0.001694684,0.003600004,0.005294688
MISSION VIEJO,Total,alpha Chlordane,0.001866708,0.001990957,0.003857665
LAKE FOREST,Total,alpha Chlordane,6.02E-05,4.26E-04,4.86E-04
RANCHO SANTA MARGARITA,Total,alpha Chlordane,4.13E-04,0.002082021,0.00249552
