JURISDICTI3,Sample Type,Parameter,LoadsJurs,LoadsPoundsQUns,TotalLoadPounds
MISSION VIEJO,Total,Cadmium,25.25318078,10.54594678,35.79912755
MISSION VIEJO,Dissolved,Cadmium,13.05265985,10.54594678,23.59860663
LAKE FOREST,Total,Cadmium,0.02182767,0.143508207,0.165335877
LAKE FOREST,Dissolved,Cadmium,0.023955278,0.143508207,0.167463485
RANCHO SANTA MARGARITA,Total,Cadmium,0.996839388,6.558366035,7.555205423
RANCHO SANTA MARGARITA,Dissolved,Cadmium,0.453232993,6.558366035,7.011599028
ORANGE CO,Total,Cadmium,4.150611672,17.16509717,21.31570884
ORANGE CO,Dissolved,Cadmium,3.455432507,17.16509717,20.62052968
LAGUNA NIGUEL,Total,Cadmium,4.505344899,15.14860332,19.65394822
ALISO VIEJO,Total,Cadmium,0.18205267,0.619848965,0.801901635
LAGUNA NIGUEL,Dissolved,Cadmium,2.39442544,15.14860332,17.54302876
ALISO VIEJO,Dissolved,Cadmium,0.126378289,0.619848965,0.746227254
LAGUNA HILLS,Total,Cadmium,0.002669864,0.491830928,0.494500792
LAGUNA WOODS,Total,Cadmium,0.004886736,0.075358205,0.080244941
LAGUNA HILLS,Dissolved,Cadmium,0.00264176,0.491830928,0.494472688
LAGUNA WOODS,Dissolved,Cadmium,0.004835297,0.075358205,0.080193502
DANA POINT,Total,Cadmium,2.085659258,0.446048458,2.531707716
SAN JUAN CAPISTRANO,Total,Cadmium,0.345981678,0.407460253,0.75344193
DANA POINT,Dissolved,Cadmium,0.599476098,0.446048458,1.045524556
SAN JUAN CAPISTRANO,Dissolved,Cadmium,0.098492935,0.407460253,0.505953188
LAGUNA BEACH,Total,Cadmium,0.013788889,0.01185861,0.025647499
LAGUNA BEACH,Dissolved,Cadmium,0.013788889,0.01185861,0.025647499
SAN CLEMENTE,Total,Cadmium,8.026012483,27.80553171,35.8315442
SAN CLEMENTE,Dissolved,Cadmium,6.514787092,27.80553171,34.3203188
MISSION VIEJO,Total,Chromium,0.970888154,0.730254634,1.701142788
MISSION VIEJO,Dissolved,Chromium,0.718580389,0.730254634,1.448835023
LAKE FOREST,Total,Chromium,0.064737748,0.272537842,0.337275589
LAKE FOREST,Dissolved,Chromium,0.024202881,0.272537842,0.296740722
RANCHO SANTA MARGARITA,Total,Chromium,0.165899865,0.655142597,0.821042462
RANCHO SANTA MARGARITA,Dissolved,Chromium,0.110389288,0.655142597,0.765531884
ORANGE CO,Total,Chromium,0.860283474,2.280752712,3.141036186
ORANGE CO,Dissolved,Chromium,0.507088799,2.280752712,2.787841511
LAGUNA NIGUEL,Total,Chromium,0.512478876,2.406037899,2.918516774
ALISO VIEJO,Total,Chromium,0.300590602,0.505544755,0.806135357
LAGUNA NIGUEL,Dissolved,Chromium,0.41724002,2.406037899,2.823277919
ALISO VIEJO,Dissolved,Chromium,0.195880875,0.505544755,0.70142563
LAGUNA HILLS,Total,Chromium,0.002922798,0.536069689,0.538992487
LAGUNA WOODS,Total,Chromium,0.00534969,0.082136456,0.087486146
LAGUNA HILLS,Dissolved,Chromium,0.00286659,0.536069689,0.538936279
LAGUNA WOODS,Dissolved,Chromium,0.005246812,0.082136456,0.087383268
DANA POINT,Total,Chromium,0.204088624,0.107428755,0.311517378
SAN JUAN CAPISTRANO,Total,Chromium,0.12967123,0.301206586,0.430877815
DANA POINT,Dissolved,Chromium,0.148639033,0.107428755,0.256067788
SAN JUAN CAPISTRANO,Dissolved,Chromium,0.052343264,0.301206586,0.35354985
LAGUNA BEACH,Total,Chromium,0.048507882,0.027867733,0.076375615
LAGUNA BEACH,Dissolved,Chromium,0.042122787,0.027867733,0.069990521
SAN CLEMENTE,Total,Chromium,0.721325916,1.212301383,1.933627299
SAN CLEMENTE,Dissolved,Chromium,0.295579346,1.212301383,1.507880729
MISSION VIEJO,Total,Copper,9.433083598,10.18706399,19.62014759
MISSION VIEJO,Dissolved,Copper,6.762505697,10.18706399,16.94956969
LAKE FOREST,Total,Copper,0.565860033,2.432613158,2.998473191
LAKE FOREST,Dissolved,Copper,0.347131343,2.432613158,2.779744501
RANCHO SANTA MARGARITA,Total,Copper,2.40174076,9.963957469,12.36569823
RANCHO SANTA MARGARITA,Dissolved,Copper,1.639393584,9.963957469,11.60335105
ORANGE CO,Total,Copper,5.706408527,15.10361641,20.81002494
ORANGE CO,Dissolved,Copper,3.875030033,15.10361641,18.97864644
LAGUNA NIGUEL,Total,Copper,11.00081051,31.91478332,42.91559383
ALISO VIEJO,Total,Copper,1.045574891,2.154485541,3.200060432
LAGUNA NIGUEL,Dissolved,Copper,7.347760566,31.91478332,39.26254388
ALISO VIEJO,Dissolved,Copper,0.747133376,2.154485541,2.901618917
LAGUNA HILLS,Total,Copper,0.021358908,3.487055257,3.508414165
LAGUNA WOODS,Total,Copper,0.03909389,0.534285687,0.573379576
LAGUNA HILLS,Dissolved,Copper,0.01630022,3.487055257,3.503355476
LAGUNA WOODS,Dissolved,Copper,0.02983481,0.534285687,0.564120497
DANA POINT,Total,Copper,3.603572473,1.889989243,5.493561716
SAN JUAN CAPISTRANO,Total,Copper,0.821089843,3.250039455,4.071129298
DANA POINT,Dissolved,Copper,2.328454154,1.889989243,4.218443397
SAN JUAN CAPISTRANO,Dissolved,Copper,0.588959737,3.250039455,3.838999192
LAGUNA BEACH,Total,Copper,0.197856122,0.207525672,0.405381794
LAGUNA BEACH,Dissolved,Copper,0.241305558,0.207525672,0.44883123
SAN CLEMENTE,Total,Copper,3.358810435,5.868006692,9.226817128
SAN CLEMENTE,Dissolved,Copper,2.425682211,5.868006692,8.293688904
MISSION VIEJO,Total,Enterococcus,2.48232E+14,1.0988E+14,3.58112E+14
LAKE FOREST,Total,Enterococcus,1.20761E+12,4.08851E+12,5.29612E+12
RANCHO SANTA MARGARITA,Total,Enterococcus,2.67709E+13,8.18312E+13,1.08602E+14
ORANGE CO,Total,Enterococcus,1.04482E+13,9.06694E+13,1.01118E+14
LAGUNA NIGUEL,Total,Enterococcus,3.09424E+13,6.09967E+13,9.19391E+13
ALISO VIEJO,Total,Enterococcus,9.1258E+12,1.28037E+13,2.19295E+13
LAGUNA HILLS,Total,Enterococcus,40792547301,3.77719E+12,3.81799E+12
LAGUNA WOODS,Total,Enterococcus,74663897171,5.78741E+11,6.53405E+11
DANA POINT,Total,Enterococcus,6.55918E+12,3.31051E+12,9.86969E+12
SAN JUAN CAPISTRANO,Total,Enterococcus,4.12001E+12,9.95542E+12,1.40754E+13
LAGUNA BEACH,Total,Enterococcus,2.54418E+11,1.19234E+11,3.73652E+11
