JURISDICTI3,QJur_US,Sample Type,Parameter,ResultJuris,Units,LoadQUns,LoadsPoundsQUns
LAGUNA BEACH,1899568.6488852124,Total,"2,4'-DDD",1,ng/L,1899568.6488852124,1.1858609833672725e-4
LAGUNA BEACH,1899568.6488852124,Total,"2,4'-DDE",1,ng/L,1899568.6488852124,1.1858609833672725e-4
LAGUNA BEACH,1899568.6488852124,Total,"2,4'-DDT",1,ng/L,1899568.6488852124,1.1858609833672725e-4
LAGUNA BEACH,1899568.6488852124,Total,"4,4'-DDD",1,ng/L,1899568.6488852124,1.1858609833672725e-4
LAGUNA BEACH,1899568.6488852124,Total,"4,4'-DDE",1,ng/L,1899568.6488852124,1.1858609833672725e-4
LAGUNA BEACH,1899568.6488852124,Total,"4,4'-DDT",1,ng/L,1899568.6488852124,1.1858609833672725e-4
LAGUNA BEACH,1899568.6488852124,Total,Acenaphthene,2.5,ng/L,4748921.622213031,2.964652458418181e-4
LAGUNA BEACH,1899568.6488852124,Total,Acenaphthylene,2.5,ng/L,4748921.622213031,2.964652458418181e-4
LAGUNA BEACH,1899568.6488852124,Total,Aldrin,2.5,ng/L,4748921.622213031,2.964652458418181e-4
LAGUNA BEACH,1899568.6488852124,Total,BHC-alpha,2.5,ng/L,4748921.622213031,2.964652458418181e-4
LAGUNA BEACH,1899568.6488852124,Total,alpha Chlordane,1,ng/L,1899568.6488852124,1.1858609833672725e-4
LAGUNA BEACH,1899568.6488852124,Total,"Ammonia, as Nitrogen",0.05,mg/L,94978.43244426063,5.9293049168363625
LAGUNA BEACH,1899568.6488852124,Total,Anthracene,2.5,ng/L,4748921.622213031,2.964652458418181e-4
LAGUNA BEACH,1899568.6488852124,Total,"Arsenic, Total",2,ug/L,3799137.2977704247,0.2371721966734545
LAGUNA BEACH,1899568.6488852124,Dissolved,"Arsenic, Total",2,ug/L,3799137.2977704247,0.2371721966734545
LAGUNA BEACH,1899568.6488852124,Total,Azinphos Methyl,5,ng/L,9497843.244426062,5.929304916836362e-4
LAGUNA BEACH,1899568.6488852124,Total,Benz[a]anthracene,2.5,ng/L,4748921.622213031,2.964652458418181e-4
LAGUNA BEACH,1899568.6488852124,Total,Benzo[a]pyrene,2.5,ng/L,4748921.622213031,2.964652458418181e-4
LAGUNA BEACH,1899568.6488852124,Total,Benzo[b]fluoranthene,2.5,ng/L,4748921.622213031,2.964652458418181e-4
LAGUNA BEACH,1899568.6488852124,Total,"Benzo(g,h,i)perylene",2.5,ng/L,4748921.622213031,2.964652458418181e-4
LAGUNA BEACH,1899568.6488852124,Total,Benzo(k)fluoranthene,2.5,ng/L,4748921.622213031,2.964652458418181e-4
LAGUNA BEACH,1899568.6488852124,Total,BHC-beta,2.5,ng/L,4748921.622213031,2.964652458418181e-4
LAGUNA BEACH,1899568.6488852124,Total,Biphenyl,2.5,ng/L,4748921.622213031,2.964652458418181e-4
LAGUNA BEACH,1899568.6488852124,Total,Bolstar (Sulprofos),2,ng/L,3799137.2977704247,2.371721966734545e-4
LAGUNA BEACH,1899568.6488852124,Total,Cadmium,0.1,ug/L,189956.86488852126,0.011858609833672725
LAGUNA BEACH,1899568.6488852124,Dissolved,Cadmium,0.1,ug/L,189956.86488852126,0.011858609833672725
LAGUNA BEACH,1899568.6488852124,Total,Calcium,401,ug/L,761727028.2029701,47.55302543302763
LAGUNA BEACH,1899568.6488852124,Total,Chloride,1625,mg/L,3086799054.43847,192702.40979718175
LAGUNA BEACH,1899568.6488852124,Total,Chlorpyrifos,0.5,ng/L,949784.3244426062,5.9293049168363625e-5
LAGUNA BEACH,1899568.6488852124,Total,Chromium,0.23500000000000001,ug/L,446398.63248802494,0.027867733109130904
LAGUNA BEACH,1899568.6488852124,Dissolved,Chromium,0.23500000000000001,ug/L,446398.63248802494,0.027867733109130904
LAGUNA BEACH,1899568.6488852124,Total,Chrysene,2.5,ng/L,4748921.622213031,2.964652458418181e-4
LAGUNA BEACH,1899568.6488852124,Total,Copper,1.75,ug/L,3324245.1355491215,0.20752567208927267
LAGUNA BEACH,1899568.6488852124,Dissolved,Copper,1.75,ug/L,3324245.1355491215,0.20752567208927267
LAGUNA BEACH,1899568.6488852124,Total,delta BHC,2.5,ng/L,4748921.622213031,2.964652458418181e-4
LAGUNA BEACH,1899568.6488852124,Total,Demeton,1,ng/L,1899568.6488852124,1.1858609833672725e-4
LAGUNA BEACH,1899568.6488852124,Total,Diazinon,0.5,ng/L,949784.3244426062,5.9293049168363625e-5
