JURISDICTI3,Sample Type,Parameter,Units,LoadsPoundsQUns,LoadQUns_j
LAGUNA BEACH,Total,"2,4'-DDD",ng/L,1.1858609833672725e-4,1.1858609833672725e-4
LAGUNA BEACH,Total,"2,4'-DDE",ng/L,1.1858609833672725e-4,1.1858609833672725e-4
LAGUNA BEACH,Total,"2,4'-DDT",ng/L,1.1858609833672725e-4,1.1858609833672725e-4
LAGUNA BEACH,Total,"4,4'-DDD",ng/L,1.1858609833672725e-4,1.1858609833672725e-4
LAGUNA BEACH,Total,"4,4'-DDE",ng/L,1.1858609833672725e-4,1.1858609833672725e-4
LAGUNA BEACH,Total,"4,4'-DDT",ng/L,1.1858609833672725e-4,1.1858609833672725e-4
LAGUNA BEACH,Total,Acenaphthene,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,Acenaphthylene,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,Aldrin,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,BHC-alpha,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,alpha Chlordane,ng/L,1.1858609833672725e-4,1.1858609833672725e-4
LAGUNA BEACH,Total,"Ammonia, as Nitrogen",mg/L,5.9293049168363625,5.9293049168363625
LAGUNA BEACH,Total,Anthracene,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,"Arsenic, Total",ug/L,0.2371721966734545,0.2371721966734545
LAGUNA BEACH,Dissolved,"Arsenic, Total",ug/L,0.2371721966734545,0.2371721966734545
LAGUNA BEACH,Total,Azinphos Methyl,ng/L,5.929304916836362e-4,5.929304916836362e-4
LAGUNA BEACH,Total,Benz[a]anthracene,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,Benzo[a]pyrene,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,Benzo[b]fluoranthene,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,"Benzo(g,h,i)perylene",ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,Benzo(k)fluoranthene,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,BHC-beta,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,Biphenyl,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,Bolstar (Sulprofos),ng/L,2.371721966734545e-4,2.371721966734545e-4
LAGUNA BEACH,Total,Cadmium,ug/L,0.011858609833672725,0.011858609833672725
LAGUNA BEACH,Dissolved,Cadmium,ug/L,0.011858609833672725,0.011858609833672725
LAGUNA BEACH,Total,Calcium,ug/L,47.55302543302763,47.55302543302763
LAGUNA BEACH,Total,Chlorpyrifos,ng/L,5.9293049168363625e-5,5.9293049168363625e-5
LAGUNA BEACH,Total,Chromium,ug/L,0.027867733109130904,0.027867733109130904
LAGUNA BEACH,Dissolved,Chromium,ug/L,0.027867733109130904,0.027867733109130904
LAGUNA BEACH,Total,Chrysene,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,Copper,ug/L,0.20752567208927267,0.20752567208927267
LAGUNA BEACH,Dissolved,Copper,ug/L,0.20752567208927267,0.20752567208927267
LAGUNA BEACH,Total,delta BHC,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,Demeton,ng/L,1.1858609833672725e-4,1.1858609833672725e-4
LAGUNA BEACH,Total,Diazinon,ng/L,5.9293049168363625e-5,5.9293049168363625e-5
LAGUNA BEACH,Total,"Dibenz(a,h)anthracene",ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,Dibenzothiophene,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,Dichlorvos,ng/L,3.5575829501018167e-4,3.5575829501018167e-4
LAGUNA BEACH,Total,Dieldrin,ng/L,1.1858609833672725e-4,1.1858609833672725e-4
LAGUNA BEACH,Total,Dimethoate,ng/L,5.929304916836362e-4,5.929304916836362e-4
LAGUNA BEACH,Total,Disulfoton,ng/L,1.1858609833672725e-4,1.1858609833672725e-4
LAGUNA BEACH,Total,DOC,ng/L,5.840365343083817e-4,5.840365343083817e-4
LAGUNA BEACH,Total,E. coli,CFU/100 mL,88753014102.64209,88753014102.64209
LAGUNA BEACH,Total,Endosulfan I,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,Endosulfan II,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,Endosulfan sulfate,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,Endrin,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,Endrin aldehyde,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,Enterococcus,CFU/100 mL,119233847228.802,119233847228.802
LAGUNA BEACH,Total,Ethoprop,ng/L,1.1858609833672725e-4,1.1858609833672725e-4
LAGUNA BEACH,Total,Ethyl parathion,ng/L,0.0011858609833672723,0.0011858609833672723
LAGUNA BEACH,Total,Fecal coliforms,CFU/100 mL,143887462257.3137,143887462257.3137
LAGUNA BEACH,Total,Fenchlorophos,ng/L,2.371721966734545e-4,2.371721966734545e-4
LAGUNA BEACH,Total,Fensulfothion,ng/L,1.1858609833672725e-4,1.1858609833672725e-4
LAGUNA BEACH,Total,Fenthion,ng/L,2.371721966734545e-4,2.371721966734545e-4
LAGUNA BEACH,Total,Fluorene,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,gamma BHC,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,gamma Chlordane,ng/L,1.1858609833672725e-4,1.1858609833672725e-4
LAGUNA BEACH,Total,Hardness,NA,NA,NA
LAGUNA BEACH,Total,Heptachlor,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,Heptachlor epoxide,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,Hexavalent chromium,ug/L,0.005810718818499635,0.005810718818499635
LAGUNA BEACH,Dissolved,Hexavalent chromium,ug/L,0.005810718818499635,0.005810718818499635
LAGUNA BEACH,Total,"Indeno(1,2,3-cd)pyrene",ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,Iron,ug/L,4.550741523671907,4.550741523671907
LAGUNA BEACH,Dissolved,Iron,ug/L,4.550741523671907,4.550741523671907
LAGUNA BEACH,Total,Lead,ug/L,0.011858609833672725,0.011858609833672725
LAGUNA BEACH,Dissolved,Lead,ug/L,0.011858609833672725,0.011858609833672725
LAGUNA BEACH,Total,Magnesium,mg/L,49361.46343266271,49361.46343266271
LAGUNA BEACH,Total,Malathion,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,Manganese,ug/L,11.32497239115745,11.32497239115745
LAGUNA BEACH,Dissolved,Manganese,ug/L,11.32497239115745,11.32497239115745
LAGUNA BEACH,Total,MBAS,mg/L,10.791334948642179,10.791334948642179
LAGUNA BEACH,Total,Mercury,ug/L,0.0035575829501018176,0.0035575829501018176
LAGUNA BEACH,Dissolved,Mercury,ug/L,0.0035575829501018176,0.0035575829501018176
LAGUNA BEACH,Total,Merphos,ng/L,1.1858609833672725e-4,1.1858609833672725e-4
LAGUNA BEACH,Total,Methoxychlor,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,Methyl parathion,ng/L,1.1858609833672725e-4,1.1858609833672725e-4
LAGUNA BEACH,Total,Mevinphos,ng/L,5.929304916836362e-4,5.929304916836362e-4
LAGUNA BEACH,Total,Mirex,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,Naphthalene,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,Nickel,ug/L,0.4224629753245909,0.4224629753245909
LAGUNA BEACH,Dissolved,Nickel,ug/L,0.4224629753245909,0.4224629753245909
LAGUNA BEACH,Total,Nitrate+Nitrite Nitrogen,mg/L,59.293049168363616,59.293049168363616
LAGUNA BEACH,Total,Orthophosphate as P,mg/L,9.368301768601452,9.368301768601452
LAGUNA BEACH,Total,Phenanthrene,ng/L,2.964652458418181e-4,2.964652458418181e-4
LAGUNA BEACH,Total,Phorate,ng/L,5.929304916836362e-4,5.929304916836362e-4
LAGUNA BEACH,Total,Phosphorus as PO4,mg/L,43.58039113874726,43.58039113874726
LAGUNA BEACH,Total,Selenium,ug/L,1.424515506269936,1.424515506269936
LAGUNA BEACH,Dissolved,Selenium,ug/L,1.424515506269936,1.424515506269936
LAGUNA BEACH,Total,Silver,ug/L,0.011858609833672725,0.011858609833672725
LAGUNA BEACH,Dissolved,Silver,ug/L,0.011858609833672725,0.011858609833672725
LAGUNA BEACH,Total,Specific Conductivity,NA,NA,NA
LAGUNA BEACH,Total,Sulfate as SO4,mg/L,263854.0687992181,263854.0687992181
LAGUNA BEACH,Total,Tetrachlorvinphos (Stirofos),ng/L,2.371721966734545e-4,2.371721966734545e-4
LAGUNA BEACH,Total,Thallium,ug/L,0.011858609833672725,0.011858609833672725
LAGUNA BEACH,Dissolved,Thallium,ug/L,0.011858609833672725,0.011858609833672725
LAGUNA BEACH,Total,TOC,mg/L,545.4960523489453,545.4960523489453
LAGUNA BEACH,Total,Tokuthion,ng/L,3.5575829501018167e-4,3.5575829501018167e-4
LAGUNA BEACH,Total,Total Coliform,CFU/100 mL,NA,NA
LAGUNA BEACH,Total,Total Dissolved Solids (TDS),mg/L,764880.3342718907,764880.3342718907
LAGUNA BEACH,Total,Total Kjeldahl Nitrogen,mg/L,64.0364931018327,64.0364931018327
LAGUNA BEACH,Total,Total Suspended Solids,mg/L,486.2030031805817,486.2030031805817
LAGUNA BEACH,Total,Toxaphene,ng/L,0.0014823262292090902,0.0014823262292090902
LAGUNA BEACH,Total,trans-Nonachlor,ng/L,1.1858609833672725e-4,1.1858609833672725e-4
LAGUNA BEACH,Total,Trichloronate,ng/L,1.1858609833672725e-4,1.1858609833672725e-4
LAGUNA BEACH,Total,Volatile Suspended Solids,mg/L,450.62717367956355,450.62717367956355
LAGUNA BEACH,Total,Zinc,ug/L,0.5929304916836362,0.5929304916836362
LAGUNA BEACH,Dissolved,Zinc,ug/L,0.5929304916836362,0.5929304916836362
LAGUNA NIGUEL,Total,"2,4'-DDD",ng/L,0.006219689806361735,0.006219689806361735
LAGUNA NIGUEL,Total,"2,4'-DDE",ng/L,0.006219689806361735,0.006219689806361735
LAGUNA NIGUEL,Total,"2,4'-DDT",ng/L,0.006219689806361735,0.006219689806361735
LAGUNA NIGUEL,Total,"4,4'-DDD",ng/L,0.006219689806361735,0.006219689806361735
LAGUNA NIGUEL,Total,"4,4'-DDE",ng/L,0.007028249481188759,0.007028249481188759
LAGUNA NIGUEL,Total,"4,4'-DDT",ng/L,0.006219689806361735,0.006219689806361735
LAGUNA NIGUEL,Total,Acenaphthene,ng/L,0.015549224515904339,0.015549224515904339
LAGUNA NIGUEL,Total,Acenaphthylene,ng/L,0.015549224515904339,0.015549224515904339
LAGUNA NIGUEL,Total,Aldrin,ng/L,0.015549224515904339,0.015549224515904339
LAGUNA NIGUEL,Total,BHC-alpha,ng/L,0.015549224515904339,0.015549224515904339
LAGUNA NIGUEL,Total,alpha Chlordane,ng/L,0.006219689806361735,0.006219689806361735
LAGUNA NIGUEL,Total,"Ammonia, as Nitrogen",mg/L,849.226877407083,849.226877407083
LAGUNA NIGUEL,Total,Anthracene,ng/L,0.015549224515904339,0.015549224515904339
LAGUNA NIGUEL,Total,"Arsenic, Total",ug/L,17.726115948130946,17.726115948130946
LAGUNA NIGUEL,Dissolved,"Arsenic, Total",ug/L,17.726115948130946,17.726115948130946
LAGUNA NIGUEL,Total,Azinphos Methyl,ng/L,0.031098449031808677,0.031098449031808677
LAGUNA NIGUEL,Total,Benz[a]anthracene,ng/L,0.02688288149638572,0.02688288149638572
LAGUNA NIGUEL,Total,Benzo[a]pyrene,ng/L,0.023012852283538422,0.023012852283538422
LAGUNA NIGUEL,Total,Benzo[b]fluoranthene,ng/L,0.03241149465759615,0.03241149465759615
LAGUNA NIGUEL,Total,"Benzo(g,h,i)perylene",ng/L,0.049073352572194084,0.049073352572194084
LAGUNA NIGUEL,Total,Benzo(k)fluoranthene,ng/L,0.028887003767324507,0.028887003767324507
LAGUNA NIGUEL,Total,BHC-beta,ng/L,0.015549224515904339,0.015549224515904339
LAGUNA NIGUEL,Total,Biphenyl,ng/L,0.015549224515904339,0.015549224515904339
LAGUNA NIGUEL,Total,Bolstar (Sulprofos),ng/L,0.01243937961272347,0.01243937961272347
LAGUNA NIGUEL,Total,Cadmium,ug/L,15.148603319553393,15.148603319553393
LAGUNA NIGUEL,Dissolved,Cadmium,ug/L,15.148603319553393,15.148603319553393
LAGUNA NIGUEL,Total,Calcium,ug/L,1552.3568295453097,1552.3568295453097
LAGUNA NIGUEL,Total,Chlorpyrifos,ng/L,0.0031098449031808674,0.0031098449031808674
LAGUNA NIGUEL,Total,Chromium,ug/L,2.406037898776776,2.406037898776776
LAGUNA NIGUEL,Dissolved,Chromium,ug/L,2.406037898776776,2.406037898776776
LAGUNA NIGUEL,Total,Chrysene,ng/L,0.0275998735157302,0.0275998735157302
LAGUNA NIGUEL,Total,Copper,ug/L,31.91478331889365,31.91478331889365
LAGUNA NIGUEL,Dissolved,Copper,ug/L,31.91478331889365,31.91478331889365
LAGUNA NIGUEL,Total,delta BHC,ng/L,0.015549224515904339,0.015549224515904339
LAGUNA NIGUEL,Total,Demeton,ng/L,0.006219689806361735,0.006219689806361735
LAGUNA NIGUEL,Total,Diazinon,ng/L,0.0031098449031808674,0.0031098449031808674
LAGUNA NIGUEL,Total,"Dibenz(a,h)anthracene",ng/L,0.015549224515904339,0.015549224515904339
LAGUNA NIGUEL,Total,Dibenzothiophene,ng/L,0.015549224515904339,0.015549224515904339
LAGUNA NIGUEL,Total,Dichlorvos,ng/L,0.018659069419085204,0.018659069419085204
LAGUNA NIGUEL,Total,Dieldrin,ng/L,0.006219689806361735,0.006219689806361735
LAGUNA NIGUEL,Total,Dimethoate,ng/L,0.031098449031808677,0.031098449031808677
LAGUNA NIGUEL,Total,Disulfoton,ng/L,0.006219689806361735,0.006219689806361735
LAGUNA NIGUEL,Total,DOC,ng/L,0.03498575516078476,0.03498575516078476
