Station,medianTMcfs,MY,medianRcfs,medianOFPcfs,medianTM,medianOCFS2021cfs,medianSWN2022cfs,medianDFM2023cfs,medianSWN2023cfs,medianDFM2024cfs,medianSWN2024cfs
K01-12032-2 (K01P11),0.186875,MY2015-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
K01-12036-1,0.10354513888888889,MY2015-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
K01-12155-1,6.597222222222223e-5,MY2015-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
K01-12155-5,0.012611111111111111,MY2015-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
L01-242-1 (L07P16),0.0032239583333333335,MY2015-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
L01-760-1,0.019652279458333335,MY2015-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
L02-640-1 (L11P02),0.06861458333333334,MY2015-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
L03-141-1,0.020870833333333335,MY2015-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
L03-662-3 (L03P16),0.041543750000000004,MY2015-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
L03-691-1 (L03P09),0.19257291666666668,MY2015-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
M00.1-071-3 (M00S04),0.014670138888888889,MY2015-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01-042-1 (M01S01),0.09892013888888888,MY2015-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
M02-015-1,0.011802083333333333,MY2015-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
M02-052-2,0.49208665074309976,MY2015-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
M02-085-1 (M02P06),0.05750347222222222,MY2015-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
M02-085-2,0.22817708333333334,MY2015-16,NA,NA,NA,NA,NA,NA,NA,NA,NA
K01-12036-10,NA,MY2015-16,0.011220004021657291,NA,NA,NA,NA,NA,NA,NA,NA
K01-12036-5,NA,MY2015-16,0.06728022225347222,NA,NA,NA,NA,NA,NA,NA,NA
K01-12138-1 (K01TBN1),NA,MY2015-16,0.003953206753253942,NA,NA,NA,NA,NA,NA,NA,NA
L01-724-1 (L01S01),NA,MY2015-16,0.04072199895845022,NA,NA,NA,NA,NA,NA,NA,NA
L01-747-2,NA,MY2015-16,0.014113909013649426,NA,NA,NA,NA,NA,NA,NA,NA
L03-455-5,NA,MY2015-16,0.02460640738023983,NA,NA,NA,NA,NA,NA,NA,NA
L03-455-7,NA,MY2015-16,0.02795114971216852,NA,NA,NA,NA,NA,NA,NA,NA
L03-693-1 (L03P11),NA,MY2015-16,0.10221324522740974,NA,NA,NA,NA,NA,NA,NA,NA
L05-049-1,NA,MY2015-16,0.05849384035078685,NA,NA,NA,NA,NA,NA,NA,NA
L05-489-7,NA,MY2015-16,0.04112055370010933,NA,NA,NA,NA,NA,NA,NA,NA
L01-728-7 (L01S03),0.018634821684027778,MY2016-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
L03-708-13,0.012916666666666667,MY2016-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
L03-708-9,0.04103472222222222,MY2016-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
M02-052-3,0.1990981818181818,MY2016-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
L01-372-1,NA,MY2016-17,0.01437539914869843,NA,NA,NA,NA,NA,NA,NA,NA
L01-727-1 (L01S04),NA,MY2016-17,0.04569022588628972,NA,NA,NA,NA,NA,NA,NA,NA
L01-747-2,NA,MY2016-17,0.008449599617608104,NA,NA,NA,NA,NA,NA,NA,NA
L02-622-2 (L02P32),NA,MY2016-17,0.08014334614430532,NA,NA,NA,NA,NA,NA,NA,NA
