Station2,date,Sample Type,Field Specific Conductivity,Date,Parameter,Units,Qualifier,Result,ResultAvg
L04-672-1,45427.383333333331,Total,3943,NA,"2,4'-DDD",ng/L,<,1,1
L04-266-5,45427.343055555553,Total,3408,NA,"2,4'-DDD",ng/L,<,1,1
J01-10004-1 (J01P01),45427.4,Total,2150,NA,"2,4'-DDD",ng/L,<,1,1
L03-662-3 (L03P16),45428.369444444441,Total,2015,NA,"2,4'-DDD",ng/L,<,1,1
L03-214-2 (L03P18),45428.402083333334,Total,2443,NA,"2,4'-DDD",ng/L,<,1,1
L03-316-3 (L03P12),45428.447222222225,Total,5117,NA,"2,4'-DDD",ng/L,<,1,1
L01-404-1,45433.34375,Total,1915,NA,"2,4'-DDD",ng/L,<,1,1
L01-340-1,45433.381944444445,Total,1636,NA,"2,4'-DDD",ng/L,<,1,1
L05-489-3,45433.376388888886,Total,3415,NA,"2,4'-DDD",ng/L,<,1,1
L05-049-1,45433.417361111111,Total,3825,NA,"2,4'-DDD",ng/L,<,1,1
L02-374-1 (L02P50),45433.424305555556,Total,2874,NA,"2,4'-DDD",ng/L,<,1,1
L03-418-8,45434.432638888888,Total,2875,NA,"2,4'-DDD",ng/L,<,1,1
K01-12177-1 (K01P07),45434.42083333333,Total,2719,NA,"2,4'-DDD",ng/L,<,1,1
J03-9221-1 (J03P02),45434.455555555556,Total,5983,NA,"2,4'-DDD",ng/L,<,1,1
J01-9224-1 (J01P24),45434.377083333333,Total,3753,NA,"2,4'-DDD",ng/L,<,1,1
J01-9224-2 (J01P25),45434.34375,Total,2683,NA,"2,4'-DDD",ng/L,<,1,1
J01-9992-1 (J01P27),45441.401388888888,Total,4415,NA,"2,4'-DDD",ng/L,<,1,1
J01-9131-1 (J01P28),45441.38958333333,Total,3079,NA,"2,4'-DDD",ng/L,<,1,1
J01-9007-1 (J02P05),45441.447222222225,Total,3350,NA,"2,4'-DDD",ng/L,<,1,1
J06-9079-1 (J06P03),45441.42083333333,Total,2776.69,NA,"2,4'-DDD",ng/L,<,1,1
J06-10011-1 (J06P01),45441.447222222225,Total,3448.62,NA,"2,4'-DDD",ng/L,<,1,1
J01-9082-2,45441.487500000003,Total,1287.87,NA,"2,4'-DDD",ng/L,<,1,1
L01-726-5,45455.361111111109,Total,3953,NA,"2,4'-DDD",ng/L,<,1,1
L01-728-5 (L01-DP),45455.4,Total,2015,NA,"2,4'-DDD",ng/L,<,1,1
K01-12159-2,45455.37222222222,Total,5213,NA,"2,4'-DDD",ng/L,<,1,1
K01-12159-3,45455.365277777775,Total,4828,NA,"2,4'-DDD",ng/L,<,1,1
I01-11010-1,45461.415972222225,Total,7938,NA,"2,4'-DDD",ng/L,<,1,1
I00-11437-1,45461.372916666667,Total,9394,NA,"2,4'-DDD",ng/L,<,1,1
L02-246-1 (L11P01),45462.494444444441,Total,1599,NA,"2,4'-DDD",ng/L,<,1,1
L02-641-1,45462.348611111112,Total,1216,NA,"2,4'-DDD",ng/L,<,1,1
L02-641-2,45462.361111111109,Total,1288,NA,"2,4'-DDD",ng/L,<,1,1
L01-731-1 (L08TBN2),45462.433333333334,Total,3226,NA,"2,4'-DDD",ng/L,<,1,1
L02-166-3 (L02P26),45462.390972222223,Total,1778,NA,"2,4'-DDD",ng/L,<,1,1
L05-503-1,45468.388888888891,Total,3088,NA,"2,4'-DDD",ng/L,<,1,1
L01-724-4 (L01P03),45468.438194444447,Total,3793,NA,"2,4'-DDD",ng/L,<,1,1
L01-724-1 (L01S01),45468.464583333334,Total,4689,NA,"2,4'-DDD",ng/L,<,1,1
M01-042-1 (M01S01),45469.380555555559,Total,4667,NA,"2,4'-DDD",ng/L,<,1,1
M02-032-1,45469.44027777778,Total,3122,NA,"2,4'-DDD",ng/L,<,1,1
SC1-2,45469.40347222222,Total,9238,NA,"2,4'-DDD",ng/L,<,1,1
M02-085-1 (M02P06),45469.470833333333,Total,6689,NA,"2,4'-DDD",ng/L,<,1,1
M02-085-2,45469.445138888892,Total,2401,NA,"2,4'-DDD",ng/L,<,1,1
K01-12126-1 (K01S01),45510.38958333333,Total,-99,NA,"2,4'-DDD",ng/L,<,1,1
J01-10004-1 (J01P01),45496.430555555555,Total,2310,NA,"2,4'-DDD",ng/L,<,1,1
L04-672-1,45496.382638888892,Total,3334,NA,"2,4'-DDD",ng/L,<,1,1
