JURISDICTI3,Sample Type,Parameter,ResultJuris,Units
MISSION VIEJO,Total,"2,4'-DDD",1,ng/L
LAKE FOREST,Total,"2,4'-DDD",1,ng/L
RANCHO SANTA MARGARITA,Total,"2,4'-DDD",1,ng/L
ORANGE CO,Total,"2,4'-DDD",1,ng/L
LAGUNA NIGUEL,Total,"2,4'-DDD",1,ng/L
ALISO VIEJO,Total,"2,4'-DDD",1,ng/L
LAGUNA HILLS,Total,"2,4'-DDD",1,ng/L
LAGUNA WOODS,Total,"2,4'-DDD",1,ng/L
DANA POINT,Total,"2,4'-DDD",1,ng/L
SAN JUAN CAPISTRANO,Total,"2,4'-DDD",1,ng/L
LAGUNA BEACH,Total,"2,4'-DDD",1,ng/L
SAN CLEMENTE,Total,"2,4'-DDD",1,ng/L
MISSION VIEJO,Total,"2,4'-DDE",1,ng/L
LAKE FOREST,Total,"2,4'-DDE",1,ng/L
RANCHO SANTA MARGARITA,Total,"2,4'-DDE",1,ng/L
ORANGE CO,Total,"2,4'-DDE",1,ng/L
LAGUNA NIGUEL,Total,"2,4'-DDE",1,ng/L
ALISO VIEJO,Total,"2,4'-DDE",1,ng/L
LAGUNA HILLS,Total,"2,4'-DDE",1,ng/L
LAGUNA WOODS,Total,"2,4'-DDE",1,ng/L
DANA POINT,Total,"2,4'-DDE",1,ng/L
SAN JUAN CAPISTRANO,Total,"2,4'-DDE",1,ng/L
LAGUNA BEACH,Total,"2,4'-DDE",1,ng/L
SAN CLEMENTE,Total,"2,4'-DDE",1,ng/L
MISSION VIEJO,Total,"2,4'-DDT",1,ng/L
LAKE FOREST,Total,"2,4'-DDT",1,ng/L
RANCHO SANTA MARGARITA,Total,"2,4'-DDT",1,ng/L
ORANGE CO,Total,"2,4'-DDT",1,ng/L
LAGUNA NIGUEL,Total,"2,4'-DDT",1,ng/L
ALISO VIEJO,Total,"2,4'-DDT",1,ng/L
LAGUNA HILLS,Total,"2,4'-DDT",1,ng/L
LAGUNA WOODS,Total,"2,4'-DDT",1,ng/L
DANA POINT,Total,"2,4'-DDT",1,ng/L
SAN JUAN CAPISTRANO,Total,"2,4'-DDT",1,ng/L
LAGUNA BEACH,Total,"2,4'-DDT",1,ng/L
SAN CLEMENTE,Total,"2,4'-DDT",1,ng/L
MISSION VIEJO,Total,"4,4'-DDD",1,ng/L
LAKE FOREST,Total,"4,4'-DDD",1,ng/L
RANCHO SANTA MARGARITA,Total,"4,4'-DDD",1,ng/L
ORANGE CO,Total,"4,4'-DDD",1,ng/L
LAGUNA NIGUEL,Total,"4,4'-DDD",1,ng/L
ALISO VIEJO,Total,"4,4'-DDD",1,ng/L
LAGUNA HILLS,Total,"4,4'-DDD",1,ng/L
LAGUNA WOODS,Total,"4,4'-DDD",1,ng/L
DANA POINT,Total,"4,4'-DDD",1,ng/L
SAN JUAN CAPISTRANO,Total,"4,4'-DDD",1,ng/L
LAGUNA BEACH,Total,"4,4'-DDD",1,ng/L
SAN CLEMENTE,Total,"4,4'-DDD",1,ng/L
MISSION VIEJO,Total,"4,4'-DDE",1,ng/L
LAKE FOREST,Total,"4,4'-DDE",1,ng/L
RANCHO SANTA MARGARITA,Total,"4,4'-DDE",1,ng/L
ORANGE CO,Total,"4,4'-DDE",1,ng/L
LAGUNA NIGUEL,Total,"4,4'-DDE",1.13,ng/L
ALISO VIEJO,Total,"4,4'-DDE",1.13,ng/L
LAGUNA HILLS,Total,"4,4'-DDE",1,ng/L
LAGUNA WOODS,Total,"4,4'-DDE",1,ng/L
DANA POINT,Total,"4,4'-DDE",1,ng/L
SAN JUAN CAPISTRANO,Total,"4,4'-DDE",1,ng/L
LAGUNA BEACH,Total,"4,4'-DDE",1,ng/L
SAN CLEMENTE,Total,"4,4'-DDE",1,ng/L
MISSION VIEJO,Total,"4,4'-DDT",1,ng/L
LAKE FOREST,Total,"4,4'-DDT",1,ng/L
RANCHO SANTA MARGARITA,Total,"4,4'-DDT",1,ng/L
ORANGE CO,Total,"4,4'-DDT",1,ng/L
LAGUNA NIGUEL,Total,"4,4'-DDT",1,ng/L
ALISO VIEJO,Total,"4,4'-DDT",1,ng/L
LAGUNA HILLS,Total,"4,4'-DDT",1,ng/L
LAGUNA WOODS,Total,"4,4'-DDT",1,ng/L
DANA POINT,Total,"4,4'-DDT",1,ng/L
SAN JUAN CAPISTRANO,Total,"4,4'-DDT",1,ng/L
LAGUNA BEACH,Total,"4,4'-DDT",1,ng/L
SAN CLEMENTE,Total,"4,4'-DDT",1.416,ng/L
MISSION VIEJO,Total,Acenaphthene,2.5,ng/L
LAKE FOREST,Total,Acenaphthene,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Acenaphthene,2.5,ng/L
ORANGE CO,Total,Acenaphthene,2.5,ng/L
LAGUNA NIGUEL,Total,Acenaphthene,2.5,ng/L
ALISO VIEJO,Total,Acenaphthene,2.5,ng/L
LAGUNA HILLS,Total,Acenaphthene,2.5,ng/L
LAGUNA WOODS,Total,Acenaphthene,2.5,ng/L
DANA POINT,Total,Acenaphthene,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Acenaphthene,2.5,ng/L
LAGUNA BEACH,Total,Acenaphthene,2.5,ng/L
SAN CLEMENTE,Total,Acenaphthene,2.5,ng/L
MISSION VIEJO,Total,Acenaphthylene,2.5,ng/L
LAKE FOREST,Total,Acenaphthylene,2.5,ng/L
RANCHO SANTA MARGARITA,Total,Acenaphthylene,2.5,ng/L
ORANGE CO,Total,Acenaphthylene,2.5,ng/L
LAGUNA NIGUEL,Total,Acenaphthylene,2.5,ng/L
ALISO VIEJO,Total,Acenaphthylene,2.5,ng/L
LAGUNA HILLS,Total,Acenaphthylene,2.5,ng/L
LAGUNA WOODS,Total,Acenaphthylene,2.5,ng/L
DANA POINT,Total,Acenaphthylene,2.5,ng/L
SAN JUAN CAPISTRANO,Total,Acenaphthylene,2.5,ng/L
LAGUNA BEACH,Total,Acenaphthylene,2.5,ng/L
SAN CLEMENTE,Total,Acenaphthylene,2.5,ng/L
