StationCode,Jurisdiction,VolumeDischargeCFS,HandMeterDischarge,AVGvDISCHARGE,AVGfmDISCHARGE,Qcalcs
L01-724-4 (L01P03),SAN JUAN CAPISTRANO,0.086,NA,0.06866666666666667,NA,0.06866666666666667
L01-724-4 (L01P03),SAN JUAN CAPISTRANO,0.071,NA,0.06866666666666667,NA,0.06866666666666667
L01-724-4 (L01P03),SAN JUAN CAPISTRANO,0.072,NA,0.06866666666666667,NA,0.06866666666666667
L01-724-4 (L01P03),SAN JUAN CAPISTRANO,0.052,NA,0.06866666666666667,NA,0.06866666666666667
L01-724-4 (L01P03),SAN JUAN CAPISTRANO,0.057,NA,0.06866666666666667,NA,0.06866666666666667
L01-724-4 (L01P03),SAN JUAN CAPISTRANO,0.074,NA,0.06866666666666667,NA,0.06866666666666667
M02-052-2,SAN CLEMENTE,NA,NA,NA,0.73,0.73
M02-052-2,SAN CLEMENTE,NA,NA,NA,0.73,0.73
M02-052-2,SAN CLEMENTE,NA,0.73,NA,0.73,0.73
M02-052-2,SAN CLEMENTE,NA,NA,NA,0.73,0.73
J03-9234-8,LAGUNA NIGUEL,0.079,NA,0.06,NA,0.06
J03-9234-8,LAGUNA NIGUEL,0.041,NA,0.06,NA,0.06
L01-727-1 (L01S04),DANA POINT,NA,NA,NA,NA,NA
L01-747-2,SAN JUAN CAPISTRANO,0.02,NA,0.02,NA,0.02
L01-747-2,SAN JUAN CAPISTRANO,NA,NA,0.02,NA,0.02
L01-747-2,SAN JUAN CAPISTRANO,NA,NA,0.02,NA,0.02
K01-12156-6,LAGUNA NIGUEL,NA,0.61,0.121,0.38,0.121
K01-12156-6,LAGUNA NIGUEL,NA,0.17,0.121,0.38,0.121
K01-12156-6,LAGUNA NIGUEL,NA,0.36,0.121,0.38,0.121
K01-12156-6,LAGUNA NIGUEL,0.121,NA,0.121,0.38,0.121
L02-246-1 (L11P01),RANCHO SANTA MARGARITA,0.023,NA,0.014285714285714285,NA,0.014285714285714285
L02-246-1 (L11P01),RANCHO SANTA MARGARITA,0.018,NA,0.014285714285714285,NA,0.014285714285714285
L02-246-1 (L11P01),RANCHO SANTA MARGARITA,0.012,NA,0.014285714285714285,NA,0.014285714285714285
L02-246-1 (L11P01),RANCHO SANTA MARGARITA,0.013,NA,0.014285714285714285,NA,0.014285714285714285
L02-246-1 (L11P01),RANCHO SANTA MARGARITA,0.013,NA,0.014285714285714285,NA,0.014285714285714285
L02-246-1 (L11P01),RANCHO SANTA MARGARITA,0.017,NA,0.014285714285714285,NA,0.014285714285714285
L02-246-1 (L11P01),RANCHO SANTA MARGARITA,0.004,NA,0.014285714285714285,NA,0.014285714285714285
J03-9215-6,LAGUNA NIGUEL,0,NA,0.012571428571428572,NA,0.012571428571428572
J03-9215-6,LAGUNA NIGUEL,0.018,NA,0.012571428571428572,NA,0.012571428571428572
J03-9215-6,LAGUNA NIGUEL,NA,NA,0.012571428571428572,NA,0.012571428571428572
J03-9215-6,LAGUNA NIGUEL,0.017,NA,0.012571428571428572,NA,0.012571428571428572
J03-9215-6,LAGUNA NIGUEL,0.016,NA,0.012571428571428572,NA,0.012571428571428572
J03-9215-6,LAGUNA NIGUEL,0.02,NA,0.012571428571428572,NA,0.012571428571428572
J03-9215-6,LAGUNA NIGUEL,0.012,NA,0.012571428571428572,NA,0.012571428571428572
J03-9215-6,LAGUNA NIGUEL,0.005,NA,0.012571428571428572,NA,0.012571428571428572
SC11-130-2,DANA POINT,0.003,NA,0.003,NA,0.003
L03-074-1 (L03B01),MISSION VIEJO,0.018,NA,0.0242,NA,0.0242
L03-074-1 (L03B01),MISSION VIEJO,0.026,NA,0.0242,NA,0.0242
L03-074-1 (L03B01),MISSION VIEJO,0.024,NA,0.0242,NA,0.0242
L03-074-1 (L03B01),MISSION VIEJO,0.035,NA,0.0242,NA,0.0242
L03-074-1 (L03B01),MISSION VIEJO,0.018,NA,0.0242,NA,0.0242
K01-12159-2,DANA POINT,0.088,NA,0.07816666666666666,NA,0.07816666666666666
