Jurisdiction,Inspected,ObsWeather,FacilityID,AvgDischarge,ObsRecordDate,FlowContribution,FlowCondition,PersistentFlow,FlowConnectivity,IDIC,Priority,PrioritizationScore2022,Conductivity,FloatDischargeCFS,VolumeDischargeCFS,LastDischargeTrend,ScourWaterCondition,DissWaterCondition,Comments,TrashCondition,TrashLocation,SampleDry,SampleWet,OCFSLocation,MaintenanceIssue,PointY,PointX
Aliso Viejo,Verified,1,J01-9992-1 (J01P27),0.159686,8/6/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,66,3964,0.167647,0.024,Above Average Discharge,Not present,Clear,NA,Moderate (11-50 Items),In flow path of outfall,Yes,Yes,1,None,33.57325111,-117.7166002
Aliso Viejo,Verified,2,J01-9992-1 (J01P27),0.159686,2/1/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,NA,Priority,66,45,NA,NA,Above Average Discharge,Not present,Not present,Bacteria storm sampling,Abundant (>50 Items),In flow path of outfall,Yes,Yes,1,NA,33.57325111,-117.7166002
Aliso Viejo,Verified,1,J01-9992-1 (J01P27),0.159686,5/29/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,66,4415,0.068085,NA,Above Average Discharge,Not present,Not present,NA,Moderate (11-50 Items),In flow path of outfall,Yes,Yes,1,Graffiti,33.57325111,-117.7166002
Aliso Viejo,Verified,1,J01-9992-1 (J01P27),0.159686,3/6/2024,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,NA,Priority,66,NA,0.073661,0.034,Above Average Discharge,Not present,Not present,NA,Moderate (11-50 Items),In flow path of outfall,Yes,Yes,1,Graffiti,33.57325111,-117.7166002
Aliso Viejo,Verified,1,I01-11216-3,NA,8/29/2024,NA,Pooled or Ponded,Yes,NA,None,Not A Priority,NA,NA,NA,NA,NA,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,Overgrown,33.59871118,-117.7470521
Aliso Viejo,Verified,1,I01-11216-3,NA,6/28/2024,NA,Pooled or Ponded,Yes,Undetermined,NA,Not A Priority,NA,NA,NA,NA,NA,"Brown ""tea"" tint",Not present,Small fish,Not Present (0 Items),NA,NA,NA,NA,NA,33.59871118,-117.7470521
Aliso Viejo,Verified,1,J01-9082-2,0.162521,7/31/2024,Major Fraction (>50%),Flowing,Yes,Direct Connection,NA,Priority,57,1270,0.08254,0.053,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,Yes,NA,1,NA,33.58158427,-117.7457481
Aliso Viejo,Verified,1,J01-9082-2,0.162521,3/5/2024,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,NA,Priority,57,NA,NA,0.112,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,Yes,NA,1,Graffiti,33.58158427,-117.7457481
Aliso Viejo,Verified,1,J01-9082-2,0.162521,5/29/2024,NA,Flowing,Yes,NA,None,Priority,57,1360.24,0.04537,0.071,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,Yes,NA,1,None,33.58158427,-117.7457481
Aliso Viejo,Verified,1,J01-9082-3,0.005053,5/29/2024,NA,Flowing,Unknown,NA,NA,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,NA,33.5815804,-117.7457248
Aliso Viejo,Verified,1,J01-9082-3,0.005053,3/5/2024,NA,Dry,Unknown,Direct Connection,NA,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.5815804,-117.7457248
Aliso Viejo,Verified,1,J01-9082-3,0.005053,7/31/2024,NA,Dry,Unknown,NA,NA,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,NA,33.5815804,-117.7457248
Aliso Viejo,Verified,1,I01-11503-5,NA,6/28/2024,NA,Pooled or Ponded,Yes,None - Flow Infiltrates or Outfall is Dry,NA,NA,NA,NA,NA,NA,NA,"Brown ""tea"" tint",Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,NA,33.59353752,-117.7495101
Aliso Viejo,Verified,1,I01-11503-5,NA,8/29/2024,Minor Fraction (10 - 50%),Pooled or Ponded,Yes,Direct Connection,NA,NA,NA,NA,NA,NA,NA,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.59353752,-117.7495101
Aliso Viejo,Verified,1,I01-11502-1,NA,6/28/2024,NA,Pooled or Ponded,Yes,Partial - Significant Distance,NA,Not A Priority,NA,NA,NA,NA,NA,"Brown ""tea"" tint",Not present,Outfall buried,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,NA,33.59564069,-117.7484768
Aliso Viejo,Verified,1,I01-11502-1,NA,8/29/2024,NA,Pooled or Ponded,Yes,NA,None,Not A Priority,NA,NA,NA,NA,NA,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,Overgrown,33.59564069,-117.7484768
Aliso Viejo,Verified,1,I01-11216-4 (I02P14),NA,6/28/2024,NA,Pooled or Ponded,Yes,None - Flow Infiltrates or Outfall is Dry,NA,Not A Priority,NA,NA,NA,NA,NA,Not present,"Brown ""tea"" tint",NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,NA,33.59822758,-117.7461991
Aliso Viejo,Verified,1,J01-9082-4,0.02202,5/29/2024,NA,Flowing,Yes,Direct Connection,NA,Priority,35,2928,0.018,0.008,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,NA,33.58156591,-117.7457146
Aliso Viejo,Verified,1,J01-9082-4,0.02202,3/5/2024,Small Fraction (<10%),NA,Yes,Direct Connection,NA,Priority,35,NA,0.026381,0.011,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,NA,33.58156591,-117.7457146
Aliso Viejo,Verified,1,J01-9082-4,0.02202,7/31/2024,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,None,Priority,35,2643,0.003,0.004,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.58156591,-117.7457146
Aliso Viejo,Verified,1,J01-9008-1 (J01P30),0.07146,8/20/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,62,5355,0.258837,0.033,Above Average Discharge,Clear,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,1,Graffiti,33.57676689,-117.7132973
Aliso Viejo,Verified,1,J01-9008-1 (J01P30),0.07146,9/4/2024,Small Fraction (<10%),Flowing,Yes,Partial - Significant Distance,NA,Priority,62,3981,0.055579,0.023,Above Average Discharge,Not present,Not present,NA,Moderate (11-50 Items),Within area surrounding outfall,NA,NA,1,NA,33.57676689,-117.7132973
Aliso Viejo,Verified,1,J01-9008-1 (J01P30),0.07146,8/27/2024,Small Fraction (<10%),Flowing,Yes,Partial - Significant Distance,NA,Priority,62,4345,0.0612,0.021,Above Average Discharge,Not present,Not present,NA,Moderate (11-50 Items),In flow path of outfall,NA,NA,1,NA,33.57676689,-117.7132973
Aliso Viejo,Verified,1,J01-9008-1 (J01P30),0.07146,9/10/2024,Small Fraction (<10%),Flowing,Yes,Partial - Significant Distance,NA,Priority,62,4003,0.082286,0.022,Above Average Discharge,Not present,Not present,NA,Moderate (11-50 Items),Within area surrounding outfall,NA,NA,1,NA,33.57676689,-117.7132973
Aliso Viejo,Verified,1,J01-9008-1 (J01P30),0.07146,8/6/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,62,3983,0.16875,NA,Above Average Discharge,Clear,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,1,Graffiti,33.57676689,-117.7132973
Aliso Viejo,Verified,1,J01-9008-1 (J01P30),0.07146,3/6/2024,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,None,Priority,62,NA,0.0825,0.043,Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,1,Graffiti,33.57676689,-117.7132973
