Jurisdiction,Inspected,ObsWeather,FacilityID,AvgDischarge,ObsRecordDate,FlowContribution,FlowCondition,PersistentFlow,FlowConnectivity,IDIC,Priority,PrioritizationScore2022,Conductivity,FloatDischargeCFS,VolumeDischargeCFS,LastDischargeTrend,ScourWaterCondition,DissWaterCondition,Comments,TrashCondition,TrashLocation,SampleDry,SampleWet,OCFSLocation,MaintenanceIssue,PointY,PointX
Dana Point,Verified,1,DP06-12106-1,0.254075,2024-06-27,Small Fraction (<10%),Pooled or Ponded,Yes,None - Flow Infiltrates or Outfall is Dry,NA,Not A Priority,NA,8300,0.134043,0.038,Below Average Discharge,Not present,Not present,Volumetric Flow: 3.25L/3sec (0.038 cfs) Flow Measurements collected 10m downstream.,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,NA,33.46389083,-117.6883989
Dana Point,Verified,1,DP06-12106-1,0.254075,2024-08-26,Small Fraction (<10%),Pooled or Ponded,Yes,Undetermined,None,Not A Priority,NA,7197,0.063158,NA,Below Average Discharge,Not present,Not present,Measurements collected app 10 m ds from discharge point,Not Present (0 Items),NA,NA,NA,NA,None,33.46389083,-117.6883989
Dana Point,Verified,1,L01-727-3,0.006964,2024-07-11,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.47154632,-117.68012546
Dana Point,Verified,1,L01-727-3,0.006964,2024-09-03,NA,Other - See Comments,Unknown,Partial - Significant Distance,None,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,"Outfall is sprinkling water, no measurable flow could be done.",Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.47154632,-117.68012546
Dana Point,Verified,1,DP01-12022-2,0,2024-09-03,Small Fraction (<10%),Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,NA,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.46649818,-117.71607895
Dana Point,Verified,1,DP01-12022-2,0,2024-07-10,Small Fraction (<10%),Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,NA,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),NA,NA,NA,NA,None,33.46649818,-117.71607895
Dana Point,Verified,1,SC11-130-2,0.013885,2024-08-26,NA,Dry,Unknown,NA,NA,NA,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,Outfall buried,NA,NA,NA,NA,NA,NA,33.45571318,-117.66915896
Dana Point,Verified,1,SC11-130-2,0.013885,2024-06-27,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,NA,NA,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,NA,33.45571318,-117.66915896
Dana Point,Verified,1,L01-726-6,0,2024-06-10,Small Fraction (<10%),Dry,Unknown,Direct Connection,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Site observed to be dry,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.47619233,-117.6792341
Dana Point,Verified,1,L01-726-6,0,2024-08-27,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.47619233,-117.6792341
