Jurisdiction,Inspected,ObsWeather,FacilityID,AvgDischarge,ObsRecordDate,FlowContribution,FlowCondition,PersistentFlow,FlowConnectivity,IDIC,Priority,PrioritizationScore2022,Conductivity,FloatDischargeCFS,VolumeDischargeCFS,LastDischargeTrend,ScourWaterCondition,DissWaterCondition,Comments,TrashCondition,TrashLocation,SampleDry,SampleWet,OCFSLocation,MaintenanceIssue,PointY,PointX
Laguna Beach,Verified,1,I01-11077-1,0,8/1/2024,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.5632134,-117.7679823
Laguna Beach,Verified,1,I01-11023-1,0.002155,8/8/2024,Small Fraction (<10%),Pooled or Ponded,Unknown,Direct Connection,NA,Priority,43,NA,NA,NA,Below Average Discharge,Not present,Not present,Recent flow - pipe is moist,Not Present (0 Items),NA,Yes,NA,NA,NA,33.54963186,-117.7803141
Laguna Beach,Verified,1,I01-11023-1,0.002155,6/18/2024,Small Fraction (<10%),Other - See Comments,Unknown,Direct Connection,NA,Priority,43,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,Yes,NA,NA,NA,33.54963186,-117.7803141
Laguna Beach,Verified,1,I01-11015-3,9.06E-04,5/7/2024,NA,Dry,Unknown,NA,NA,Not A Priority,NA,NA,NA,NA,20% Or More Above Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,NA,33.5479255,-117.7815344
Laguna Beach,Verified,1,I01-11015-3,9.06E-04,8/1/2024,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,20% Or More Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.5479255,-117.7815344
Laguna Beach,Verified,1,I01-11059-3,0,8/1/2024,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.55369103,-117.7753361
Laguna Beach,Verified,1,I01-11059-3,0,5/7/2024,NA,Dry,Unknown,NA,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,NA,33.55369103,-117.7753361
Laguna Beach,Verified,1,I01-11059-1,0.002142,5/7/2024,NA,Flowing,Unknown,Direct Connection,NA,Not A Priority,NA,NA,0.03,NA,20% Or More Above Average Discharge,Not present,Not present,NA,NA,NA,NA,NA,NA,NA,33.55356666,-117.7754969
Laguna Beach,Verified,1,I01-11059-1,0.002142,8/1/2024,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,NA,Not A Priority,NA,NA,NA,NA,20% Or More Above Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.55356666,-117.7754969
Laguna Beach,Verified,1,DP04-12015-1,0.010065,8/12/2024,NA,Pooled or Ponded,Yes,None - Flow Infiltrates or Outfall is Dry,NA,Not A Priority,NA,3155,NA,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,NA,33.50464423,-117.7474356
Laguna Beach,Verified,1,DP04-12015-1,0.010065,7/2/2024,NA,Pooled or Ponded,Yes,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,3250,NA,NA,Below Average Discharge,Bright green,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.50464423,-117.7474356
Laguna Beach,Verified,1,I01-11077-2,0,8/1/2024,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.5631817,-117.7680462
Laguna Beach,Verified,1,I01-11023-3,0,5/7/2024,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,NA,33.55072696,-117.7789043
Laguna Beach,Verified,1,I01-11023-3,0,8/1/2024,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Rubble build up inside,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.55072696,-117.7789043
Laguna Beach,Verified,1,I01-11093-1,0,8/1/2024,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.55866927,-117.7725692
Laguna Beach,Verified,1,I01-11059-2,0,8/1/2024,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,Graffiti,33.55357207,-117.7754287
Laguna Beach,Verified,1,I01-11059-2,0,5/7/2024,NA,Dry,Unknown,NA,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Recent trickle,Not Present (0 Items),NA,NA,NA,NA,NA,33.55357207,-117.7754287
Laguna Beach,Verified,1,LC03-11515-1,0.016796,8/12/2024,NA,Dry,Unknown,NA,NA,NA,NA,NA,NA,NA,20% Or More Above Average Discharge,Not present,Not present,NA,Moderate (11-50 Items),In flow path of outfall,NA,NA,NA,NA,33.51959818,-117.7627439
Laguna Beach,Verified,1,LC03-11515-1,0.016796,7/2/2024,NA,Pooled or Ponded,Unknown,None - Flow Infiltrates or Outfall is Dry,None,NA,NA,NA,NA,NA,20% Or More Above Average Discharge,"Brown ""tea"" tint",Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,Graffiti,33.51959818,-117.7627439
Laguna Beach,Verified,1,LC02-11508-3,0,8/12/2024,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.54502731,-117.7946117
Laguna Beach,Verified,1,LC02-11508-3,0,7/3/2024,NA,Dry,Unknown,NA,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,"Rebar is showing, cement is falling apart",Sparse (<10 Items),In flow path of outfall,NA,NA,NA,Damaged,33.54502731,-117.7946117
Laguna Beach,Verified,1,I00-11518-1,0.079534,7/2/2024,NA,Pooled or Ponded,Yes,None - Flow Infiltrates or Outfall is Dry,None,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,Clogged,33.52971161,-117.7733187
