Jurisdiction,Inspected,ObsWeather,FacilityID,AvgDischarge,ObsRecordDate,FlowContribution,FlowCondition,PersistentFlow,FlowConnectivity,IDIC,Priority,PrioritizationScore2022,Conductivity,FloatDischargeCFS,VolumeDischargeCFS,LastDischargeTrend,ScourWaterCondition,DissWaterCondition,Comments,TrashCondition,TrashLocation,SampleDry,SampleWet,OCFSLocation,MaintenanceIssue,PointY,PointX
Laguna Niguel,Verified,1,L03-708-9,0.049438,7/15/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,53,3770,0.008072,0.012,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.56260115,-117.6759396
Laguna Niguel,Verified,1,L03-708-9,0.049438,5/13/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,53,3206,0.111724,0.03,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.56260115,-117.6759396
Laguna Niguel,Verified,1,K01-12155-5,0.061386,5/17/2024,NA,Other - See Comments,Unknown,NA,NA,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,Inaccessible due to overgrown vegetation,NA,NA,NA,NA,NA,NA,33.50234163,-117.7200409
Laguna Niguel,Verified,1,K01-12155-5,0.061386,8/14/2024,NA,Other - See Comments,Unknown,NA,NA,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,"Overgrown, inaccessible",NA,NA,NA,NA,NA,NA,33.50234163,-117.7200409
Laguna Niguel,Verified,1,K01-12156-3,0,5/20/2024,NA,NA,Unknown,NA,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Inaccessible due to overgrown vegetation.,NA,NA,NA,NA,NA,Overgrown,33.50412284,-117.709462
Laguna Niguel,Verified,1,K01-12155-1,4.40E-04,8/14/2024,NA,Pooled or Ponded,Unknown,NA,None,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.49919106,-117.7202082
Laguna Niguel,Verified,1,K01-12155-1,4.40E-04,5/17/2024,Small Fraction (<10%),Dry,Unknown,Direct Connection,None,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.49919106,-117.7202082
Laguna Niguel,Verified,1,K01-12032-2 (K01P11),0.097353,5/17/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,58,1908,0.094026,NA,20% Or More Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.51685064,-117.7177463
Laguna Niguel,Verified,1,K01-12032-2 (K01P11),0.097353,8/14/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,58,2080,0.134615,0.034,20% Or More Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.51685064,-117.7177463
Laguna Niguel,Verified,1,K01-12062-1,0.122807,5/20/2024,Small Fraction (<10%),Pooled or Ponded,Yes,Partial - Significant Distance,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.50914243,-117.6906695
Laguna Niguel,Verified,1,L03-708-11 (L03P05),0.129137,7/15/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,48,4520,0.036474,0.016,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,Yes,NA,None,33.56274432,-117.6758612
Laguna Niguel,Verified,1,L03-708-11 (L03P05),0.129137,5/13/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,48,3908,0.102857,0.028,Below Average Discharge,Not present,Not present,"Decaying algae, anoxic",Sparse (<10 Items),Within area surrounding outfall,NA,Yes,NA,None,33.56274432,-117.6758612
Laguna Niguel,Verified,1,L03-708-11 (L03P05),0.129137,2/1/2024,NA,Flowing,Yes,Direct Connection,NA,Priority,48,117,NA,NA,Below Average Discharge,Not present,Not present,Bacti storm sampling,NA,NA,NA,Yes,NA,NA,33.56274432,-117.6758612
Laguna Niguel,Verified,1,K01-12058-2 (K01P09),0.12576,5/20/2024,NA,NA,Yes,NA,NA,Priority,64,NA,NA,NA,Below Average Discharge,Not present,Not present,Inaccessible due to two enclosed chain link fences and overgrown vegetation,NA,NA,NA,NA,NA,NA,33.51124853,-117.6945892
Laguna Niguel,Verified,1,J01-9005-1 (J03P05),0.033399,9/11/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,57,4418,0.032727,0.009,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,1,None,33.53990663,-117.7041581
Laguna Niguel,Verified,1,J01-9005-1 (J03P05),0.033399,5/1/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,57,NA,0.03625,NA,Below Average Discharge,Not present,Not present,"At 9:50, upon arrival, the outflow experienced higher flows with bubbles/suds. Measurements were not taken at this time.",Not Present (0 Items),NA,NA,NA,1,NA,33.53990663,-117.7041581
Laguna Niguel,Verified,1,J01-9005-1 (J03P05),0.033399,3/8/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,57,NA,0.021,NA,Below Average Discharge,Not present,Not present,Ponded at sensor but flowing further upstream.,Not Present (0 Items),NA,NA,NA,1,None,33.53990663,-117.7041581
Laguna Niguel,Verified,1,J01-9005-1 (J03P05),0.033399,7/17/2024,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,None,Priority,57,3850,0.025513,NA,Below Average Discharge,Not present,Not present,pink liquid substance in receiving water,Sparse (<10 Items),Within area surrounding outfall,NA,NA,1,None,33.53990663,-117.7041581
Laguna Niguel,Verified,1,J03-9216-2,1.520455,7/2/2024,Major Fraction (>50%),Flowing,Yes,Direct Connection,None,Priority,74,4120,1.960563,NA,20% Or More Above Average Discharge,Chocolate milk,Not present,NA,Not Present (0 Items),NA,NA,Yes,1,Graffiti,33.52800208,-117.7100646
Laguna Niguel,Verified,1,J03-9216-2,1.520455,5/15/2024,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,None,Priority,74,3612,1.084557,0.062,20% Or More Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,Yes,1,Graffiti,33.52800208,-117.7100646
Laguna Niguel,Verified,2,J03-9216-2,1.520455,1/21/2024,NA,Flowing,Yes,NA,NA,Priority,74,1470,NA,NA,20% Or More Above Average Discharge,Not present,Not present,NA,NA,NA,NA,Yes,1,NA,33.52800208,-117.7100646
Laguna Niguel,Verified,1,J03-9221-1 (J03P02),0.239694,3/8/2024,Minor Fraction (10 - 50%),Flowing,Yes,Partial - Significant Distance,NA,Priority,47,NA,0.34,0.157,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,Yes,NA,1,None,33.54994245,-117.7171591
Laguna Niguel,Verified,1,J03-9221-1 (J03P02),0.239694,5/22/2024,NA,Flowing,Yes,Undetermined,NA,Priority,47,5984,0.1155,NA,Below Average Discharge,Not present,Not present,NA,Abundant (>50 Items),Within area surrounding outfall,Yes,NA,1,NA,33.54994245,-117.7171591
Laguna Niguel,Verified,1,J03-9221-1 (J03P02),0.239694,7/30/2024,NA,Flowing,Yes,Undetermined,NA,Priority,47,5269,0.2016,0.106,Below Average Discharge,Not present,"Brown ""tea"" tint",NA,Moderate (11-50 Items),Within area surrounding outfall,Yes,NA,1,NA,33.54994245,-117.7171591
Laguna Niguel,Verified,1,J03-9216-1 (J03P01),0.012897,5/15/2024,Small Fraction (<10%),Pooled or Ponded,Yes,Direct Connection,Trash,Priority,43,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Moderate (11-50 Items),In flow path of outfall,NA,NA,NA,None,33.53077057,-117.7082352
Laguna Niguel,Verified,1,J03-9216-1 (J03P01),0.012897,3/8/2024,Small Fraction (<10%),Pooled or Ponded,Yes,Direct Connection,None,Priority,43,NA,NA,NA,Below Average Discharge,Not present,Not present,Vegetation in flow path causing ponding at sensor. Measurements made under sensor. Flow downstream but likely from irrigation.,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.53077057,-117.7082352
Laguna Niguel,Verified,1,J03-9216-1 (J03P01),0.012897,7/15/2024,NA,Pooled or Ponded,Yes,None - Flow Infiltrates or Outfall is Dry,None,Priority,43,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.53077057,-117.7082352
Laguna Niguel,Verified,1,L03-455-5,0.006883,7/22/2024,Minor Fraction (10 - 50%),Flowing,Unknown,Direct Connection,None,Priority,41,6870,0.007767,0.002,Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.54240381,-117.6750414
Laguna Niguel,Verified,1,J03-9368-1 (J03TBN1),0.006481,3/8/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,NA,Priority,45,NA,0.027285,0.011,20% Or More Above Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.53781578,-117.6974871
Laguna Niguel,Verified,1,J03-9368-1 (J03TBN1),0.006481,7/17/2024,NA,NA,Yes,NA,NA,Priority,45,NA,NA,NA,20% Or More Above Average Discharge,Not present,Not present,too overgrown to access from both service road and main road,NA,NA,NA,NA,NA,Overgrown,33.53781578,-117.6974871
Laguna Niguel,Verified,1,J03-9368-1 (J03TBN1),0.006481,5/15/2024,Small Fraction (<10%),NA,Yes,Direct Connection,None,Priority,45,4738,0.010272,0.002,20% Or More Above Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,None,33.53781578,-117.6974871
