Jurisdiction,Inspected,ObsWeather,FacilityID,AvgDischarge,ObsRecordDate,FlowContribution,FlowCondition,PersistentFlow,FlowConnectivity,IDIC,Priority,PrioritizationScore2022,Conductivity,FloatDischargeCFS,VolumeDischargeCFS,LastDischargeTrend,ScourWaterCondition,DissWaterCondition,Comments,TrashCondition,TrashLocation,SampleDry,SampleWet,OCFSLocation,MaintenanceIssue,PointY,PointX
Mission Viejo,Verified,1,J07-9109-4 (J07P02),0.170884,12/15/2023,Major Fraction (>50%),Flowing,Yes,Direct Connection,None,Priority,54,NA,0.046452,0.014,Below Average Discharge,"Brown ""tea"" tint","Brown ""tea"" tint",NA,Moderate (11-50 Items),In flow path of outfall,NA,Yes,NA,Graffiti,33.64644434,-117.6557853
Mission Viejo,Verified,2,J07-9109-4 (J07P02),0.170884,1/21/2024,NA,Flowing,Yes,Direct Connection,NA,Priority,54,340,NA,NA,Below Average Discharge,Not present,Chocolate milk,NA,Moderate (11-50 Items),In flow path of outfall,NA,Yes,NA,Sediment,33.64644434,-117.6557853
Mission Viejo,Verified,1,J07-9110-2,0.013448,3/4/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,45,NA,0.002,NA,20% Or More Above Average Discharge,Not present,Not present,Offline due to vandalism,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.63608386,-117.6622401
Mission Viejo,Verified,1,J07-9109-4 (J07P02),0.170884,3/4/2024,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,NA,Priority,54,2180,0.101553,0.07,Below Average Discharge,Not present,Not present,NA,Abundant (>50 Items),Within area surrounding outfall,NA,Yes,NA,Graffiti,33.64644434,-117.6557853
Mission Viejo,Verified,1,J07-9109-2,0.05716,3/4/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,NA,Priority,23,NA,0.0026,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.6415684,-117.6576006
Mission Viejo,Verified,1,J07-9110-3,0.010077,3/4/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,43,NA,0.01,0.002,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.63961545,-117.6592639
Mission Viejo,Verified,1,J01-9066-2 (J01P03),0.085018,3/5/2024,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,None,Priority,64,NA,0.081,0.052,20% Or More Above Average Discharge,Not present,Not present,Solar smashed but working.,Moderate (11-50 Items),In flow path of outfall,NA,NA,1,Graffiti,33.61058951,-117.6927562
Mission Viejo,Verified,1,J01-9066-1 (J01P04),0.015364,3/5/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,NA,Priority,41,NA,0.0156,0.008,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.60933566,-117.6928755
Mission Viejo,Verified,1,J07-9110-2,0.013448,4/1/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,45,NA,0.035714,0.014,20% Or More Above Average Discharge,Not present,Not present,Solar panels vandalized and stolen. Replaced stolen panel and added new batteries.,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,Damaged,33.63608386,-117.6622401
Mission Viejo,Verified,1,J07-9110-2,0.013448,4/2/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,45,NA,0.013638,0.006,20% Or More Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.63608386,-117.6622401
Mission Viejo,Verified,1,L04-136-1u (L04P07),0.360636,5/15/2024,NA,Flowing,Yes,NA,None,Not A Priority,NA,3382,0.335156,NA,20% Or More Above Average Discharge,Not present,"Brown ""tea"" tint",NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,Graffiti,33.60845086,-117.6790109
Mission Viejo,Verified,1,L04-266-5,0.495302,5/15/2024,Major Fraction (>50%),Flowing,Yes,Direct Connection,None,Priority,96,3408,1.187009,NA,20% Or More Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,Yes,NA,1,None,33.60731231,-117.6688682
Mission Viejo,Verified,1,L04-672-1,0.220338,5/15/2024,NA,Flowing,Yes,NA,None,Priority,64,3943,0.384407,0.024,Below Average Discharge,Not present,Yellow tint,Bird’s nest at entrance of outfall,Sparse (<10 Items),Within area surrounding outfall,Yes,NA,NA,None,33.61223316,-117.6806499
Mission Viejo,Verified,1,L04-136-1 (L04P07),NA,5/15/2024,NA,Pooled or Ponded,Yes,Undetermined,None,Not A Priority,NA,NA,NA,NA,NA,Green tint,Not present,Part of the fence around the outfall is broken,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,Clogged,33.60686333,-117.6778533
Mission Viejo,Verified,1,L03-693-1 (L03P11),0.116283,5/16/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,NA,Priority,55,4234,0.1113,0.038,20% Or More Above Average Discharge,"Brown ""tea"" tint",Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,1,NA,33.5977525,-117.6557232
Mission Viejo,Verified,1,L03-316-3 (L03P12),0.27494,5/16/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,NA,Priority,77,5117,0.234194,0.068,20% Or More Above Average Discharge,Not present,Not present,NA,Abundant (>50 Items),In flow path of outfall,Yes,NA,1,Graffiti,33.59601712,-117.6558902
Mission Viejo,Verified,1,L03-662-3 (L03P16),0.164525,5/16/2024,Minor Fraction (10 - 50%),Flowing,Yes,Partial - Significant Distance,NA,Priority,82,2014,0.192,0.112,20% Or More Above Average Discharge,Not present,Clear,NA,Not Present (0 Items),NA,Yes,NA,NA,NA,33.6246438,-117.6482387
Mission Viejo,Verified,1,L03-214-2 (L03P18),0.592284,5/16/2024,Major Fraction (>50%),Flowing,Yes,Direct Connection,NA,Priority,75,2443,0.5775,0.795,Below Average Discharge,Yellow tint,Clear,NA,Abundant (>50 Items),In flow path of outfall,Yes,NA,1,NA,33.62371995,-117.642303
Mission Viejo,Verified,1,J07-9022-6,0.001924,7/1/2024,NA,Pooled or Ponded,Unknown,NA,NA,NA,NA,NA,NA,NA,20% Or More Above Average Discharge,Not present,Not present,NA,NA,NA,NA,NA,NA,NA,33.62875416,-117.6662279
Mission Viejo,Verified,1,J07-9110-2,0.013448,7/1/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,45,1595,0.023645,0.001,20% Or More Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,None,33.63608386,-117.6622401
Mission Viejo,Verified,1,J07-9109-4 (J07P02),0.170884,7/1/2024,Major Fraction (>50%),Flowing,Yes,Direct Connection,None,Priority,54,1502,0.042218,0.024,Below Average Discharge,Not present,Odor,NA,Abundant (>50 Items),Within area surrounding outfall,NA,Yes,NA,Graffiti,33.64644434,-117.6557853
Mission Viejo,Verified,1,J07-9109-2,0.05716,7/1/2024,NA,Pooled or Ponded,Yes,NA,NA,Priority,23,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,NA,NA,NA,NA,NA,NA,33.6415684,-117.6576006
Mission Viejo,Verified,1,J07-9110-3,0.010077,7/1/2024,NA,Pooled or Ponded,Yes,NA,NA,Priority,43,NA,NA,NA,Below Average Discharge,Not present,Not present,NA,NA,NA,NA,NA,NA,NA,33.63961545,-117.6592639
