Jurisdiction,Inspected,ObsWeather,FacilityID,AvgDischarge,ObsRecordDate,FlowContribution,FlowCondition,PersistentFlow,FlowConnectivity,IDIC,Priority,PrioritizationScore2022,Conductivity,FloatDischargeCFS,VolumeDischargeCFS,LastDischargeTrend,ScourWaterCondition,DissWaterCondition,Comments,TrashCondition,TrashLocation,SampleDry,SampleWet,OCFSLocation,MaintenanceIssue,PointY,PointX
Orange Co,Verified,1,J01-9364-3 (J01P21),1.836666,3/6/2024,Minor Fraction (10 - 50%),Pooled or Ponded,Yes,Direct Connection,None,Not A Priority,NA,NA,NA,0,Below Average Discharge,Not present,Not present,Sensor box flooded,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,Sediment,33.54984944,-117.7212781
Orange Co,Verified,1,J01-9364-3 (J01P21),1.836666,4/24/2024,Minor Fraction (10 - 50%),Pooled or Ponded,Yes,Direct Connection,NA,Not A Priority,NA,2422,NA,NA,Below Average Discharge,Not present,Not present,Heavy vegetation and sedimentation around outfall causing ponding,Abundant (>50 Items),In flow path of outfall,NA,NA,NA,Overgrown,33.54984944,-117.7212781
Orange Co,Verified,1,L01-340-1,0.056759,5/21/2024,NA,Flowing,Yes,Undetermined,None,Priority,39,NA,0.052355,0.033,20% Or More Above Average Discharge,Clear,Not present,Yellow tinted water,Sparse (<10 Items),Within area surrounding outfall,Yes,NA,1,Graffiti,33.58695721,-117.5954282
Orange Co,Verified,1,L01-404-1,0.139529,5/21/2024,NA,Flowing,Yes,Undetermined,None,Priority,60,1915,0.243478,0.084,20% Or More Above Average Discharge,Not present,Clear,Yellow tinted water,Sparse (<10 Items),In flow path of outfall,Yes,NA,1,None,33.56451699,-117.5858346
Orange Co,Verified,1,L05-489-3,0.851665,5/21/2024,Major Fraction (>50%),Flowing,Yes,Direct Connection,None,Priority,90,3415,1.731148,NA,20% Or More Above Average Discharge,Not present,Not present,NA,Sparse (<10 Items),Within area surrounding outfall,Yes,NA,1,None,33.52979731,-117.6465258
Orange Co,Verified,1,L05-049-1,0.935829,5/21/2024,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,NA,Priority,65,3825,0.2418,0.09,Below Average Discharge,Not present,Not present,Lotsa roly-polices,Moderate (11-50 Items),Within area surrounding outfall,Yes,Yes,NA,NA,33.53474488,-117.6461771
Orange Co,Verified,1,L05-049-1,0.935829,5/21/2024,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,NA,Priority,65,3825,0.2418,0.09,Below Average Discharge,Not present,Not present,Lotsa roly-polices,Moderate (11-50 Items),Within area surrounding outfall,Yes,Yes,NA,NA,33.53474488,-117.6461771
Orange Co,Verified,1,L05-489-3d,1.798552,5/21/2024,Major Fraction (>50%),Flowing,Yes,Direct Connection,NA,NA,NA,5869,1.1088,NA,Below Average Discharge,"Brown ""tea"" tint",Pea soup,NA,Moderate (11-50 Items),In flow path of outfall,NA,NA,NA,NA,33.52889298,-117.6466127
Orange Co,Verified,1,L05-489-7,0.087582,5/21/2024,NA,Flowing,Yes,Direct Connection,NA,Priority,51,3465,0.048,0.024,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,NA,33.53268101,-117.6467119
Orange Co,Verified,1,L05-489-4,0.251571,5/21/2024,NA,Flowing,Yes,Partial - Significant Distance,NA,Priority,36,7519,0.48,NA,20% Or More Above Average Discharge,Not present,Not present,"Flow is from basin, not MS4",Moderate (11-50 Items),In flow path of outfall,NA,NA,NA,Overgrown,33.52935447,-117.6460606
