Jurisdiction,Inspected,ObsWeather,FacilityID,AvgDischarge,ObsRecordDate,FlowContribution,FlowCondition,PersistentFlow,FlowConnectivity,IDIC,Priority,PrioritizationScore2022,Conductivity,FloatDischargeCFS,VolumeDischargeCFS,LastDischargeTrend,ScourWaterCondition,DissWaterCondition,Comments,TrashCondition,TrashLocation,SampleDry,SampleWet,OCFSLocation,MaintenanceIssue,PointY,PointX
San Clemente,Verified,1,M01-124-5,0.02362,11/27/2023,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,NA,NA,NA,9429,0.047618,0.035,20% Or More Above Average Discharge,Not present,Not present,Yellow coating. Raccoon prints.,Not Present (0 Items),NA,NA,NA,NA,NA,33.45854779,-117.6423778
San Clemente,Verified,1,M01-124-5,0.02362,11/28/2023,Minor Fraction (10 - 50%),Flowing,Yes,Direct Connection,None,NA,NA,13166,0.043179,0.038,20% Or More Above Average Discharge,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,Graffiti,33.45854779,-117.6423778
San Clemente,Verified,1,M01-088-1,0.082403,1/18/2024,NA,Flowing,Yes,NA,NA,Not A Priority,NA,6470,NA,NA,Below Average Discharge,Not present,Not present,Storm set up; slope is 6%,NA,NA,NA,Yes,NA,NA,33.46997201,-117.6370538
San Clemente,Verified,2,M01-088-1,0.082403,1/21/2024,NA,Flowing,Yes,NA,NA,Not A Priority,NA,1459,NA,NA,Below Average Discharge,Not present,Not present,Storm sample pick up,NA,NA,NA,Yes,NA,NA,33.46997201,-117.6370538
San Clemente,Verified,1,M01-124-4,0.001617,5/22/2024,NA,Dry,Unknown,None - Flow Infiltrates or Outfall is Dry,None,NA,NA,NA,NA,NA,20% Or More Above Average Discharge,Not present,Not present,No flow. Evidence of past flow due to brown sludge stain coming from outfall.,Not Present (0 Items),NA,NA,NA,NA,Graffiti,33.46508952,-117.6391094
San Clemente,Verified,1,M02-086-1,3.71E-04,5/22/2024,NA,NA,Unknown,NA,NA,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,Inaccessible due to overgrown vegetation,NA,NA,NA,NA,NA,NA,33.47727151,-117.5999331
San Clemente,Verified,1,M02-015-1,0.020964,5/22/2024,NA,Pooled or Ponded,Yes,Direct Connection,None,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,"Brown ""tea"" tint","Outfall is ponded. Ponding extends through dissipator, then into a flow path. Flow path ponded for ~20ft then inaccessible. Flow path assumed to reach RW if there is flow.",Sparse (<10 Items),In flow path of outfall,NA,NA,NA,NA,33.4781524,-117.5832337
San Clemente,Verified,1,M01-042-1 (M01S01),0.018533,5/22/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,Other - see comments,Priority,54,NA,0.003228,NA,20% Or More Above Average Discharge,Not present,Surface scum,"Thick growth in and around outfall- green, brown, and grey in color. Undetermined ID/IC",Moderate (11-50 Items),Within area surrounding outfall,Yes,NA,1,NA,33.4544419,-117.6234322
San Clemente,Verified,1,M01-124-2,0.01691,5/22/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,48,1306,NA,NA,Below Average Discharge,Not present,Not present,Trickle flow. Not enough flow to calculate velocity.,Not Present (0 Items),NA,NA,NA,NA,None,33.45678925,-117.6421943
San Clemente,Verified,1,M01-038-6,0.013791,5/22/2024,NA,Other - See Comments,Unknown,NA,NA,Priority,48,NA,NA,NA,Below Average Discharge,Not present,Not present,Inaccessible due to 2 chain link fences. Gate locked. Access through outfall pipe also blocked off by fence.,NA,NA,NA,NA,NA,NA,33.46494371,-117.6392869
