Jurisdiction,Inspected,ObsWeather,FacilityID,AvgDischarge,ObsRecordDate,FlowContribution,FlowCondition,PersistentFlow,FlowConnectivity,IDIC,Priority,PrioritizationScore2022,Conductivity,FloatDischargeCFS,VolumeDischargeCFS,LastDischargeTrend,ScourWaterCondition,DissWaterCondition,Comments,TrashCondition,TrashLocation,SampleDry,SampleWet,OCFSLocation,MaintenanceIssue,PointY,PointX
San Juan Capistrano,Verified,2,L01-724-4 (L01P03),0.16548,2/21/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Priority,40,3137,0.8,NA,Below Average Discharge,Not present,Not present,NA,Sparse (<10 Items),In flow path of outfall,Yes,Yes,NA,Graffiti,33.48469927,-117.675346
San Juan Capistrano,Verified,1,L01-618-2,NA,6/3/2024,Small Fraction (<10%),Pooled or Ponded,Yes,Direct Connection,None,Not A Priority,NA,NA,NA,NA,NA,Not present,Not present,Ponded outfall. No flow observed. Water observed to be a green color. No odor.,Not Present (0 Items),NA,NA,NA,NA,Overgrown,33.5004829,-117.6503538
San Juan Capistrano,Verified,1,L01-618-3,0,6/3/2024,NA,NA,Unknown,NA,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Unable to access outfall due to overgrown brush and vegetation.,NA,NA,NA,NA,NA,Overgrown,33.50155042,-117.6500091
San Juan Capistrano,Verified,1,L01-602-2,NA,6/3/2024,Small Fraction (<10%),NA,Yes,Partial - Significant Distance,None,Not A Priority,NA,NA,NA,NA,NA,Not present,Not present,Sediment accumulation observed at the outfall,Not Present (0 Items),NA,NA,NA,NA,Sediment,33.49828191,-117.6536648
San Juan Capistrano,Verified,1,L02-571-5 (L02TBN2),0.053191,6/3/2024,Small Fraction (<10%),Flowing,Yes,Direct Connection,None,Not A Priority,NA,1331,0.638298,NA,20% Or More Above Average Discharge,Not present,Not present,Outfall observed to be flowing with a lot of algae,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.4977193,-117.6660362
San Juan Capistrano,Verified,1,L02-541-2,0,6/3/2024,Small Fraction (<10%),NA,Unknown,Direct Connection,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.49814985,-117.665777
San Juan Capistrano,Verified,1,L02-541-9 (L02P02),0.048641,6/3/2024,Small Fraction (<10%),Pooled or Ponded,Yes,Direct Connection,None,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,Outfall observed to have ponded water with indications of recent flow. No flow observed at the time of inspection.,Sparse (<10 Items),In flow path of outfall,NA,NA,NA,None,33.50398585,-117.6675055
San Juan Capistrano,Verified,1,L01-618-1,0.0585,6/3/2024,Small Fraction (<10%),Pooled or Ponded,Yes,Direct Connection,None,Not A Priority,NA,862,NA,NA,Below Average Discharge,Not present,Not present,Sediment accumulation observed on the outfall. Water appears to be ponded indicating recent flow,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,Sediment,33.50004167,-117.6521586
San Juan Capistrano,Verified,1,L02-571-1,0,6/3/2024,Small Fraction (<10%),Dry,Unknown,Direct Connection,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Outfall observed to be dry,NA,NA,NA,NA,NA,None,33.49086494,-117.6661083
San Juan Capistrano,Verified,1,L02-541-7,0,6/3/2024,Small Fraction (<10%),Dry,Unknown,Direct Connection,NA,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Outfall with lid observed to be dry,Sparse (<10 Items),Within area surrounding outfall,NA,NA,NA,NA,33.4999239,-117.6664665
San Juan Capistrano,Verified,1,L02-502-5,0,6/3/2024,NA,Dry,Unknown,NA,None,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,NA,Not Present (0 Items),NA,NA,NA,NA,NA,33.52712556,-117.6698879
