GlobalID,Facility Identifier,Facility Type,Inspection Status,Size 1,PRIORITY,Jurisdiction,Persistent Flow,AVGDISCHARGE,Accessibility,POINT_Y,POINT_X
{2930B26A-DE4C-4E36-8E9D-20B5B8F77DA9},DP01-12022-1,Outfall,Verified,48,NA,Dana Point,Unknown,0.055382,Difficult accessibility,33.46408018,-117.714778
{F1A20556-9AFE-4BFC-A5BD-765B4F16802D},DP01-12022-2,Outfall,Verified,54,NA,Dana Point,Unknown,0,Difficult accessibility,33.46649818,-117.716079
{B9E368D1-0601-4D99-B7EE-076F034D1D23},DP04-12015-1,Outfall,Verified,48,Not A Priority,Laguna Beach,Yes,0.010065,Easily accessible,33.50464423,-117.7474356
{FA96D381-A5FA-4EF8-9755-46E6C80C3DBB},DP06-12106-1,Outfall,Verified,60,Not A Priority,Dana Point,Yes,0.254075,Easily accessible,33.46389083,-117.6883989
{0D61E2AD-DA3C-4EE6-AD1B-32E44854CAA2},I00-11437-1,Outfall,Verified,68,Priority,Laguna Beach,Yes,0.149571,Difficult accessibility,33.53349088,-117.7702426
{171AC70D-B722-42FD-9ADA-813B331846A7},I00-11453-1,Outfall,Verified,48,Not A Priority,Laguna Beach,Unknown,0.013894,Easily accessible,33.53709197,-117.7805033
{60A6CD6E-DA16-422B-8EDA-6D2EFD365167},I00-11468-1,Outfall,Verified,48,Priority,Laguna Beach,Yes,0.039855,Unaccessible,33.53565305,-117.7690012
{77142EB8-ED5A-457E-A15B-0DA4FE92CCF2},I00-11518-1,Outfall,Verified,84,Not A Priority,Laguna Beach,Yes,0.079534,Easily accessible,33.52971161,-117.7733187
{43927D34-5C8D-480F-9527-A565DA0C7C0C},I00-11518-2,Outfall,Verified,48,NA,Laguna Beach,Unknown,0.0048,Easily accessible,33.52862418,-117.7726239
{25FC0B7A-A34B-48D1-86FD-00FA62D21B2B},I01-11010-1,Outfall,Verified,48,Priority,Laguna Beach,Yes,0.043362,Difficult accessibility,33.54415971,-117.7833999
{7466B2A4-CC2D-4862-BC7C-0ABA52F841B0},I01-11015-2,Outfall,Verified,36,Not A Priority,Laguna Beach,Unknown,0,Easily accessible,33.54790127,-117.781545
{DB9C2669-FA77-4FA1-A76C-F2D11E0410E4},I01-11015-3,Outfall,Verified,36,Not A Priority,Laguna Beach,Unknown,9.06E-04,Easily accessible,33.5479255,-117.7815344
{EC705F4A-8057-41AB-99F6-CDD22A7AEEDC},I01-11023-1,Outfall,Verified,36,Priority,Laguna Beach,Unknown,0.002155,Easily accessible,33.54963186,-117.7803141
{038D9EF3-E345-4A2B-A2E8-4C86B0814F1F},I01-11023-2,Outfall,Verified,36,Not A Priority,Laguna Beach,Unknown,1.87E-04,Easily accessible,33.55022543,-117.7795746
{B1E7A48B-1DC2-43B1-BE7B-17B6936EF467},I01-11023-3,Outfall,Verified,36,Not A Priority,Laguna Beach,Unknown,0,Easily accessible,33.55072696,-117.7789043
{4299039A-0613-47FF-B808-7CF8CD065E00},I01-11023-4,Outfall,Verified,36,Not A Priority,Laguna Beach,Unknown,0,Easily accessible,33.55118989,-117.7782578
{37C6F748-E62C-4DCD-89A7-0CB6EFB76B47},I01-11023-5,Outfall,Verified,36,Not A Priority,Laguna Beach,Unknown,0,Easily accessible,33.5512382,-117.7782548
{C71E52F8-AC08-4469-BA89-8E02697C744D},I01-11059-1,Outfall,Verified,60,Not A Priority,Laguna Beach,Unknown,0.002142,Easily accessible,33.55356666,-117.7754969
{8A75D24A-9302-4837-9C8D-5CEE11DCAB92},I01-11059-2,Outfall,Verified,36,Not A Priority,Laguna Beach,Unknown,0,Easily accessible,33.55357207,-117.7754287
{DB859266-5BF1-4E9B-91AB-9674CD92B469},I01-11059-3,Outfall,Verified,36,Not A Priority,Laguna Beach,Unknown,0,Easily accessible,33.55369103,-117.7753361
{343D946F-618A-4C8F-BECA-AAD6427C9CAA},I01-11065-1,Outfall,Verified,36,Not A Priority,Laguna Beach,Unknown,0,Easily accessible,33.55771319,-117.7731287
{ED3BCD26-6F4E-4AE2-9C8B-80EDA743C061},I01-11077-1,Box,Verified,NA,Not A Priority,Laguna Beach,Unknown,0,Easily accessible,33.5632134,-117.7679823
{B9DC0E18-53B8-47A3-A9E6-B022A6119F8C},I01-11077-2,Outfall,Verified,36,Not A Priority,Laguna Beach,Unknown,0,Easily accessible,33.5631817,-117.7680462
{A6CD0460-3E4D-434A-8EED-4ABA7D87A2EB},I01-11093-1,Outfall,Verified,36,Not A Priority,Laguna Beach,Unknown,0,Easily accessible,33.55866927,-117.7725692
{50B8F0F5-D3AB-43AA-9466-0350D018EEA8},I01-11093-2,Outfall,Verified,48,Not A Priority,Laguna Beach,Unknown,0,Easily accessible,33.56266681,-117.7697204
{86E3548C-66A9-4F7B-BC80-1C6D6520BA51},I01-11195-2,Culvert,Verified,NA,Priority,Aliso Viejo,Yes,0.325428,Difficult accessibility,33.58990515,-117.7515672
{407CFB17-3B6F-4280-9700-B0FD229A0C5E},I01-11216-1 (I02P13),Outfall,Verified,60,Not A Priority,Aliso Viejo,Yes,NA,Easily accessible,33.59874504,-117.7472293
{3E6152B4-AA12-4483-A315-F2A09982301C},I01-11216-2 (I02P12),Outfall,Verified,60,Not A Priority,Aliso Viejo,Yes,NA,Easily accessible,33.59874519,-117.7471896
{DB80E054-4D2C-4D53-8065-26F13D35FE95},I01-11216-3,Outfall,Verified,48,Not A Priority,Aliso Viejo,Yes,NA,Easily accessible,33.59871118,-117.7470521
{BD8B9607-5DAE-4D8D-9B8E-9B2DC1C2A8C1},I01-11216-4 (I02P14),Outfall,Verified,42,Not A Priority,Aliso Viejo,Yes,NA,Easily accessible,33.59822758,-117.7461991
{6731B5BE-BAEC-490D-90D1-2CBFABE191C3},I01-11217-1,Outfall,Verified,36,Not A Priority,Aliso Viejo,Yes,0.001777,Easily accessible,33.59737354,-117.7462766
{2889E41D-D4E7-47BA-843A-5A6D17AF80DF},I01-11343-1,Outfall,Verified,36,Not A Priority,Laguna Woods,Yes,0,Difficult accessibility,33.61120048,-117.7552262
{9A50D575-FFD5-41A9-B523-61D9221779CD},I01-11343-2 (I02P18),Outfall,Verified,48,Not A Priority,Laguna Woods,Unknown,0.007131,Difficult accessibility,33.6121053,-117.75396
{5950041F-4A9F-49ED-994B-C50CD46C105C},I01-11487-1,Box,Verified,NA,Not A Priority,Laguna Beach,Unknown,0,Easily accessible,33.54221091,-117.7852456
{04035718-9418-4D9D-BE25-7FB1C35BC0A0},I01-11487-2,Outfall,Verified,48,Not A Priority,Laguna Beach,Unknown,0.008737,Easily accessible,33.54098818,-117.7835083
{C081E89B-5CDA-439B-97FB-CCA6D19E46F4},I01-11502-1,Outfall,Verified,36,Not A Priority,Aliso Viejo,Yes,NA,Easily accessible,33.59564069,-117.7484768
{8617AFA3-52A5-463C-8916-03BC38AAFBC4},I01-11503-3,Outfall,Verified,48,Not A Priority,Aliso Viejo,Yes,0,Easily accessible,33.59347737,-117.7493067
{CEFC14D7-9ED9-43A9-BA53-748978BC75CB},I01-11503-5,Outfall,Verified,36,NA,Aliso Viejo,Yes,NA,Easily accessible,33.59353752,-117.7495101
{2B86E2C7-7931-456A-BDF6-8E5B829C36D2},J01-10004-1 (J01P01),Box,Verified,96,Priority,Lake Forest,Yes,0.299355,Easily accessible,33.6334064,-117.6768884
{FC0A0575-4F9F-4F48-92CC-AA2CA9B5047D},J01-10004-2,Outfall,Verified,42,Not A Priority,Lake Forest,Unknown,7.54E-04,Easily accessible,33.63406357,-117.6746875
{F79CDE56-859F-4A33-BFA7-8A7FFBF9055A},J01-10006-1,Outfall,Verified,36,Not A Priority,Lake Forest,Yes,0,Easily accessible,33.6283627,-117.6836585
{0E023D41-5A3C-41F1-98C3-7CA73337F6D9},J01-10012-3,Outfall,Verified,36,Not A Priority,Mission Viejo,Unknown,0,Easily accessible,33.66921308,-117.6269503
{3A09A49C-9DAA-4A66-898F-7D6115463F96},J01-10017-1 (J01TBN4),Outfall,Verified,48,Priority,Aliso Viejo,Yes,0.017361,Easily accessible,33.57090351,-117.7170616
{65AB7468-482A-4869-8212-F73F5CC03224},J01-10019-1 (J01P33),Outfall,Verified,42,Priority,Aliso Viejo,Yes,0.007265,Difficult accessibility,33.56456168,-117.7184388
{30268716-5276-44DF-9485-87949570FB12},J01-10041-2 (J03P13),Box,Verified,NA,Priority,Laguna Niguel,Yes,2.4525,Easily accessible,33.55263395,-117.7088174
{BEADF14B-536C-491F-AF1C-E6C6959F66BD},J01-9005-1 (J03P05),Outfall,Verified,54,Priority,Laguna Niguel,Yes,0.033399,Easily accessible,33.53990663,-117.7041581
