"","AvgDischarge","FacilityID","FlowCondition","ObsRecordDate","PersistentFlow","FlowConnectivity","Priority","PrioritizationScore2022","FloatDischargeCFS","VolumeDischargeCFS","PointY","PointX","Juris in Trib","Acres","AREA","PERCENTAGE","area_acres","Juris Discharge Point"
"1",0.588719,"J06-10011-1 (J06P01)","Flowing",2023-08-09,"Yes","Partial - Significant Distance","Priority",98,0.475604,NA,33.59504096,-117.71576223,"ALISO VIEJO",143.1188236,139.1233826,14.86516439,935.90125176,"ALISO VIEJO"
"2",0.588719,"J06-10011-1 (J06P01)","Flowing",2023-08-09,"Yes","Partial - Significant Distance","Priority",98,0.475604,NA,33.59504096,-117.71576223,"LAGUNA HILLS",237.2873008,195.1358603,20.85002958,935.90125176,"ALISO VIEJO"
"3",0.588719,"J06-10011-1 (J06P01)","Flowing",2023-08-09,"Yes","Partial - Significant Distance","Priority",98,0.475604,NA,33.59504096,-117.71576223,"LAGUNA WOODS",829.0781602,357.1633736,38.1624725,935.90125176,"ALISO VIEJO"
"4",0.588719,"J06-10011-1 (J06P01)","Flowing",2023-08-09,"Yes","Partial - Significant Distance","Priority",98,0.475604,NA,33.59504096,-117.71576223,"LAKE FOREST",693.7997852,214.9005429,22.96186189,935.90125176,"ALISO VIEJO"
"5",0.588719,"J06-10011-1 (J06P01)","Flowing",2022-06-23,"Yes","Direct Connection","Priority",98,0.509735,NA,33.59504096,-117.71576223,"ALISO VIEJO",143.1188236,139.1233826,14.86516439,935.90125176,"ALISO VIEJO"
"6",0.588719,"J06-10011-1 (J06P01)","Flowing",2022-06-23,"Yes","Direct Connection","Priority",98,0.509735,NA,33.59504096,-117.71576223,"LAGUNA HILLS",237.2873008,195.1358603,20.85002958,935.90125176,"ALISO VIEJO"
"7",0.588719,"J06-10011-1 (J06P01)","Flowing",2022-06-23,"Yes","Direct Connection","Priority",98,0.509735,NA,33.59504096,-117.71576223,"LAGUNA WOODS",829.0781602,357.1633736,38.1624725,935.90125176,"ALISO VIEJO"
"8",0.588719,"J06-10011-1 (J06P01)","Flowing",2022-06-23,"Yes","Direct Connection","Priority",98,0.509735,NA,33.59504096,-117.71576223,"LAKE FOREST",693.7997852,214.9005429,22.96186189,935.90125176,"ALISO VIEJO"
"9",0.588719,"J06-10011-1 (J06P01)","Flowing",2022-08-22,"Yes","Direct Connection","Priority",98,0.27327,NA,33.59504096,-117.71576223,"ALISO VIEJO",143.1188236,139.1233826,14.86516439,935.90125176,"ALISO VIEJO"
"10",0.588719,"J06-10011-1 (J06P01)","Flowing",2022-08-22,"Yes","Direct Connection","Priority",98,0.27327,NA,33.59504096,-117.71576223,"LAGUNA HILLS",237.2873008,195.1358603,20.85002958,935.90125176,"ALISO VIEJO"
"11",0.588719,"J06-10011-1 (J06P01)","Flowing",2022-08-22,"Yes","Direct Connection","Priority",98,0.27327,NA,33.59504096,-117.71576223,"LAGUNA WOODS",829.0781602,357.1633736,38.1624725,935.90125176,"ALISO VIEJO"
"12",0.588719,"J06-10011-1 (J06P01)","Flowing",2022-08-22,"Yes","Direct Connection","Priority",98,0.27327,NA,33.59504096,-117.71576223,"LAKE FOREST",693.7997852,214.9005429,22.96186189,935.90125176,"ALISO VIEJO"
"13",0.588719,"J06-10011-1 (J06P01)","Flowing",2022-07-13,"Yes","Direct Connection","Priority",98,0.53823,0.003,33.59504096,-117.71576223,"ALISO VIEJO",143.1188236,139.1233826,14.86516439,935.90125176,"ALISO VIEJO"
"14",0.588719,"J06-10011-1 (J06P01)","Flowing",2022-07-13,"Yes","Direct Connection","Priority",98,0.53823,0.003,33.59504096,-117.71576223,"LAGUNA HILLS",237.2873008,195.1358603,20.85002958,935.90125176,"ALISO VIEJO"
"15",0.588719,"J06-10011-1 (J06P01)","Flowing",2022-07-13,"Yes","Direct Connection","Priority",98,0.53823,0.003,33.59504096,-117.71576223,"LAGUNA WOODS",829.0781602,357.1633736,38.1624725,935.90125176,"ALISO VIEJO"
"16",0.588719,"J06-10011-1 (J06P01)","Flowing",2022-07-13,"Yes","Direct Connection","Priority",98,0.53823,0.003,33.59504096,-117.71576223,"LAKE FOREST",693.7997852,214.9005429,22.96186189,935.90125176,"ALISO VIEJO"
