"","AvgDischarge","FacilityID","FlowCondition","ObsRecordDate","PersistentFlow","FlowConnectivity","Priority","PrioritizationScore2022","FloatDischargeCFS","VolumeDischargeCFS","PointY","PointX","SWN_median2021","SWN_avg2021","SWN_sd2021","SWN_median2022","SWN_avg2022","SWN_sd2022","SWN_median2023","SWN_avg2023","SWN_sd2023","Juris in Trib","Acres","AREA","PERCENTAGE","area_acres","Juris Discharge Point"
"1",0.095233,"K01-12032-2 (K01P11)","Flowing",2021-07-12,"Yes","Partial - Significant Distance","Priority",58,0.0378,0.047,33.51685546,-117.71775833,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAGUNA NIGUEL",126.8494862,126.8473621,100,126.84724993,"LAGUNA NIGUEL"
"2",0.095233,"K01-12032-2 (K01P11)","Flowing",2023-06-28,"Yes","Undetermined","Priority",58,0.412639,NA,33.51685546,-117.71775833,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAGUNA NIGUEL",126.8494862,126.8473621,100,126.84724993,"LAGUNA NIGUEL"
"3",0.095233,"K01-12032-2 (K01P11)","Flowing",2022-08-31,"Yes","Partial - Significant Distance","Priority",58,0.060169,0.033,33.51685546,-117.71775833,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAGUNA NIGUEL",126.8494862,126.8473621,100,126.84724993,"LAGUNA NIGUEL"
"4",0.095233,"K01-12032-2 (K01P11)","Flowing",2023-08-30,"Yes","Direct Connection","Priority",58,0.053154,NA,33.51685546,-117.71775833,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAGUNA NIGUEL",126.8494862,126.8473621,100,126.84724993,"LAGUNA NIGUEL"
"5",0.095233,"K01-12032-2 (K01P11)","Flowing",2021-09-20,"Yes","Direct Connection","Priority",58,0.060484,NA,33.51685546,-117.71775833,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAGUNA NIGUEL",126.8494862,126.8473621,100,126.84724993,"LAGUNA NIGUEL"
"6",0.095233,"K01-12032-2 (K01P11)","Flowing",2022-07-06,"Yes","Partial - Significant Distance","Priority",58,0.015248,NA,33.51685546,-117.71775833,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAGUNA NIGUEL",126.8494862,126.8473621,100,126.84724993,"LAGUNA NIGUEL"
"7",0.095233,"K01-12032-2 (K01P11)","Flowing",2023-06-28,"Yes","Undetermined","Priority",58,0.260204,NA,33.51685546,-117.71775833,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAGUNA NIGUEL",126.8494862,126.8473621,100,126.84724993,"LAGUNA NIGUEL"
"8",0.034405,"J01-9005-1 (J03P05)","Flowing",2021-07-15,"Yes","Direct Connection","Priority",57,0.033085,NA,33.53991146,-117.70417019,0.01,0.0103482434640523,0.00942549247523544,0.009,0.0102960893854749,0.00486405484806648,0.0035,0.0714112903225806,0.72597254099449,"LAGUNA NIGUEL",127.7926944,127.7905545,100,127.79044152,"LAGUNA NIGUEL"
"9",0.034405,"J01-9005-1 (J03P05)","Flowing",2022-07-08,"Yes","Direct Connection","Priority",57,0.019971,0.006,33.53991146,-117.70417019,0.01,0.0103482434640523,0.00942549247523544,0.009,0.0102960893854749,0.00486405484806648,0.0035,0.0714112903225806,0.72597254099449,"LAGUNA NIGUEL",127.7926944,127.7905545,100,127.79044152,"LAGUNA NIGUEL"
"10",0.034405,"J01-9005-1 (J03P05)","Flowing",2021-08-17,"Yes","Direct Connection","Priority",57,0.02855,NA,33.53991146,-117.70417019,0.01,0.0103482434640523,0.00942549247523544,0.009,0.0102960893854749,0.00486405484806648,0.0035,0.0714112903225806,0.72597254099449,"LAGUNA NIGUEL",127.7926944,127.7905545,100,127.79044152,"LAGUNA NIGUEL"
"11",0.034405,"J01-9005-1 (J03P05)","Flowing",2023-06-29,"Yes","Direct Connection","Priority",57,0.04,NA,33.53991146,-117.70417019,0.01,0.0103482434640523,0.00942549247523544,0.009,0.0102960893854749,0.00486405484806648,0.0035,0.0714112903225806,0.72597254099449,"LAGUNA NIGUEL",127.7926944,127.7905545,100,127.79044152,"LAGUNA NIGUEL"
