"","AvgDischarge","FacilityID","FlowCondition","ObsRecordDate","PersistentFlow","FlowConnectivity","Priority","PrioritizationScore2022","FloatDischargeCFS","VolumeDischargeCFS","PointY","PointX","SWN_median2021","SWN_avg2021","SWN_sd2021","SWN_median2022","SWN_avg2022","SWN_sd2022","SWN_median2023","SWN_avg2023","SWN_sd2023","Juris in Trib","Acres","AREA","PERCENTAGE","area_acres","Juris Discharge Point"
"1",0.004715,"J07-9110-1","Flowing",2022-06-21,"Yes","Partial - Significant Distance","Not A Priority",NA,0.004711,0.001,33.63470136,-117.66353969,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAKE FOREST",0.645792876,0.200030675,0.19588078,102.11849185,"MISSION VIEJO"
"2",0.004715,"J07-9110-1","Flowing",2022-06-21,"Yes","Partial - Significant Distance","Not A Priority",NA,0.004711,0.001,33.63470136,-117.66353969,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MISSION VIEJO",101.9190319,101.9185513,99.80411911,102.11849185,"MISSION VIEJO"
"3",0.000754,"J01-10004-2","Pooled or Ponded",2023-09-26,"Unknown","None - Flow Infiltrates or Outfall is Dry","Not A Priority",NA,NA,NA,33.63406841,-117.6746996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAKE FOREST",37.97389578,11.76219854,100,11.76218814,"LAKE FOREST"
"4",0.000754,"J01-10004-2","Dry",2021-05-27,"Unknown","None - Flow Infiltrates or Outfall is Dry","Not A Priority",NA,NA,NA,33.63406841,-117.6746996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAKE FOREST",37.97389578,11.76219854,100,11.76218814,"LAKE FOREST"
"5",0.000754,"J01-10004-2","Pooled or Ponded",2022-08-18,"Unknown","Partial - Significant Distance","Not A Priority",NA,NA,NA,33.63406841,-117.6746996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAKE FOREST",37.97389578,11.76219854,100,11.76218814,"LAKE FOREST"
"6",0.000754,"J01-10004-2","Pooled or Ponded",2022-06-21,"Unknown","Partial - Significant Distance","Not A Priority",NA,NA,NA,33.63406841,-117.6746996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAKE FOREST",37.97389578,11.76219854,100,11.76218814,"LAKE FOREST"
"7",0.000754,"J01-10004-2","Flowing",2021-09-07,"Unknown","Direct Connection","Not A Priority",NA,0.00128,NA,33.63406841,-117.6746996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAKE FOREST",37.97389578,11.76219854,100,11.76218814,"LAKE FOREST"
"8",0.000754,"J01-10004-2","Other - See Comments",2023-05-16,"Unknown","None - Flow Infiltrates or Outfall is Dry","Not A Priority",NA,NA,NA,33.63406841,-117.6746996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAKE FOREST",37.97389578,11.76219854,100,11.76218814,"LAKE FOREST"
"9",0.083379,"J01-9066-2 (J01P03)","Flowing",2023-08-17,"Yes","Direct Connection","Priority",64,0.019033,0.02,33.61059435,-117.69276829,0,0.916655200533768,16.8654156643349,0.256,0.8012,2.46544916520436,NA,NA,NA,"LAKE FOREST",11.10607353,3.440043196,0.818376545,420.34930926,"MISSION VIEJO"
"10",0.083379,"J01-9066-2 (J01P03)","Flowing",2023-08-17,"Yes","Direct Connection","Priority",64,0.019033,0.02,33.61059435,-117.69276829,0,0.916655200533768,16.8654156643349,0.256,0.8012,2.46544916520436,NA,NA,NA,"MISSION VIEJO",416.9116038,416.9096378,99.18162349,420.34930926,"MISSION VIEJO"
