,AvgDischarge,FacilityID,FlowCondition,ObsRecordDate,PersistentFlow,FlowConnectivity,Priority,PrioritizationScore2022,FloatDischargeCFS,VolumeDischargeCFS,PointY,PointX,Notes
1,0.081752,L01-749-2d,Flowing,6/22/2022,Yes,Undetermined,,,0.08,,33.50766038,-117.640286,
2,0.081752,L01-749-2d,,6/8/2023,Yes,,,,NR,,33.50766038,-117.640286,Inaccessible
3,0.081752,L01-749-2d,Pooled or Ponded,9/6/2022,Yes,Undetermined,,,NR,,33.50766038,-117.640286,
4,0.081752,L01-749-2d,Flowing,9/6/2022,Yes,Undetermined,,,0.083505,,33.50766038,-117.640286,
5,0.081752,L01-749-2d,Pooled or Ponded,8/10/2022,Yes,Undetermined,,,NR,,33.50766038,-117.640286,Inaccessible
6,0.081752,L01-749-2d,Pooled or Ponded,8/16/2023,Yes,,,,NR,,33.50766038,-117.640286,
7,0,L01-766-8,Dry,8/10/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.49262805,-117.6623525,
8,0,L01-766-8,Dry,6/5/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.49262805,-117.6623525,
9,0,L01-766-8,Dry,6/28/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.49262805,-117.6623525,
10,0,L01-766-8,Dry,8/7/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.49262805,-117.6623525,
11,0.007959,L01-727-3,Dry,9/6/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.47155114,-117.6801375,
12,0.007959,L01-727-3,Pooled or Ponded,7/12/2022,Unknown,Direct Connection,Not A Priority,,NR,,33.47155114,-117.6801375,
13,0.007959,L01-727-3,Flowing,5/15/2023,Unknown,Direct Connection,Not A Priority,,NR,,33.47155114,-117.6801375,Storm drain flap gate made flow measurement difficult
14,0.007959,L01-727-3,Pooled or Ponded,9/14/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,NR,,33.47155114,-117.6801375,Flow infiltrated
15,0,L01-749-3,Flowing,6/5/2023,Unknown,,Not A Priority,,NR,,33.50819651,-117.6389212,
16,0,L01-749-3,Dry,8/10/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.50819651,-117.6389212,
17,0,L01-749-3,Dry,7/13/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.50819651,-117.6389212,
18,0,L01-749-3,Other - See Comments,8/9/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,NR,,33.50819651,-117.6389212,
19,0.02934,L01-517-6,Other - See Comments,8/14/2023,Unknown,,,,,,33.52411358,-117.618989,
20,0.02934,L01-517-6,,5/30/2023,Unknown,Undetermined,,,,,33.52411358,-117.618989,
21,0.02934,L01-517-6,Flowing,9/27/2022,Unknown,Undetermined,,,0.009,0.007,33.52411358,-117.618989,
22,0.02934,L01-517-6,Flowing,5/31/2022,Unknown,Undetermined,,,0.03,,33.52411358,-117.618989,
23,0,L01-517-2,Dry,8/9/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.51860298,-117.6257208,
24,0,L01-517-2,Dry,6/5/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.51860298,-117.6257208,
25,0,L01-748-2,Pooled or Ponded,7/13/2022,Yes,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,,,33.50406011,-117.6428152,
26,0,L01-748-2,,6/5/2023,Yes,Direct Connection,Not A Priority,,,,33.50406011,-117.6428152,
27,0,L01-748-2,Pooled or Ponded,8/10/2022,Yes,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,,,33.50406011,-117.6428152,
28,0,L01-748-2,Pooled or Ponded,8/9/2023,Yes,Direct Connection,Not A Priority,,,,33.50406011,-117.6428152,
29,0,L01-748-2,Pooled or Ponded,6/5/2023,Yes,Direct Connection,Not A Priority,,,,33.50406011,-117.6428152,
30,,L01-618-2,Pooled or Ponded,6/5/2023,Yes,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,,,33.50048772,-117.6503658,
31,,L01-618-2,Pooled or Ponded,8/7/2023,Yes,,Not A Priority,,,,33.50048772,-117.6503658,
32,,L01-618-2,Pooled or Ponded,7/13/2022,Yes,Undetermined,Not A Priority,,,,33.50048772,-117.6503658,
33,,L01-618-2,Pooled or Ponded,8/10/2022,Yes,Undetermined,Not A Priority,,,,33.50048772,-117.6503658,
34,0.077331,L01-749-2,Pooled or Ponded,6/8/2023,Yes,Direct Connection,Priority,10,,,33.5083054,-117.6401786,
35,0.077331,L01-749-2,Pooled or Ponded,8/10/2022,Yes,Direct Connection,Priority,10,,,33.5083054,-117.6401786,
36,0.077331,L01-749-2,Pooled or Ponded,8/16/2023,Yes,Undetermined,Priority,10,,,33.5083054,-117.6401786,
37,0.077331,L01-749-2,Pooled or Ponded,6/22/2022,Yes,,Priority,10,,,33.5083054,-117.6401786,
38,0.180631,L01-618-5 (L01S09),Flowing,5/19/2023,Yes,Direct Connection,Not A Priority,,1.411765,,33.501988,-117.64812,
39,0.180631,L01-618-5 (L01S09),Flowing,8/9/2023,Yes,Direct Connection,Not A Priority,,0.568421,,33.501988,-117.64812,
40,0.180631,L01-618-5 (L01S09),Flowing,8/10/2022,Yes,Direct Connection,Not A Priority,,0.004101,,33.501988,-117.64812,
41,0.180631,L01-618-5 (L01S09),Pooled or Ponded,7/13/2022,Yes,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,,,33.501988,-117.64812,
42,0,L01-726-6,Dry,7/13/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.47619715,-117.6792461,
43,0,L01-726-6,Dry,6/6/2023,Unknown,Undetermined,Not A Priority,,0,,33.47619715,-117.6792461,
44,0,L01-726-6,Dry,8/29/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.47619715,-117.6792461,
45,0,L01-726-6,Dry,8/8/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.47619715,-117.6792461,
46,0,L01-517-1,Dry,8/9/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.51866901,-117.6256819,
47,0,L01-517-1,Dry,6/5/2023,Unknown,,Not A Priority,,0,,33.51866901,-117.6256819,
48,0,L01-727-2,Dry,9/6/2023,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.47419329,-117.6797341,
49,0,L01-727-2,Dry,7/12/2022,Unknown,None - Flow Infiltrates or Outfall is Dry,Not A Priority,,0,,33.47419329,-117.6797341,
