"","AvgDischarge","FacilityID","FlowCondition","ObsRecordDate","PersistentFlow","FlowConnectivity","Priority","PrioritizationScore2022","FloatDischargeCFS","VolumeDischargeCFS","PointY","PointX","Juris in Trib","Acres","AREA","PERCENTAGE","area_acres","Juris Discharge Point"
"1",0.048275,"L03-708-9","Flowing",2023-06-27,"Yes","Direct Connection","Priority",53,0.087413,NA,33.56260598,-117.67595162,NA,NA,NA,NA,NA,"LAGUNA NIGUEL"
"2",0.048275,"L03-708-9","Flowing",2021-05-13,"Yes","Direct Connection","Priority",53,0.014,NA,33.56260598,-117.67595162,NA,NA,NA,NA,NA,"LAGUNA NIGUEL"
"3",0.048275,"L03-708-9","Flowing",2022-06-23,"Yes","Direct Connection","Priority",53,0.00525,NA,33.56260598,-117.67595162,NA,NA,NA,NA,NA,"LAGUNA NIGUEL"
"4",0.048275,"L03-708-9","Flowing",2021-08-25,"Yes","Partial - Significant Distance","Priority",53,0.095,NA,33.56260598,-117.67595162,NA,NA,NA,NA,NA,"LAGUNA NIGUEL"
"5",0.048275,"L03-708-9","Flowing",2023-09-01,"Yes","Direct Connection","Priority",53,0.053774,NA,33.56260598,-117.67595162,NA,NA,NA,NA,NA,"LAGUNA NIGUEL"
"6",0.048275,"L03-708-9","Flowing",2022-08-04,"Yes","Direct Connection","Priority",53,0.007313,0.005,33.56260598,-117.67595162,NA,NA,NA,NA,NA,"LAGUNA NIGUEL"
"7",0.133895,"L03-708-11 (L03P05)","Flowing",2021-05-13,"Yes","Direct Connection","Priority",48,0.0225,0.008,33.56274915,-117.67587321,"LAGUNA HILLS",206.3489796,169.6933866,98.82675596,171.70778799,"LAGUNA NIGUEL"
"8",0.133895,"L03-708-11 (L03P05)","Flowing",2021-05-13,"Yes","Direct Connection","Priority",48,0.0225,0.008,33.56274915,-117.67587321,"LAGUNA NIGUEL",2.014587167,2.014553432,1.173244193,171.70778799,"LAGUNA NIGUEL"
"9",0.133895,"L03-708-11 (L03P05)","Flowing",2021-08-25,"Yes","Partial - Significant Distance","Priority",48,0.0675,0.121,33.56274915,-117.67587321,"LAGUNA HILLS",206.3489796,169.6933866,98.82675596,171.70778799,"LAGUNA NIGUEL"
"10",0.133895,"L03-708-11 (L03P05)","Flowing",2021-08-25,"Yes","Partial - Significant Distance","Priority",48,0.0675,0.121,33.56274915,-117.67587321,"LAGUNA NIGUEL",2.014587167,2.014553432,1.173244193,171.70778799,"LAGUNA NIGUEL"
"11",0.133895,"L03-708-11 (L03P05)","Flowing",2023-08-17,"Yes","Direct Connection","Priority",48,0.091837,0.023,33.56274915,-117.67587321,"LAGUNA HILLS",206.3489796,169.6933866,98.82675596,171.70778799,"LAGUNA NIGUEL"
"12",0.133895,"L03-708-11 (L03P05)","Flowing",2023-08-17,"Yes","Direct Connection","Priority",48,0.091837,0.023,33.56274915,-117.67587321,"LAGUNA NIGUEL",2.014587167,2.014553432,1.173244193,171.70778799,"LAGUNA NIGUEL"
