"","AvgDischarge","FacilityID","FlowCondition","ObsRecordDate","PersistentFlow","FlowConnectivity","Priority","PrioritizationScore2022","FloatDischargeCFS","VolumeDischargeCFS","PointY","PointX","Juris in Trib","Acres","AREA","PERCENTAGE","area_acres","Juris Discharge Point"
"1",0.241467,"L02-166-2 (L02P25)","Flowing",2022-09-20,"Unknown","Undetermined","Not A Priority",NA,0.121333,0.03,33.63763055,-117.6178921,"MISSION VIEJO",121.8375362,121.8369617,33.47599172,363.95293383,"RANCHO SANTA MARGARITA"
"2",0.241467,"L02-166-2 (L02P25)","Flowing",2022-09-20,"Unknown","Undetermined","Not A Priority",NA,0.121333,0.03,33.63763055,-117.6178921,"RANCHO SANTA MARGARITA",242.1162818,242.1162936,66.5240082,363.95293383,"RANCHO SANTA MARGARITA"
"3",0.241467,"L02-166-2 (L02P25)","Flowing",2021-05-12,"Unknown","Partial - Significant Distance","Not A Priority",NA,0.507,NA,33.63763055,-117.6178921,"MISSION VIEJO",121.8375362,121.8369617,33.47599172,363.95293383,"RANCHO SANTA MARGARITA"
"4",0.241467,"L02-166-2 (L02P25)","Flowing",2021-05-12,"Unknown","Partial - Significant Distance","Not A Priority",NA,0.507,NA,33.63763055,-117.6178921,"RANCHO SANTA MARGARITA",242.1162818,242.1162936,66.5240082,363.95293383,"RANCHO SANTA MARGARITA"
"5",0.241467,"L02-166-2 (L02P25)","Other - See Comments",2023-08-10,"Unknown",NA,"Not A Priority",NA,NA,NA,33.63763055,-117.6178921,"MISSION VIEJO",121.8375362,121.8369617,33.47599172,363.95293383,"RANCHO SANTA MARGARITA"
"6",0.241467,"L02-166-2 (L02P25)","Other - See Comments",2023-08-10,"Unknown",NA,"Not A Priority",NA,NA,NA,33.63763055,-117.6178921,"RANCHO SANTA MARGARITA",242.1162818,242.1162936,66.5240082,363.95293383,"RANCHO SANTA MARGARITA"
"7",0.241467,"L02-166-2 (L02P25)","Flowing",2023-06-12,"Unknown","Direct Connection","Not A Priority",NA,NA,0.035,33.63763055,-117.6178921,"MISSION VIEJO",121.8375362,121.8369617,33.47599172,363.95293383,"RANCHO SANTA MARGARITA"
"8",0.241467,"L02-166-2 (L02P25)","Flowing",2023-06-12,"Unknown","Direct Connection","Not A Priority",NA,NA,0.035,33.63763055,-117.6178921,"RANCHO SANTA MARGARITA",242.1162818,242.1162936,66.5240082,363.95293383,"RANCHO SANTA MARGARITA"
"9",0.241467,"L02-166-2 (L02P25)","Flowing",2022-07-27,"Unknown","Undetermined","Not A Priority",NA,0.086349,0.083,33.63763055,-117.6178921,"MISSION VIEJO",121.8375362,121.8369617,33.47599172,363.95293383,"RANCHO SANTA MARGARITA"
"10",0.241467,"L02-166-2 (L02P25)","Flowing",2022-07-27,"Unknown","Undetermined","Not A Priority",NA,0.086349,0.083,33.63763055,-117.6178921,"RANCHO SANTA MARGARITA",242.1162818,242.1162936,66.5240082,363.95293383,"RANCHO SANTA MARGARITA"
"11",0.241467,"L02-166-2 (L02P25)","Flowing",2021-09-28,"Unknown","Undetermined","Not A Priority",NA,0.559565,NA,33.63763055,-117.6178921,"MISSION VIEJO",121.8375362,121.8369617,33.47599172,363.95293383,"RANCHO SANTA MARGARITA"
"12",0.241467,"L02-166-2 (L02P25)","Flowing",2021-09-28,"Unknown","Undetermined","Not A Priority",NA,0.559565,NA,33.63763055,-117.6178921,"RANCHO SANTA MARGARITA",242.1162818,242.1162936,66.5240082,363.95293383,"RANCHO SANTA MARGARITA"
"13",0.241467,"L02-166-2 (L02P25)","Flowing",2022-11-23,"Unknown","Undetermined","Not A Priority",NA,0.21,0.044,33.63763055,-117.6178921,"MISSION VIEJO",121.8375362,121.8369617,33.47599172,363.95293383,"RANCHO SANTA MARGARITA"
"14",0.241467,"L02-166-2 (L02P25)","Flowing",2022-11-23,"Unknown","Undetermined","Not A Priority",NA,0.21,0.044,33.63763055,-117.6178921,"RANCHO SANTA MARGARITA",242.1162818,242.1162936,66.5240082,363.95293383,"RANCHO SANTA MARGARITA"
"15",0.021,"L01-125-2","Pooled or Ponded",2022-07-28,"Yes","Undetermined","Not A Priority",NA,NA,0.001,33.65543421,-117.55926841,"ORANGE CO",99.98944818,58.83250935,51.93979406,113.27048633,"RANCHO SANTA MARGARITA"
"16",0.021,"L01-125-2","Pooled or Ponded",2022-07-28,"Yes","Undetermined","Not A Priority",NA,NA,0.001,33.65543421,-117.55926841,"RANCHO SANTA MARGARITA",54.43807367,54.43807633,48.06020524,113.27048633,"RANCHO SANTA MARGARITA"
"17",0.021,"L01-125-2","Flowing",2023-06-13,"Yes","Direct Connection","Not A Priority",NA,NA,NA,33.65543421,-117.55926841,"ORANGE CO",99.98944818,58.83250935,51.93979406,113.27048633,"RANCHO SANTA MARGARITA"
"18",0.021,"L01-125-2","Flowing",2023-06-13,"Yes","Direct Connection","Not A Priority",NA,NA,NA,33.65543421,-117.55926841,"RANCHO SANTA MARGARITA",54.43807367,54.43807633,48.06020524,113.27048633,"RANCHO SANTA MARGARITA"
"19",0.021,"L01-125-2","Pooled or Ponded",2022-09-20,"Yes","Undetermined","Not A Priority",NA,NA,NA,33.65543421,-117.55926841,"ORANGE CO",99.98944818,58.83250935,51.93979406,113.27048633,"RANCHO SANTA MARGARITA"
"20",0.021,"L01-125-2","Pooled or Ponded",2022-09-20,"Yes","Undetermined","Not A Priority",NA,NA,NA,33.65543421,-117.55926841,"RANCHO SANTA MARGARITA",54.43807367,54.43807633,48.06020524,113.27048633,"RANCHO SANTA MARGARITA"
"21",0.021,"L01-125-2","Flowing",2023-08-10,"Yes","Unsafe to Access","Not A Priority",NA,NA,NA,33.65543421,-117.55926841,"ORANGE CO",99.98944818,58.83250935,51.93979406,113.27048633,"RANCHO SANTA MARGARITA"
"22",0.021,"L01-125-2","Flowing",2023-08-10,"Yes","Unsafe to Access","Not A Priority",NA,NA,NA,33.65543421,-117.55926841,"RANCHO SANTA MARGARITA",54.43807367,54.43807633,48.06020524,113.27048633,"RANCHO SANTA MARGARITA"
"23",0.021,"L01-125-2","Pooled or Ponded",2021-09-27,"Yes","Undetermined","Not A Priority",NA,NA,NA,33.65543421,-117.55926841,"ORANGE CO",99.98944818,58.83250935,51.93979406,113.27048633,"RANCHO SANTA MARGARITA"
"24",0.021,"L01-125-2","Pooled or Ponded",2021-09-27,"Yes","Undetermined","Not A Priority",NA,NA,NA,33.65543421,-117.55926841,"RANCHO SANTA MARGARITA",54.43807367,54.43807633,48.06020524,113.27048633,"RANCHO SANTA MARGARITA"
"25",0.021,"L01-125-2","Pooled or Ponded",2021-05-11,"Yes","None - Flow Infiltrates or Outfall is Dry","Not A Priority",NA,NA,NA,33.65543421,-117.55926841,"ORANGE CO",99.98944818,58.83250935,51.93979406,113.27048633,"RANCHO SANTA MARGARITA"
