"","AvgDischarge","FacilityID","FlowCondition","ObsRecordDate","PersistentFlow","FlowConnectivity","Priority","PrioritizationScore2022","FloatDischargeCFS","VolumeDischargeCFS","PointY","PointX","Juris in Trib","Acres","AREA","PERCENTAGE","area_acres","Juris Discharge Point"
"1",0.241467,"L02-166-2 (L02P25)","Flowing",2022-09-20,"Unknown","Undetermined","Not A Priority",NA,0.121333,0.03,33.63763055,-117.6178921,"MISSION VIEJO",121.8375362,121.8369617,33.47599172,363.95293383,"RANCHO SANTA MARGARITA"
"2",0.241467,"L02-166-2 (L02P25)","Flowing",2022-09-20,"Unknown","Undetermined","Not A Priority",NA,0.121333,0.03,33.63763055,-117.6178921,"RANCHO SANTA MARGARITA",242.1162818,242.1162936,66.5240082,363.95293383,"RANCHO SANTA MARGARITA"
"3",0.241467,"L02-166-2 (L02P25)","Flowing",2021-05-12,"Unknown","Partial - Significant Distance","Not A Priority",NA,0.507,NA,33.63763055,-117.6178921,"MISSION VIEJO",121.8375362,121.8369617,33.47599172,363.95293383,"RANCHO SANTA MARGARITA"
"4",0.241467,"L02-166-2 (L02P25)","Flowing",2021-05-12,"Unknown","Partial - Significant Distance","Not A Priority",NA,0.507,NA,33.63763055,-117.6178921,"RANCHO SANTA MARGARITA",242.1162818,242.1162936,66.5240082,363.95293383,"RANCHO SANTA MARGARITA"
"5",0.241467,"L02-166-2 (L02P25)","Other - See Comments",2023-08-10,"Unknown",NA,"Not A Priority",NA,NA,NA,33.63763055,-117.6178921,"MISSION VIEJO",121.8375362,121.8369617,33.47599172,363.95293383,"RANCHO SANTA MARGARITA"
"6",0.241467,"L02-166-2 (L02P25)","Other - See Comments",2023-08-10,"Unknown",NA,"Not A Priority",NA,NA,NA,33.63763055,-117.6178921,"RANCHO SANTA MARGARITA",242.1162818,242.1162936,66.5240082,363.95293383,"RANCHO SANTA MARGARITA"
"7",0.241467,"L02-166-2 (L02P25)","Flowing",2023-06-12,"Unknown","Direct Connection","Not A Priority",NA,NA,0.035,33.63763055,-117.6178921,"MISSION VIEJO",121.8375362,121.8369617,33.47599172,363.95293383,"RANCHO SANTA MARGARITA"
"8",0.241467,"L02-166-2 (L02P25)","Flowing",2023-06-12,"Unknown","Direct Connection","Not A Priority",NA,NA,0.035,33.63763055,-117.6178921,"RANCHO SANTA MARGARITA",242.1162818,242.1162936,66.5240082,363.95293383,"RANCHO SANTA MARGARITA"
"9",0.241467,"L02-166-2 (L02P25)","Flowing",2022-07-27,"Unknown","Undetermined","Not A Priority",NA,0.086349,0.083,33.63763055,-117.6178921,"MISSION VIEJO",121.8375362,121.8369617,33.47599172,363.95293383,"RANCHO SANTA MARGARITA"
"10",0.241467,"L02-166-2 (L02P25)","Flowing",2022-07-27,"Unknown","Undetermined","Not A Priority",NA,0.086349,0.083,33.63763055,-117.6178921,"RANCHO SANTA MARGARITA",242.1162818,242.1162936,66.5240082,363.95293383,"RANCHO SANTA MARGARITA"
"11",0.241467,"L02-166-2 (L02P25)","Flowing",2021-09-28,"Unknown","Undetermined","Not A Priority",NA,0.559565,NA,33.63763055,-117.6178921,"MISSION VIEJO",121.8375362,121.8369617,33.47599172,363.95293383,"RANCHO SANTA MARGARITA"
"12",0.241467,"L02-166-2 (L02P25)","Flowing",2021-09-28,"Unknown","Undetermined","Not A Priority",NA,0.559565,NA,33.63763055,-117.6178921,"RANCHO SANTA MARGARITA",242.1162818,242.1162936,66.5240082,363.95293383,"RANCHO SANTA MARGARITA"
"13",0.241467,"L02-166-2 (L02P25)","Flowing",2022-11-23,"Unknown","Undetermined","Not A Priority",NA,0.21,0.044,33.63763055,-117.6178921,"MISSION VIEJO",121.8375362,121.8369617,33.47599172,363.95293383,"RANCHO SANTA MARGARITA"
"14",0.241467,"L02-166-2 (L02P25)","Flowing",2022-11-23,"Unknown","Undetermined","Not A Priority",NA,0.21,0.044,33.63763055,-117.6178921,"RANCHO SANTA MARGARITA",242.1162818,242.1162936,66.5240082,363.95293383,"RANCHO SANTA MARGARITA"
"15",0.048275,"L03-708-9","Flowing",2023-06-27,"Yes","Direct Connection","Priority",53,0.087413,NA,33.56260598,-117.67595162,NA,NA,NA,NA,NA,"LAGUNA NIGUEL"
"16",0.048275,"L03-708-9","Flowing",2021-05-13,"Yes","Direct Connection","Priority",53,0.014,NA,33.56260598,-117.67595162,NA,NA,NA,NA,NA,"LAGUNA NIGUEL"
"17",0.048275,"L03-708-9","Flowing",2022-06-23,"Yes","Direct Connection","Priority",53,0.00525,NA,33.56260598,-117.67595162,NA,NA,NA,NA,NA,"LAGUNA NIGUEL"
"18",0.048275,"L03-708-9","Flowing",2021-08-25,"Yes","Partial - Significant Distance","Priority",53,0.095,NA,33.56260598,-117.67595162,NA,NA,NA,NA,NA,"LAGUNA NIGUEL"
"19",0.048275,"L03-708-9","Flowing",2023-09-01,"Yes","Direct Connection","Priority",53,0.053774,NA,33.56260598,-117.67595162,NA,NA,NA,NA,NA,"LAGUNA NIGUEL"
"20",0.048275,"L03-708-9","Flowing",2022-08-04,"Yes","Direct Connection","Priority",53,0.007313,0.005,33.56260598,-117.67595162,NA,NA,NA,NA,NA,"LAGUNA NIGUEL"
"21",0.005866,"L03-141-2","Flowing",2021-05-06,"Yes","Direct Connection","Priority",43,0.002,NA,33.6565667,-117.63439422,NA,NA,NA,NA,NA,"MISSION VIEJO"
"22",0.005866,"L03-141-2","Pooled or Ponded",2022-08-09,"Yes","Direct Connection","Priority",43,NA,NA,33.6565667,-117.63439422,NA,NA,NA,NA,NA,"MISSION VIEJO"
"23",0.013291,"L03-172-2","Pooled or Ponded",2023-07-17,"Yes","None - Flow Infiltrates or Outfall is Dry","Not A Priority",NA,NA,NA,33.65145815,-117.63884529,"MISSION VIEJO",46.50878967,46.50857036,100,46.50852925,"MISSION VIEJO"
"24",0.013291,"L03-172-2","Flowing",2022-08-09,"Yes",NA,"Not A Priority",NA,0.010783,NA,33.65145815,-117.63884529,"MISSION VIEJO",46.50878967,46.50857036,100,46.50852925,"MISSION VIEJO"
"25",0.013291,"L03-172-2","Flowing",2022-06-22,"Yes",NA,"Not A Priority",NA,NA,NA,33.65145815,-117.63884529,"MISSION VIEJO",46.50878967,46.50857036,100,46.50852925,"MISSION VIEJO"
"26",0.013291,"L03-172-2","Flowing",2023-08-28,"Yes","Undetermined","Not A Priority",NA,NA,NA,33.65145815,-117.63884529,"MISSION VIEJO",46.50878967,46.50857036,100,46.50852925,"MISSION VIEJO"
"27",0.013291,"L03-172-2","Flowing",2021-08-04,"Yes","Direct Connection","Not A Priority",NA,0.072,NA,33.65145815,-117.63884529,"MISSION VIEJO",46.50878967,46.50857036,100,46.50852925,"MISSION VIEJO"
"28",0.013291,"L03-172-2","Flowing",2021-05-06,"Yes","Undetermined","Not A Priority",NA,0.0041,NA,33.65145815,-117.63884529,"MISSION VIEJO",46.50878967,46.50857036,100,46.50852925,"MISSION VIEJO"
