FACILITYID,Constituent,Fraction,EMC_Model_Outfall
I01-11021-1,"Copper, Total",Dissolved,0.015012886656781079
I01-11021-1,"Copper, Total",Total,0.026872226015552062
I01-11021-1,Fecal coliforms,Total,11157.198032176197
I01-11021-1,"Lead, Total",Total,0.002420097808065398
I01-11021-1,TN,Total,3.308180808921428
I01-11021-1,TP,Total,0.39421141802152626
I01-11021-1,TSS,Total,85.68228640861646
I01-11021-1,"Zinc, Total",Dissolved,0.07823701778233115
I01-11021-1,"Zinc, Total",Total,0.14002155716033776
J01-9046-2,"Copper, Total",Dissolved,0.014090459183255305
J01-9046-2,"Copper, Total",Total,0.026174278763414955
J01-9046-2,Fecal coliforms,Total,10892.547430923141
J01-9046-2,"Lead, Total",Total,0.0024841547081654856
J01-9046-2,TN,Total,3.9118183896213443
J01-9046-2,TP,Total,0.44688335579469013
J01-9046-2,TSS,Total,103.23412844919194
J01-9046-2,"Zinc, Total",Dissolved,0.05236020638966969
J01-9046-2,"Zinc, Total",Total,0.1068140899779848
J01-9273-1,"Copper, Total",Dissolved,0.014872888060451391
J01-9273-1,"Copper, Total",Total,0.02467561249324967
J01-9273-1,Fecal coliforms,Total,11501.023100891724
J01-9273-1,"Lead, Total",Total,0.00217154956562044
J01-9273-1,TN,Total,3.9327089213290973
J01-9273-1,TP,Total,0.3759625633327586
J01-9273-1,TSS,Total,68.30397608386895
J01-9273-1,"Zinc, Total",Dissolved,0.06079840297033831
J01-9273-1,"Zinc, Total",Total,0.11491704542074539
J01-9992-1 (J01P27),"Copper, Total",Dissolved,0.014673503208357095
J01-9992-1 (J01P27),"Copper, Total",Total,0.026194820747695677
J01-9992-1 (J01P27),Fecal coliforms,Total,11020.156376691257
J01-9992-1 (J01P27),"Lead, Total",Total,0.002504968640975576
J01-9992-1 (J01P27),TN,Total,3.360457774086113
J01-9992-1 (J01P27),TP,Total,0.39100818966609024
J01-9992-1 (J01P27),TSS,Total,81.78354902694588
J01-9992-1 (J01P27),"Zinc, Total",Dissolved,0.07881408981170684
J01-9992-1 (J01P27),"Zinc, Total",Total,0.13666138462729124
J03-9216-2,"Copper, Total",Dissolved,0.013562063452226797
J03-9216-2,"Copper, Total",Total,0.025056304274951154
J03-9216-2,Fecal coliforms,Total,11177.33475856832
J03-9216-2,"Lead, Total",Total,0.00232676423096731
J03-9216-2,TN,Total,3.730643496611274
J03-9216-2,TP,Total,0.41520056904866953
J03-9216-2,TSS,Total,93.47366131574458
J03-9216-2,"Zinc, Total",Dissolved,0.05890673170906653
J03-9216-2,"Zinc, Total",Total,0.11244165773508843
J07-9109-4 (J07P02),"Copper, Total",Dissolved,0.014750872251285638
J07-9109-4 (J07P02),"Copper, Total",Total,0.026670814830168987
J07-9109-4 (J07P02),Fecal coliforms,Total,10872.668616524456
J07-9109-4 (J07P02),"Lead, Total",Total,0.0025988816274214316
J07-9109-4 (J07P02),TN,Total,3.533649010506083
J07-9109-4 (J07P02),TP,Total,0.41712475708698
J07-9109-4 (J07P02),TSS,Total,89.58781517648612
J07-9109-4 (J07P02),"Zinc, Total",Dissolved,0.07200933766148819
J07-9109-4 (J07P02),"Zinc, Total",Total,0.12920449832891845
K01-12156-4,"Copper, Total",Dissolved,0.01281151862148085
K01-12156-4,"Copper, Total",Total,0.024278262927161426
K01-12156-4,Fecal coliforms,Total,10792.031696003756
K01-12156-4,"Lead, Total",Total,0.002382396543853926
K01-12156-4,TN,Total,3.8575467187666317
K01-12156-4,TP,Total,0.41972920803661157
K01-12156-4,TSS,Total,100.42139181615015
K01-12156-4,"Zinc, Total",Dissolved,0.05303592134761276
K01-12156-4,"Zinc, Total",Total,0.10225927728768487
L01-724-4 (L01P03),"Copper, Total",Dissolved,0.013205303714577038
L01-724-4 (L01P03),"Copper, Total",Total,0.034397092624997065
L01-724-4 (L01P03),Fecal coliforms,Total,7767.60860885287
L01-724-4 (L01P03),"Lead, Total",Total,0.002207845397988727
L01-724-4 (L01P03),TN,Total,14.532903789782134
L01-724-4 (L01P03),TP,Total,0.9148946630382958
L01-724-4 (L01P03),TSS,Total,281.92905380597114
L01-724-4 (L01P03),"Zinc, Total",Dissolved,0.04249025529435683
L01-724-4 (L01P03),"Zinc, Total",Total,0.12103404320698231
L01-728-5 (L01-DP),"Copper, Total",Dissolved,0.013331992082705373
L01-728-5 (L01-DP),"Copper, Total",Total,0.02475732848229995
L01-728-5 (L01-DP),Fecal coliforms,Total,11330.731591900183
L01-728-5 (L01-DP),"Lead, Total",Total,0.0022946518612769764
L01-728-5 (L01-DP),TN,Total,3.182345021451128
L01-728-5 (L01-DP),TP,Total,0.37437162958573333
L01-728-5 (L01-DP),TSS,Total,82.87699181922542
L01-728-5 (L01-DP),"Zinc, Total",Dissolved,0.0796208966072302
L01-728-5 (L01-DP),"Zinc, Total",Total,0.1356403546588619
L02-166-2 (L02P25),"Copper, Total",Dissolved,0.014978647508423499
L02-166-2 (L02P25),"Copper, Total",Total,0.027068054517533153
L02-166-2 (L02P25),Fecal coliforms,Total,10584.672822758539
L02-166-2 (L02P25),"Lead, Total",Total,0.002827580766136688
L02-166-2 (L02P25),TN,Total,3.8644923003991916
L02-166-2 (L02P25),TP,Total,0.4525496974542591
L02-166-2 (L02P25),TSS,Total,94.24622448708719
L02-166-2 (L02P25),"Zinc, Total",Dissolved,0.06360441628336808
L02-166-2 (L02P25),"Zinc, Total",Total,0.1172841892352595
L03-708-11 (L03P05),"Copper, Total",Dissolved,0.014245943297511715
L03-708-11 (L03P05),"Copper, Total",Total,0.0262635774265943
L03-708-11 (L03P05),Fecal coliforms,Total,11074.795279581242
L03-708-11 (L03P05),"Lead, Total",Total,0.0023109566348967115
L03-708-11 (L03P05),TN,Total,3.993619194282034
L03-708-11 (L03P05),TP,Total,0.4443840062922222
L03-708-11 (L03P05),TSS,Total,105.49317803929905
L03-708-11 (L03P05),"Zinc, Total",Dissolved,0.046464808174155506
L03-708-11 (L03P05),"Zinc, Total",Total,0.10311143328236362
L05-049-1,"Copper, Total",Dissolved,0.012775656334616149
L05-049-1,"Copper, Total",Total,0.023790667370539503
L05-049-1,Fecal coliforms,Total,10863.188798424173
L05-049-1,"Lead, Total",Total,0.0024046219572373476
L05-049-1,TN,Total,3.864309165656478
