AREA,EMC_Group,RC_Group,FACILITYID,RC,RC_M,RC_Event,RCandCF,RC_Mcf,RC_WMAcf_M,RC_WMAcf,LSPC_LU_DESC,RC_Model_Outfall,SUM_Area,...1,Constituent,Fraction,Units,EMC,EMC_Model_LU,EMC_Model_LU_divisor
6.224789474,business,Commercial,I01-11021-1,0.486,0.4654840947303408,0.04924938350312003,0.05142001768370242,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,10,Fecal coliforms,Total,CFU/100 mL,11600,17563.662229641643,1.5141088129001417
6.224789474,business,Commercial,I01-11021-1,0.486,0.4654840947303408,0.04924938350312003,0.05142001768370242,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,11,TN,Total,mg/L,2.71,4.103234882959383,1.5141088129001417
6.224789474,business,Commercial,I01-11021-1,0.486,0.4654840947303408,0.04924938350312003,0.05142001768370242,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,12,TP,Total,mg/L,0.34,0.5147969963860481,1.5141088129001417
6.224789474,business,Commercial,I01-11021-1,0.486,0.4654840947303408,0.04924938350312003,0.05142001768370242,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,13,TSS,Total,mg/L,79.9,120.97729415072132,1.5141088129001417
6.224789474,business,Commercial,I01-11021-1,0.486,0.4654840947303408,0.04924938350312003,0.05142001768370242,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,14,"Copper, Total",Total,mg/L,0.0254,0.038458363847663594,1.5141088129001417
6.224789474,business,Commercial,I01-11021-1,0.486,0.4654840947303408,0.04924938350312003,0.05142001768370242,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,15,"Lead, Total",Total,mg/L,0.0021,0.003179628507090297,1.5141088129001417
6.224789474,business,Commercial,I01-11021-1,0.486,0.4654840947303408,0.04924938350312003,0.05142001768370242,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,16,"Zinc, Total",Total,mg/L,0.1569,0.23756367274403226,1.5141088129001417
6.224789474,business,Commercial,I01-11021-1,0.486,0.4654840947303408,0.04924938350312003,0.05142001768370242,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,17,"Copper, Total",Dissolved,mg/L,0.0137,0.02074329073673194,1.5141088129001417
6.224789474,business,Commercial,I01-11021-1,0.486,0.4654840947303408,0.04924938350312003,0.05142001768370242,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,18,"Zinc, Total",Dissolved,mg/L,0.0932,0.14111494136229322,1.5141088129001417
6.224789474,business,Commercial,I01-11021-1,0.486,0.4654840947303408,NA,NA,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,10,Fecal coliforms,Total,CFU/100 mL,11600,17563.662229641643,1.5141088129001417
6.224789474,business,Commercial,I01-11021-1,0.486,0.4654840947303408,NA,NA,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,11,TN,Total,mg/L,2.71,4.103234882959383,1.5141088129001417
6.224789474,business,Commercial,I01-11021-1,0.486,0.4654840947303408,NA,NA,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,12,TP,Total,mg/L,0.34,0.5147969963860481,1.5141088129001417
6.224789474,business,Commercial,I01-11021-1,0.486,0.4654840947303408,NA,NA,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,13,TSS,Total,mg/L,79.9,120.97729415072132,1.5141088129001417
6.224789474,business,Commercial,I01-11021-1,0.486,0.4654840947303408,NA,NA,NA,0.1059846625134502,0.12161927879041888,COMM,0.12161927879041888,12.449578948,14,"Copper, Total",Total,mg/L,0.0254,0.038458363847663594,1.5141088129001417
