LSPC_LU_DESC,LSPC_LU_CODE,RC_Group,EMC_Group,RC,FACILITYID,Shape_Area,AREA,PERCENTAGE,Jurisdiction
COMM,10,Commercial,business,0.486,DP06-12106-1,762500.1619,17.5046651,26.3048681,Dana Point
COMM,10,Commercial,business,0.486,I00-11437-1,129159.0956,2.9650967,0.489942642,Laguna Beach
COMM,10,Commercial,business,0.486,I00-11453-1,94229.15962,2.163212501,0.632352154,Laguna Beach
COMM,10,Commercial,business,0.486,I00-11468-1,115290.174,2.646708796,1.185074048,Laguna Beach
COMM,10,Commercial,business,0.486,I00-11518-1,236796.5229,5.436121903,0.842598966,Laguna Beach
COMM,10,Commercial,business,0.486,I00-11518-2,577704.6989,13.262275,1.697945825,Laguna Beach
COMM,10,Commercial,business,0.486,I01-11010-1,358420.1504,8.228227366,67.72712778,Laguna Beach
COMM,10,Commercial,business,0.486,I01-11015-2,48457.19388,1.112428552,0.453352685,Laguna Beach
COMM,10,Commercial,business,0.486,I01-11015-3,78512.24303,1.802393091,0.740187699,Laguna Beach
COMM,10,Commercial,business,0.486,I01-11023-2,226942.1704,5.209896193,30.98257105,Laguna Beach
COMM,10,Commercial,business,0.486,I01-11023-4,18738.54824,0.430179596,6.679446397,Laguna Beach
COMM,10,Commercial,business,0.486,I01-11059-2,9621.815159,0.220887366,2.378255586,Laguna Beach
COMM,10,Commercial,business,0.486,I01-11059-3,9621.81516,0.220886482,2.378255411,Laguna Beach
COMM,10,Commercial,business,0.486,I01-11065-1,8.585935489,1.97106e-4,5.37724e-4,Laguna Beach
COMM,10,Commercial,business,0.486,I01-11077-1,288083.5973,6.613515831,5.602100399,Laguna Beach
COMM,10,Commercial,business,0.486,I01-11077-2,454723.016,10.43900404,5.46767836,Laguna Beach
COMM,10,Commercial,business,0.486,I01-11093-1,107255.9839,2.462268432,2.809754542,Laguna Beach
COMM,10,Commercial,business,0.486,I01-11487-1,3247829.307,74.56019968,1.329953387,Laguna Beach
COMM,10,Commercial,business,0.486,I01-11487-2,547987.1986,12.58010539,9.337628086,Laguna Beach
COMM,10,Commercial,business,0.486,J01-10004-1 (J01P01),368722.317,8.464733516,1.76389705,Lake Forest
COMM,10,Commercial,business,0.486,J01-10041-2 (J03P13),226563.0577,5.201192928,1.388115047,Laguna Niguel
COMM,10,Commercial,business,0.486,J01-9008-1 (J01P30),984412.6118,22.59909434,10.68150072,Aliso Viejo
COMM,10,Commercial,business,0.486,J01-9031-1,1237763.413,28.41525169,9.504710127,Lake Forest
COMM,10,Commercial,business,0.486,J01-9040-1,100125.6485,2.298577801,1.5730032,Lake Forest
COMM,10,Commercial,business,0.486,J01-9066-1 (J01P04),862064.6073,19.7903594,24.0987953,Mission Viejo
COMM,10,Commercial,business,0.486,J01-9066-2 (J01P03),2975531.749,68.3090829,16.25053759,Mission Viejo
COMM,10,Commercial,business,0.486,J01-9131-1 (J01P28),3290199.079,75.53287971,26.37447182,Aliso Viejo
COMM,10,Commercial,business,0.486,J01-9144-1 (J01P23),1745431.171,40.06974639,22.83718968,Laguna Niguel
COMM,10,Commercial,business,0.486,J01-9144-4 (J01P26),1304246.264,29.94149406,15.47418966,Aliso Viejo
COMM,10,Commercial,business,0.486,J01-9224-1 (J01P24),7894079.282,181.2238489,81.46083358,Laguna Niguel
COMM,10,Commercial,business,0.486,J01-9224-2 (J01P25),7894079.282,181.2238489,81.46083358,Laguna Niguel
COMM,10,Commercial,business,0.486,J01-9259-3,882522.0028,20.25999846,14.39378513,Lake Forest
COMM,10,Commercial,business,0.486,J01-9264-1 (J01P06),4212261.25,96.70059916,14.20122908,Lake Forest
COMM,10,Commercial,business,0.486,J01-9364-3 (J01P21),1028114.406,23.60235351,14.05960483,Orange Co
COMM,10,Commercial,business,0.486,J01-9377-2 (J01TBN8),319118.3581,7.325978755,7.44370221,Lake Forest
COMM,10,Commercial,business,0.486,J01-9785-1,54.53372028,0.001251927,0.005889594,Lake Forest
COMM,10,Commercial,business,0.486,J01-9992-1 (J01P27),6503076.863,149.2906996,26.95548853,Aliso Viejo
COMM,10,Commercial,business,0.486,J03-9215-1,13052.43973,0.299643984,0.460082534,Laguna Niguel
COMM,10,Commercial,business,0.486,J03-9215-3,64057.4423,1.470562409,0.946992225,Laguna Niguel
COMM,10,Commercial,business,0.486,J03-9216-2,4378781.726,100.5233985,8.94903991,Laguna Niguel
COMM,10,Commercial,business,0.486,J03-9216-5,116055.3107,2.664263332,9.425524061,Laguna Niguel
COMM,10,Commercial,business,0.486,J03-9221-1 (J03P02),119437.1005,2.74190951,0.484684755,Laguna Niguel
COMM,10,Commercial,business,0.486,J03-9368-1 (J03TBN1),49.64096877,0.001139604,0.001234091,Laguna Niguel
COMM,10,Commercial,business,0.486,J04-9249-1,4600785.829,105.6199319,6.426697734,Laguna Niguel
COMM,10,Commercial,business,0.486,J05-9255-1 (J05P01),498164.473,11.43632841,16.32707047,Laguna Hills
COMM,10,Commercial,business,0.486,J06-10011-1 (J06P01),10038551.18,230.4543464,24.6237669,Aliso Viejo
COMM,10,Commercial,business,0.486,J06-9079-1 (J06P03),1648646.56,37.84786856,10.34695667,Aliso Viejo
COMM,10,Commercial,business,0.486,J07-9022-6,43264.73175,0.993221574,2.124149841,Mission Viejo
COMM,10,Commercial,business,0.486,J07-9109-2,72709.75008,1.669192859,0.827791688,Mission Viejo
COMM,10,Commercial,business,0.486,J07-9109-4 (J07P02),1382206.191,31.73121487,8.034722212,Mission Viejo
COMM,10,Commercial,business,0.486,K01-12058-1 (K01P08),63518.06433,1.458179945,0.442514166,Laguna Niguel
COMM,10,Commercial,business,0.486,K01-12058-2 (K01P09),275242.5742,6.318725326,2.085024819,Laguna Niguel
COMM,10,Commercial,business,0.486,K01-12062-1,163420.4661,3.751632687,1.449394459,Laguna Niguel
