FACILITYID,RC_M
DP01-12022-1,0.3972003861627511
DP01-12022-2,0.405
DP02-12131-1,0.39775255728584313
DP04-12015-1,0.18097054271288604
DP05-12190-1,0.37104711656273565
DP06-12106-1,0.403519394783603
I00-11437-1,0.3203016201832238
I00-11453-1,0.3542095813729413
I00-11468-1,0.22982623673513894
I00-11518-1,0.32701033648432465
I00-11518-2,0.3390208353635085
I01-11010-1,0.4811590690636497
I01-11010-2,0.44007765332736454
I01-11015-1,0.4352571391673946
I01-11015-2,0.09429730713064571
I01-11015-3,0.08988336113601492
I01-11021-1,0.4654840947303408
I01-11023-1,0.21502348572069638
I01-11023-2,0.3928123586391972
I01-11023-3,0.08900160518941548
I01-11023-4,0.2945694293834645
I01-11023-5,0.15991367495000638
I01-11023-6,0.10777346199916954
I01-11059-1,0.27841561700234163
I01-11059-2,0.3800391773366036
I01-11059-3,0.3800391810702878
I01-11065-1,0.3814693383981638
I01-11077-1,0.2577352559769659
I01-11077-2,0.2804825570864253
I01-11093-1,0.12853037962368222
I01-11093-2,0.07963100068017918
I01-11195-2,0.3763406736553475
I01-11216-1 (I02P13),0.3942576833560644
I01-11216-2 (I02P12),0.3948185962635884
I01-11216-3,0.4515371116332192
I01-11216-4 (I02P14),0.33642532646393514
I01-11217-1,0.2916605449943509
I01-11343-1,0.4277586655367687
I01-11343-2 (I02P18),0.47737352986394327
I01-11487-1,0.18249682495857825
I01-11487-2,0.4083658939931035
I01-11502-1,0.4253676019895348
I01-11502-2,0.23996702530936684
I01-11503-1,0.45885702767547015
I01-11503-2,0.4101003541370408
I01-11503-3,0.30151831990092226
I01-11503-5,0.47039376086944656
J01-10004-1 (J01P01),0.38118441116106977
J01-10004-2,0.41157583378065954
J01-10006-1,0.4172019770999132
J01-10012-3,0.29824995934288306
J01-10017-1 (J01TBN4),0.3077574091508749
J01-10018-1 (J01TBN5),0.28318354475475366
J01-10019-1 (J01P33),0.4447461077256108
J01-10041-2 (J03P13),0.3637992026497096
J01-9005-1 (J03P05),0.36817177510844507
J01-9005-3,0.38150486418148677
J01-9005-6,0.41375271663999663
J01-9007-1 (J02P05),0.3932700675226457
J01-9008-1 (J01P30),0.4235753528692999
J01-9031-1,0.38668309040217624
J01-9033-1,0.3783176034137122
J01-9040-1,0.3951043565517056
J01-9046-1,0.36046249607110875
J01-9046-2,0.3595627385979095
J01-9046-3,0.3945393408962529
J01-9048-1,0.3708850835156561
J01-9058-1,0.41892711627895834
J01-9066-1 (J01P04),0.4235299759654896
J01-9066-2 (J01P03),0.4289848920692832
J01-9082-2,0.31646218274731597
J01-9082-3,0.31646218274731597
J01-9082-4,0.31646218274731597
J01-9082-5 (J02P08),0.389837176188853
J01-9096-1,0.397195467743589
J01-9131-1 (J01P28),0.4237111414926113
J01-9144-1 (J01P23),0.42331868595571076
J01-9144-2,0.43595409648474986
J01-9144-3,0.09835629219296933
J01-9144-4 (J01P26),0.43817783361442336
J01-9224-1 (J01P24),0.4685425373015451
J01-9224-2 (J01P25),0.4685425373015451
J01-9259-3,0.4426301732528632
J01-9264-1 (J01P06),0.3758241108740132
J01-9273-1,0.48380097422343965
J01-9275-1,0.27850003070725443
J01-9275-2,0.2886586426673188
J01-9275-3,0.3333391247183724
J01-9313-1,0.37494279662739843
J01-9349-1,0.30824576751113025
J01-9359-1 (J01P32),0.2683080869545321
J01-9359-2,0.23953257944412454
J01-9364-3 (J01P21),0.37230009070302483
J01-9364-4,0.10120256733474359
J01-9377-1,0.3903920341022059
J01-9377-2 (J01TBN8),0.3656487021093859
J01-9782-1 (J01TBN3),0.38278689063933397
J01-9785-1,0.4813201625534927
J01-9992-1 (J01P27),0.4309018585120463
J03-9199-1,0.3941526884545735
J03-9215-1,0.2384912921998
J03-9215-2,0.4566760417885538
J03-9215-3,0.3948782894175033
J03-9216-1 (J03P01),0.2807880015380702
J03-9216-2,0.37132378492851387
J03-9216-5,0.4508846711470255
J03-9221-1 (J03P02),0.35097112264526975
J03-9234-1,0.4499010061257745
J03-9234-3,0.41904270825196166
J03-9234-5,0.35144327937102826
J03-9234-6,0.3908643778038341
J03-9234-8,0.36182296994484203
J03-9368-1 (J03TBN1),0.4179298221766845
J03-9368-2 (J03TBN2),0.4092219419182942
J04-9249-1,0.402314044078742
J05-9255-1 (J05P01),0.39737286137856737
J05-9271-1,0.4794938395074437
