FACILITYID,RC_WMAcf_M
DP01-12022-1,0.07799988253341263
DP01-12022-2,0.07981888209877125
DP02-12131-1,0.07774064805046556
DP04-12015-1,0.048440274981101906
DP05-12190-1,0.07167361728612634
DP06-12106-1,0.08982815093417981
I00-11437-1,0.0655302968474246
I00-11453-1,0.07474361145398967
I00-11468-1,0.04609893925665793
I00-11518-1,0.06693305862502384
I00-11518-2,0.06815801188526784
I01-11010-1,0.1123359099656336
I01-11010-2,0.09722709567321566
I01-11015-1,0.09837397208550934
I01-11015-2,0.018591539055793138
I01-11015-3,0.01771529442463758
I01-11021-1,0.1059846625134502
I01-11023-1,0.041985308930558796
I01-11023-2,0.08597474571754933
I01-11023-3,0.017293822058408247
I01-11023-4,0.0656086988393017
I01-11023-5,0.03240656342771645
I01-11023-6,0.020703826756180824
I01-11059-1,0.054603421525612414
I01-11059-2,0.07472804023194132
I01-11059-3,0.0747280410736502
I01-11065-1,0.07514076182222322
I01-11077-1,0.061213688384182875
I01-11077-2,0.06216880514971024
I01-11093-1,0.03412669364897887
I01-11093-2,0.017243066028202695
I01-11195-2,0.08815522377812939
I01-11216-1 (I02P13),0.08773228493763867
I01-11216-2 (I02P12),0.0872004904178976
I01-11216-3,0.0961641161188424
I01-11216-4 (I02P14),0.06486420311662135
I01-11217-1,0.05859926826448954
I01-11343-1,0.11281278323611714
I01-11343-2 (I02P18),0.1302611908563106
I01-11487-1,0.040497547380465675
I01-11487-2,0.08592755671345864
I01-11502-1,0.11685289832079697
I01-11502-2,0.04244103613746033
I01-11503-1,0.090116280032209
I01-11503-2,0.07921183900605515
I01-11503-3,0.05697161169881331
I01-11503-5,0.13034683809462194
J01-10004-1 (J01P01),0.08674835312899289
J01-10004-2,0.08072767994236035
J01-10006-1,0.08195638940996652
J01-10012-3,0.058392198991721093
J01-10017-1 (J01TBN4),0.07930778947748333
J01-10018-1 (J01TBN5),0.05762195528351363
J01-10019-1 (J01P33),0.1260800949136201
J01-10041-2 (J03P13),0.07184796269632172
J01-9005-1 (J03P05),0.07102517086660778
J01-9005-3,0.0856719681112623
J01-9005-6,0.0929297718557748
J01-9007-1 (J02P05),0.09128959140094868
J01-9008-1 (J01P30),0.10584392045624441
J01-9031-1,0.08322316395938109
J01-9033-1,0.07567087392216007
J01-9040-1,0.08397237844295005
J01-9046-1,0.06882649883927684
J01-9046-2,0.069950128840483
J01-9046-3,0.07685655239863579
J01-9048-1,0.07141876402833208
J01-9058-1,0.08239716149921088
J01-9066-1 (J01P04),0.09660405404012767
J01-9066-2 (J01P03),0.09614535461391549
J01-9082-2,0.06083037433064357
J01-9082-3,0.06083037433064357
J01-9082-4,0.06083037433064357
J01-9082-5 (J02P08),0.08682713518015066
J01-9096-1,0.07732017127093022
J01-9131-1 (J01P28),0.10746493771608652
J01-9144-1 (J01P23),0.10625530202306085
J01-9144-2,0.0891766260283422
J01-9144-3,0.01811058023281193
J01-9144-4 (J01P26),0.11273257882166186
J01-9224-1 (J01P24),0.11670194238928054
J01-9224-2 (J01P25),0.11670194238928054
J01-9259-3,0.09936319263992609
J01-9264-1 (J01P06),0.08408830049033297
J01-9273-1,0.13319025433914763
J01-9275-1,0.05422310509175781
J01-9275-2,0.05452287964549673
J01-9275-3,0.06319131019648623
J01-9313-1,0.07495931354218043
J01-9349-1,0.059329170974481794
J01-9359-1 (J01P32),0.04715502426913651
J01-9359-2,0.04066728451477432
J01-9364-3 (J01P21),0.09275114065253814
J01-9364-4,0.018538178588218837
J01-9377-1,0.07580878173652042
J01-9377-2 (J01TBN8),0.08721408918434652
J01-9782-1 (J01TBN3),0.07398296249951468
J01-9785-1,0.13115176352344682
J01-9992-1 (J01P27),0.10475399667667125
J03-9199-1,0.08576687210002429
J03-9215-1,0.04507450813074626
J03-9215-2,0.11185705176910364
J03-9215-3,0.07790355422772867
J03-9216-1 (J03P01),0.049970537145475516
J03-9216-2,0.07919136914043395
J03-9216-5,0.11930518315471353
J03-9221-1 (J03P02),0.06988630535562829
J03-9234-1,0.11599221545644352
J03-9234-3,0.08257124862103896
J03-9234-5,0.06727648206211753
J03-9234-6,0.08140887375243319
J03-9234-8,0.07217089997970201
J03-9368-1 (J03TBN1),0.09275474785183824
J03-9368-2 (J03TBN2),0.08054805098710945
J04-9249-1,0.085919594289103
J05-9255-1 (J05P01),0.08733599197277346
J05-9271-1,0.11961529622619363
J05-9271-2,0.12926551206044223
J05-9271-3,0.1369160527637002
J05-9271-4,0.1330296017507743
J05-9271-5,0.13353541858390053
J05-9271-6,0.10951227104075065
J05-9271-7,0.11833274587858315
J05-9800-1,0.06610404131562594
J05-9800-2,0.022869401912905405
J06-10011-1 (J06P01),0.11477465869412924
J06-9079-1 (J06P03),0.08521393607617345
J06-9362-1,0.10520085728015621
J07-9019-2,0.06612661525464089
J07-9019-3,0.07801837598866224
J07-9022-1,0.0925039009173034
J07-9022-2,0.08064562032796088
J07-9022-3,0.07564979821595857
J07-9022-4,0.08120996572029707
J07-9022-6,0.07564979629855745
J07-9109-1,0.061940649701029214
J07-9109-2,0.05800835401586489
J07-9109-3,0.08316091729590211
J07-9109-4 (J07P02),0.09143756505923496
J07-9110-1,0.05825234734170658
J07-9110-2,0.06079465205568835
J07-9110-3,0.045945505491633086
K01-12032-1,0.08460008650284899
K01-12032-2 (K01P11),0.0648636548011652
K01-12032-3,0.06281792565734542
K01-12036-1,0.04521330705037308
K01-12036-10,0.06240756050994377
K01-12036-5,0.10752293254159154
K01-12036-8,0.047057547103982814
K01-12036-9,0.05729847300414304
K01-12046-2,0.06194614900877102
K01-12058-1 (K01P08),0.07300376557274377
K01-12058-2 (K01P09),0.0598895725161295
K01-12062-1,0.0643744727226856
K01-12126-1 (K01S01),0.0773653356463966
K01-12138-1 (K01TBN1),0.0803632278995349
K01-12155-1,0.049403363772103734
K01-12155-2,0.047073188168240576
K01-12155-5,0.05027392992406779
K01-12156-1,0.09037763809739195
K01-12156-3,0.05871944824281172
K01-12156-4,0.06548683864112503
K01-12156-6,0.081747362917348
K01-12159-2,0.07935853872672403
K01-12159-3,0.07670563427719368
K01-12177-1,0.07683073229079475
L00-12094-1 (L00P01),0.10047827179854851
L01-125-1,0.05103889937920201
L01-125-2,0.026126728033779637
L01-125-3,0.057228860781475155
L01-218-1,0.04068776568409156
L01-218-2,0.048057360762047384
L01-218-3,0.07044460405270173
L01-218-4,0.07333267779113567
L01-223-1 (L08TBN1),0.053582675324911115
L01-242-1 (L07P16),0.05183011084918936
L01-261-1,0.07335063001725944
L01-303-1,0.025960276739166652
L01-303-2,0.059033229915394385
L01-303-3,0.06977821293265644
L01-303-4,0.05695343988986724
L01-303-5,0.04734224851284831
L01-335-1,0.050491372269834134
L01-335-2,0.030745707345353483
L01-340-1,0.06319953755082931
L01-372-1,0.05746240578409442
L01-391-1,0.07415282676804187
L01-391-2,0.03666724510173498
L01-391-3,0.06352908372381873
L01-399-1,0.01980385595690495
L01-399-2,0.01980385595690495
L01-404-1,0.05301726235345972
L01-404-2,0.04523669055317115
L01-414-1,0.04943850606587522
L01-414-2,0.06109064549649328
L01-414-3,0.04599160760340367
L01-458-1,0.019394591523821444
L01-471-1,0.06009712177584603
L01-494-1,0.06880654113037112
L01-514-1,0.04835998982218522
L01-517-1,0.11185180145086293
L01-517-2,0.11145619649504757
L01-517-3,0.033210550705085884
L01-517-6,0.08510083442720463
L01-517-7,0.06341927003340703
L01-517-8,0.027789401148603468
L01-551-1,0.08875448459016178
L01-556-1,0.10159371985690882
L01-601-1,0.08209773461906125
L01-601-2,0.07251960849522186
L01-602-1,0.069712375194303
L01-602-2,0.1046940531315729
L01-613-1,0.06390330681432285
L01-618-1,0.08889511443110301
L01-618-2,0.058449497249787874
L01-618-3,0.1388684468221026
L01-618-4,0.09728505238325101
L01-618-5 (L01S09),0.0415200997722942
L01-724-1 (L01S01),0.07551227355949776
L01-724-2,0.0807519179989586
L01-724-3,0.10663841675496881
L01-724-4 (L01P03),0.08232146070875104
L01-726-1,0.10030001762039387
L01-726-2,0.03833510057084469
L01-726-3,0.059232600672713936
L01-726-4,0.07210859604694918
L01-726-5,0.0847713269400319
L01-726-6,0.07301318036647542
L01-726-7,0.03572065418163066
L01-726-8,0.07818423169275332
L01-726-9,0.11570378986018208
L01-727-1 (L01S04),0.08297381257871407
L01-727-2,0.0666547949216358
L01-727-3,0.12161927879041887
L01-728-1,0.10695222903734233
L01-728-2,0.09662599264860014
L01-728-3 (L01S02),0.06545330904261742
L01-728-4,0.08039287041184731
L01-728-5 (L01-DP),0.09731919644448553
L01-728-6,0.12161927879041888
L01-728-7 (L01S03),0.08558279672925478
L01-728-8d,0.0805382759041697
L01-728-9,0.0869390636864525
L01-730-1,0.031183628995080783
L01-731-1 (L08TBN2),0.062221097069084685
L01-733-2,0.0565678011420599
L01-733-4,0.04169818467025426
L01-733-5,0.04169818546296825
L01-733-7,0.051835936500237594
L01-747-1,0.034690479788196726
L01-747-2,0.05041196419548078
L01-748-1,0.08007115416999254
L01-748-2,0.08879412391938557
L01-749-1,0.07247876065484953
L01-749-2,0.07409257079058745
L01-749-2d,0.0778970337041048
L01-749-3,0.07789703550308602
L01-749-5,0.08490139381455332
L01-759-1,0.07051257491678138
L01-760-1,0.07107955322903645
L01-760-2,0.07106772374613153
L01-760-3,0.07581567417424695
L01-766-2 (L01S06),0.11469602957409492
L01-766-3,0.057402485902434006
L01-766-4,0.08716563552585825
L01-766-5,0.08207398924435068
L01-766-7,0.11270530684031121
L01-766-8,0.1127053072339217
L01-766-9,0.06145566750819287
L02-108-1,0.03558707832292528
L02-166-1 (L02PXX),0.06610991650332962
L02-166-2 (L02P25),0.07918699682000366
L02-166-3 (L02P26),0.07666717344781576
L02-198-1 (L02P29),0.03556370972562175
L02-204-1 (L02P45),0.08604100100648235
L02-246-1 (L11P01),0.086847354047324
L02-344-1,0.05349135448120076
L02-344-2,0.05349135519832949
L02-359-1 (L02P43),0.07137484286524282
L02-366-1 (MVL02P14),0.08419283795355983
L02-374-1 (L02P50),0.062110257976339726
L02-374-2 (MVL02P20),0.07600350082462987
L02-396-1,0.07980525648553281
L02-401-1,0.07846028182071516
L02-401-2 (COL02P55),0.07226200968736195
L02-412-1,0.1436893294196638
L02-502-1,0.05594049527623235
L02-502-5,0.12243459934628342
L02-502-6,0.07874890207176186
L02-541-1,0.09101498776131749
L02-541-2,0.11201978092204096
L02-541-3,0.11372911200031867
L02-541-6,0.11218234452118502
L02-541-7,0.0816506134102582
L02-541-8,0.07697510027618368
L02-541-9 (L02P02),0.09750532186459519
L02-571-1,0.13481074324031891
L02-571-2,0.10906242754345571
L02-571-3,0.11994401591135342
L02-571-4,0.11648636682871309
L02-571-5 (L02TBN2),0.0680549265421029
L02-622-1 (L02P28),0.10149069416834641
L02-622-2 (L02P32),0.08978922276199343
L02-640-1 (L11P02),0.09039205454640098
L02-641-1,0.08976120728411272
L02-641-2,0.08976120728411272
L03-073-2,0.10966150183986684
L03-073-3 (With Upper Oso),0.10085967644958535
L03-074-1 (L03B01),0.07471916006893144
L03-074-2,0.07567242498129605
L03-141-1 (With Upper Oso),0.11309741152171666
L03-141-2,0.09087388356459716
L03-141-3,0.09087388356459716
L03-142-1 (L03P24),0.046485865451781475
L03-172-2,0.0709434816172467
L03-172-3,0.08172134834861727
L03-214-2 (L03P18),0.08934951693150936
L03-214-2 (With Upper Oso),0.09573704144366364
L03-240-1 (L03P14),0.06563242327000833
L03-241-1,0.07918072414827718
L03-241-2,0.0765554319029356
L03-241-3,0.06659378161888185
L03-241-4,0.0713064497794038
L03-281-1,0.08141150618757897
L03-281-2,0.07570488798881887
L03-316-1,0.05075967031225957
L03-316-2,0.09551183508991593
L03-316-3 (L03P12),0.07303638346615794
L03-316-4,0.09424946443170022
L03-418-1,0.12285633231894212
L03-418-2,0.12225785782424967
L03-418-3,0.12225785872438491
L03-418-4,0.10908934544806168
L03-418-8,0.10908578871201753
L03-455-1,0.11868935837018132
L03-455-2,0.09886877803991398
L03-455-3 (L03P37),0.13074149651910413
L03-455-4,0.11868936951489464
L03-455-5,0.10311680074761885
L03-455-6,0.11934654637548367
L03-455-7,0.057439843176082174
L03-497-1,0.09127750264131435
L03-662-1,0.07694157729429382
L03-662-3 (L03P16),0.30030343643851365
L03-691-1 (L03P09),0.07351148666060911
L03-693-1 (L03P11),0.08615252659638852
L03-708-1,0.0768378075529486
L03-708-11 (L03P05),0.07020903084910514
L03-708-13,0.12224231754896386
L03-708-5,0.11043747766074205
L03-708-9,0.049279151426317454
L04-136-1 (L04P07),0.09261483622979641
L04-136-1u (L04P07),0.09261483638875503
L04-232-1,0.11661904653297996
L04-266-1,0.08570504029938444
L04-266-2,0.08277761411823865
L04-266-3,0.08296677059678817
L04-266-4,0.08335970490728181
L04-266-5,0.08455478077450633
L04-301-1 (L04P08),0.09642490962523417
L04-672-1,0.09340362538977622
L04-702-1 (L04P02),0.07120587041748862
L04-702-2 (L04P02),0.07988827715916745
L04-702-3,0.11547693450109031
L04-702-4,0.08887763218874883
L05-049-1,0.06963169199951165
L05-049-2,0.0703614266165943
L05-489-1,0.0153756314794076
L05-489-2,0.015175920369696365
L05-489-3,0.07173384338540861
L05-489-3d,0.06915289251221639
L05-489-4,0.02009673290317008
L05-489-7,0.05857576776074072
L05-503-1,0.06873486235075214
LC01-11446-1,0.04825000223610034
LC01-11480-1,0.01666262598366121
LC02-11508-1,0.08849590293151423
LC02-11508-2,0.09473482774497805
LC02-11508-3,0.025536640187245618
LC03-11455-1,0.08486681281461626
LC03-11515-1,0.08023706956616089
LC04-11199-1,0.04188443043470235
LC05-11017-1,0.06597270646349068
LC05-11017-2,0.08804970966869055
LC06-11019-1,0.09041274450318337
LC06-11019-2,0.11331056104725046
LC06-11509-1,0.09381269148579936
LC06-11509-2,0.06507973458531212
M00.1-070-1,0.084775382997162
M00.1-070-2,0.07769611366853657
M00.1-070-3,0.08747877344747079
M00.1-070-4,0.07545884565764034
M00.1-070-6,0.07851892410849975
M00.1-071-1 (M00S04),0.0804865515745356
M00.1-071-2 (M00S04),0.08047479613312009
M00.1-071-3 (M00S04),0.08848515565690601
M00.1-071-4 (M00S04),0.11354469369988697
M00.2-066-1 (M00S07),0.10302794408962702
M00.3-169-2,0.08034819127760165
M01-002-1,0.017360139573863904
M01-003-1,0.02584991982216848
M01-003-2,0.02584991982216848
M01-008-1,0.04401458711287544
M01-038-3,0.08412471763663626
M01-038-6,0.04276699883014234
M01-042-1 (M01S01),0.06100391453400666
M01-047-1,0.06142209032672788
M01-050-1,0.08141447566251848
M01-050-2,0.08361942795707379
M01-050-4,0.083909864432066
M01-050-7,0.09959344941807696
M01-060-3,0.06046862460629803
M01-086-2,0.11474692438592098
M01-088-1,0.04972458503449085
M01-099-1,0.06834950790872897
M01-124-2,0.07356903432954504
M01-124-4,0.04276699883014234
M01-168-1d (M00P03),0.06785087451243985
M01-168-2d (M00P03),0.09226994333619801
M02-013-1,0.07143397844206029
M02-015-1,0.05980057535022757
M02-028-2 (M02P08),0.0528825649158227
M02-032-1,0.04433643332579117
M02-052-2,0.05238438622651977
M02-052-3,0.07929868412162591
M02-052-4,0.05284673339301214
M02-056-1,0.05243603396640249
M02-061-4 (SCBS@M02),0.08966240646506106
M02-061-5,0.0956058661429532
M02-061-6,0.09954928144785422
M02-085-1 (M02P06),0.05642820328826643
M02-085-2,0.05262935735493033
M02-086-1,0.06447148658743554
M02-102-1,0.05889259828185131
M02-142-1,0.10844058458426756
SC01-077-1,0.07827641333246278
SC01-077-2,0.07788407106497318
SC02-072-1,0.03558707832292528
SC02-072-4,0.08720461954439471
SC03-067-1,0.07000976684543456
SC03-067-2,0.07262079163305234
SC04-090-1,0.06565312370383036
SC05-073-1,0.08290216030840925
SC05-073-2,0.08452462561363559
SC05-073-3,0.08452566762918376
SC06-146-1 (M00P02),0.08381009970414482
SC06-146-2 (M00P02),0.08908821185744545
SC07-079-1,0.11162733194627117
SC07-079-2,0.1367743009020045
SC07-079-3,0.12241128394437527
SC07-079-4,0.09138728812953492
SC07-079-5,0.11190104182518727
SC09-081-2d,0.07668026740182936
SC10-075-1d (M00P05),0.08815955302993222
SC10-075-3 (M00S01),0.08636519857517988
SC11-026-1 (M00P01),0.0839255010755988
SC11-035-1d,0.06801313197484148
SC11-035-2d,0.0660131003225871
SC11-035-3d,0.0767782063768538
SC11-035-4,0.08972269212523683
SC11-130-1,0.0769009291217777
SC11-130-2,0.09660387442154028
SC12-068-1,0.10730423465030269
SC12-068-2,0.1139678868607234
SC12-068-3,0.11012788122381326
SC12-068-4,0.10393462631817928
SM01-086-1 (M03P01),0.08029147952194694
SM01-086-2,0.07392301762604798
