RC_Group,FACILITYID,AREA,RC_WMAcf
Commercial,DP06-12106-1,17.5046651,0.12161927879041888
Commercial,I00-11437-1,2.9650967,0.12161927879041888
Commercial,I00-11453-1,2.163212501,0.12161927879041888
Commercial,I00-11468-1,2.646708796,0.12161927879041888
Commercial,I00-11518-1,5.436121903,0.12161927879041888
Commercial,I00-11518-2,13.262275,0.12161927879041888
Commercial,I01-11010-1,8.228227366,0.12161927879041888
Commercial,I01-11010-2,2.149094555,0.12161927879041888
Commercial,I01-11015-1,1.354177762,0.12161927879041888
Commercial,I01-11015-2,1.112428552,0.12161927879041888
Commercial,I01-11015-3,1.802393091,0.12161927879041888
Commercial,I01-11021-1,6.224789474,0.12161927879041888
Commercial,I01-11023-2,5.209896193,0.12161927879041888
Commercial,I01-11023-4,0.430179596,0.12161927879041888
Commercial,I01-11059-2,0.220887366,0.12161927879041888
Commercial,I01-11059-3,0.220886482,0.12161927879041888
Commercial,I01-11065-1,1.97106e-4,0.12161927879041888
Commercial,I01-11077-1,6.613515831,0.12161927879041888
Commercial,I01-11077-2,10.43900404,0.12161927879041888
Commercial,I01-11093-1,2.462268432,0.12161927879041888
Commercial,I01-11487-1,74.56019968,0.12161927879041888
Commercial,I01-11487-2,12.58010539,0.12161927879041888
Commercial,J01-10004-1 (J01P01),8.464733516,0.12161927879041888
Commercial,J01-10041-2 (J03P13),5.201192928,0.12161927879041888
Commercial,J01-9005-6,3.045748862,0.12161927879041888
Commercial,J01-9008-1 (J01P30),22.59909434,0.12161927879041888
Commercial,J01-9031-1,28.41525169,0.12161927879041888
Commercial,J01-9040-1,2.298577801,0.12161927879041888
Commercial,J01-9066-1 (J01P04),19.7903594,0.12161927879041888
Commercial,J01-9066-2 (J01P03),68.3090829,0.12161927879041888
Commercial,J01-9131-1 (J01P28),75.53287971,0.12161927879041888
Commercial,J01-9144-1 (J01P23),40.06974639,0.12161927879041888
Commercial,J01-9144-2,0.31009261,0.12161927879041888
Commercial,J01-9144-4 (J01P26),29.94149406,0.12161927879041888
Commercial,J01-9224-1 (J01P24),181.2238489,0.12161927879041888
Commercial,J01-9224-2 (J01P25),181.2238489,0.12161927879041888
Commercial,J01-9259-3,20.25999846,0.12161927879041888
Commercial,J01-9264-1 (J01P06),96.70059916,0.12161927879041888
Commercial,J01-9364-3 (J01P21),23.60235351,0.12161927879041888
Commercial,J01-9377-2 (J01TBN8),7.325978755,0.12161927879041888
Commercial,J01-9785-1,0.001251927,0.12161927879041888
Commercial,J01-9992-1 (J01P27),149.2906996,0.12161927879041888
Commercial,J03-9199-1,40.28850481,0.12161927879041888
Commercial,J03-9215-1,0.299643984,0.12161927879041888
Commercial,J03-9215-2,3.572040538,0.12161927879041888
Commercial,J03-9215-3,1.470562409,0.12161927879041888
Commercial,J03-9216-2,100.5233985,0.12161927879041888
Commercial,J03-9216-5,2.664263332,0.12161927879041888
Commercial,J03-9221-1 (J03P02),2.74190951,0.12161927879041888
Commercial,J03-9368-1 (J03TBN1),0.001139604,0.12161927879041888
Commercial,J04-9249-1,105.6199319,0.12161927879041888
Commercial,J05-9255-1 (J05P01),11.43632841,0.12161927879041888
Commercial,J06-10011-1 (J06P01),230.4543464,0.12161927879041888
Commercial,J06-9079-1 (J06P03),37.84786856,0.12161927879041888
Commercial,J06-9362-1,269.4066925,0.12161927879041888
Commercial,J07-9022-3,0.993225614,0.12161927879041888
Commercial,J07-9022-4,4.782910492,0.12161927879041888
Commercial,J07-9022-6,0.993221574,0.12161927879041888
Commercial,J07-9109-2,1.669192859,0.12161927879041888
Commercial,J07-9109-4 (J07P02),31.73121487,0.12161927879041888
Commercial,K01-12046-2,35.42395837,0.12161927879041888
Commercial,K01-12058-1 (K01P08),1.458179945,0.12161927879041888
Commercial,K01-12058-2 (K01P09),6.318725326,0.12161927879041888
Commercial,K01-12062-1,3.751632687,0.12161927879041888
Commercial,K01-12126-1 (K01S01),59.18676645,0.12161927879041888
Commercial,K01-12156-1,0.134082909,0.12161927879041888
Commercial,K01-12156-4,28.98139563,0.12161927879041888
Commercial,K01-12156-6,3.566171739,0.12161927879041888
