Station,Collected Date,HSN,Fraction,Sample Type,Composite Start Time,Composite End Time,Stormflow Volume -cf,"2,4'-DDD - ng/L","2,4'-DDE - ng/L","2,4'-DDT - ng/L","4,4'-DDD - ng/L","4,4'-DDE - ng/L","4,4'-DDT - ng/L",Acenaphthene - ng/L,Acenaphthylene - ng/L,Aldrin - ng/L,Anthracene - ng/L,Azinphos Methyl - ng/L,Benz[a]anthracene - ng/L,Benzo[a]pyrene - ng/L,Benzo[b]fluoranthene - ng/L,"Benzo[g,h,i]perylene - ng/L",Benzo[k]fluoranthene - ng/L,BHC-alpha - ng/L,BHC-beta - ng/L,BHC-delta - ng/L,BHC-gamma - ng/L,Biphenyl - ng/L,Bolstar (Sulprofos) - ng/L,Chlordane-alpha - ng/L,Chlordane-gamma - ng/L,Chlorpyrifos - ng/L,Chrysene - ng/L,Demeton - ng/L,Diazinon - ng/L,"Dibenz[a,h]anthracene - ng/L",Dibenzothiophene - ng/L,Dichlorvos - ng/L,Dieldrin - ng/L,Dimethoate - ng/L,Disulfoton - ng/L,Endosulfan-I - ng/L,Endosulfan-II - ng/L,Endosulfan Sulfate - ng/L,Endrin - ng/L,Endrin Aldehyde - ng/L,Ethoprop (Ethoprofos) - ng/L,Ethyl Parathion - ng/L,Fenchlorphos (Ronnel) - ng/L,Fensulfothion - ng/L,Fenthion - ng/L,Fluoranthene - ng/L,Fluorene - ng/L,Heptachlor - ng/L,Heptachlor Epoxide - ng/L,"Indeno[1,2,3-cd]pyrene - ng/L",Malathion - ng/L,Merphos - ng/L,Methoxychlor - ng/L,Methyl Parathion - ng/L,Mevinphos (Phosdrin) - ng/L,Mirex - ng/L,Naphthalene - ng/L,Phenanthrene - ng/L,Phorate - ng/L,Pyrene - ng/L,Tetrachlorvinphos (Stirofos) - ng/L,Tokuthion (Prothiofos) - ng/L,Toxaphene - ng/L,trans-Nonachlor - ng/L,Trichloronate - ng/L,"Arsenic, Total - ug/L","Cadmium, Total - ug/L","Calcium, Total","Chromium, Total - ug/L","Copper, Total - ug/L",Dissolved Organic Carbon - mg/L,"Hardness as CaCO3, Total - mg/L","Iron, Total - ug/L","Lead, Total - ug/L","Magnesium, Total - ug/L","Manganese, Total - ug/L",MBAS - mg/L,"Mercury, Total - ug/L","Nickel, Total - ug/L","Selenium, Total - ug/L","Silver, Total - ug/L","Thallium, Total - ug/L",Total Organic Carbon (TOC) - mg/L,"Zinc, Total - ug/L","Ammonia, as Nitrogen - mg/L",Chloride - mg/L,Nitrate + Nitrite as N - mg/L,"Nitrogen, Total Kjeldahl - mg/L",Orthophosphate as P - mg/L,pH,Phosphorus as PO4 - mg/L,SpecificConductivity,Sulfate - mg/L,Temperature,Total Dissolved Solids - mg/L,VSS - mg/L,TSS - mg/L,Turbidity - NTU,Enterococcus - CFU/100 mL,E. coli - CFU/100 mL,Fecal coliforms - CFU/100 mL,Total Coliforms - CFU/100 mL,TN - mg/L,Field Dissolved Oxygen,Field pH,Field Specific Conductivity,Field Temperature,Field Turbidity - NTU
J01-9046-2,2023-12-19T09:45:00Z,3209003,Total,Composite,2023-12-18T22:17:00Z,2023-12-19T07:17:00Z,162.89999999999998,<2,2.54,<2,<2,<2,<2,12.4,7.82,<5,7.26,<10,18.2,30.2,<5,67.099999999999994,<5,<5,<5,<5,<5,19.2,<4,5.19,4,<1,64.5,<2,<1,<5,32.700000000000003,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,<20,<4,<2,<4,70.099999999999994,J3.93,<5,<5,6.86,<5,<2,<5,<2,<10,<5,30.7,34.700000000000003,<10,138,<4,<6,<25,4.99,<2,7,1.5,62.3,22,99,56,230,13000,18,18.1,350,1.1000000000000001,8.1000000000000003E-2,25,1.1,0.24,0.23,72,600,1.7,52,2.4,9.8,0.62,H7.64,6.9,640,82,H19.4,420,99,390,82,NA,NA,NA,NA,12.200000000000001,NA,NA,NA,NA,NA
J01-9046-2,2023-12-19T09:45:00Z,3209006,Dissolved,Composite,2023-12-18T22:17:00Z,2023-12-19T07:17:00Z,162.89999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,<0.2,NA,1.2,19,NA,NA,240,0.67,NA,97,NA,<0.05,8.4,0.71,<0.2,<0.2,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.67,7.8,367,17,7.94
L01-728-5 (L01-DP),2023-12-21T09:00:00Z,3210001,Total,Composite,2023-12-20T04:24:00Z,2023-12-21T03:24:00Z,12120.299999999994,<2,<2,<2,<2,<2,<2,<5,J3.6,<5,<5,<10,<5,<5,8.16,17.399999999999999,<5,<5,<5,<5,<5,6.64,<4,<2,<2,<1,<5,<2,<1,<5,<5,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,<20,<4,<2,<4,14.6,<5,<5,<5,<5,<5,<2,<5,<2,<10,<5,8.9700000000000006,11.6,<10,21.4,<4,<6,<25,<2,<2,1.6,<0.2,NA,3.6,19,14,133,810,1.4,NA,30,0.21,<0.05,3.7,0.47,<0.2,<0.2,15,64,0.14000000000000001,54,1.8,1.4,0.28,H7.26,0.94,550,81,H17.2,440,10,26,17,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA
J01-9273-1,2023-12-21T10:00:00Z,3210002,Total,Composite,2023-12-20T06:09:00Z,2023-12-21T02:09:00Z,148383,<2,<2,<2,<2,<2,<2,<5,J2.85,<5,<5,<10,<5,<5,<5,<5,<5,<5,<5,<5,<5,6.07,<4,<2,<2,<1,<5,<2,<1,<5,<5,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,<20,<4,<2,<4,8.01,<5,<5,<5,<5,<5,<2,<5,<2,<10,<5,10.199999999999999,10.4,<10,13.9,<4,<6,<25,<2,<2,3.3,2.8,NA,1.7,10,17,280,460,0.99,NA,340,0.31,<0.05,17,0.98,<0.2,<0.2,18,65,0.13,110,2.5,0.97,0.4,H7.49,1.4,1100,210,H16.8,660,7.4,15,18,NA,NA,NA,NA,3.4699999999999998,NA,NA,NA,NA,NA
L01-728-5 (L01-DP),2023-12-21T09:00:00Z,3210004,Dissolved,Composite,2023-12-20T04:24:00Z,2023-12-21T03:24:00Z,12120.299999999994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,<0.2,NA,2.4,13,NA,NA,49,0.31,NA,4.9000000000000004,NA,<0.05,2.8,0.44,<0.2,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
J01-9273-1,2023-12-21T10:00:00Z,3210005,Dissolved,Composite,2023-12-20T06:09:00Z,2023-12-21T02:09:00Z,148383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,2,NA,1.1,8.5,NA,NA,95,0.34,NA,330,NA,9.5000000000000001E-2,16,0.97,<0.2,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L01-728-5 (L01-DP),2023-12-20T11:19:00Z,3211001,Total,Grab,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,6700,8600,>=36000,NA,NA,NA,NA,NA,NA
J01-9273-1,2023-12-20T10:16:00Z,3211002,Total,Grab,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5700,200,300,>=24000,NA,NA,NA,NA,NA,NA
J01-9046-2,2023-12-20T09:17:00Z,3211003,Total,Grab,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43000,20000,31000,>=81000,NA,NA,NA,NA,NA,NA
M01-088-1,2024-01-21T09:45:00Z,3246002,Total,Composite,2024-01-20T10:02:00Z,2024-01-21T09:02:00Z,307140.00000000006,<2,<2,<2,<2,<2,<2,<5,J1.11,<5,J1.03,<10,<5,<5,J3.62,5,J2.36,<5,<5,<5,<5,J3.38,<4,<2,<2,<1,J3.96,<2,<1,J1.33,J4.79,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,<20,<4,<2,<4,J3.19,J3.24,<5,<5,J1.14,17.3,<2,<5,<2,<10,<5,357,5.04,<10,6.56,<4,<6,<25,<2,<2,1.7,3.7,88.9,3.4,12,11,485,1400,0.75,63.8,440,0.1,<0.05,43,2.5,<0.2,<0.2,12,50,0.17,130,3.5,1.9,0.2,H7.57,0.8,1780,490,H17,980,8.1,32,17,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA
