jurisdicti,EMC_Group,RC,EMC_Group_Area,Area_Rainfall,Juris_LU_Volume
ALISO VIEJO,agriculture,0.222,12.713845295428296,20.2,4.751163986901554
ALISO VIEJO,business,0.414,67.45681443990236,20.2,47.01065398316795
ALISO VIEJO,business,0.422,203.84030133874364,20.2,144.80135539433218
ALISO VIEJO,business,0.486,515.2237748248427,20.2,421.50457018420383
ALISO VIEJO,developed open space,0.217,965.3937189078367,20.2,352.64223562171765
ALISO VIEJO,highway/arterial,0.45,222.66752750617496,20.2,168.67065208592754
ALISO VIEJO,multi-family,0.485,795.0498647189866,20.2,649.0919603876592
ALISO VIEJO,open space,0.078,274.59559094128105,20.2,36.054401090590204
ALISO VIEJO,single family,0.405,589.1525823100146,20.2,401.6547729898525
ALISO VIEJO,surface street,0.471,652.3989982438969,20.2,517.2545457576737
DANA POINT,agriculture,0.222,31.27477386830112,20.2,11.68738299458413
DANA POINT,business,0.414,30.868449558783,20.2,21.51222249751587
DANA POINT,business,0.422,62.57923053946657,20.2,44.454199400885734
DANA POINT,business,0.486,356.9595247509444,20.2,292.02858719874763
DANA POINT,developed open space,0.217,812.3868306572933,20.2,296.75136945859833
DANA POINT,highway/arterial,0.45,52.36644150676027,20.2,39.667579441370904
DANA POINT,multi-family,0.485,427.3359009687976,20.2,348.8841518159425
DANA POINT,open space,0.078,136.1628092608208,20.2,17.87817685594577
DANA POINT,single family,0.405,1438.7518159334993,20.2,980.8690505126633
DANA POINT,surface street,0.471,701.1575647210418,20.2,555.9127751890779
DANA POINT,water,0.797,21.733286051488772,20.2,29.157738788111526
IRVINE,agriculture,0.222,1.753809622229611,20.2,0.6553986558272057
IRVINE,developed open space,0.217,5.463935074238547,20.2,1.9958844170347707
IRVINE,highway/arterial,0.45,41.808437818076314,20.2,31.66989164719281
IRVINE,open space,0.078,47.015479306227,20.2,6.173132432907605
IRVINE,single family,0.405,0.00995174989807072,20.2,0.006784605493009714
LAGUNA BEACH,agriculture,0.222,162.94633459290824,20.2,60.89304523736982
LAGUNA BEACH,business,0.414,22.089434616369793,20.2,15.394126984148107
LAGUNA BEACH,business,0.422,54.680814564051886,20.2,38.84342797248366
LAGUNA BEACH,business,0.486,226.96410478445577,20.2,185.67933412416326
LAGUNA BEACH,developed open space,0.217,355.7116241091355,20.2,129.9355277599987
LAGUNA BEACH,highway/arterial,0.45,57.28668115054294,20.2,43.39466097153628
LAGUNA BEACH,multi-family,0.485,234.87001939179856,20.2,191.75179833178754
LAGUNA BEACH,open space,0.078,2084.0995014906416,20.2,273.6422645457212
LAGUNA BEACH,single family,0.405,1877.8150846611957,20.2,1280.2004339677703
LAGUNA BEACH,surface street,0.471,551.5925913983584,20.2,437.3301860901884
LAGUNA BEACH,water,0.797,4.007436105841081,20.2,5.376443070198159
LAGUNA HILLS,agriculture,0.222,11.201015957602184,20.2,4.185819663355937
LAGUNA HILLS,business,0.414,7.301468432653245,20.2,5.0883933507160455
LAGUNA HILLS,business,0.422,73.2326405853135,20.2,52.022026783787204
LAGUNA HILLS,business,0.486,287.1573790390245,20.2,234.92345179182593
LAGUNA HILLS,developed open space,0.217,347.40437576847,20.2,126.90102839529263
LAGUNA HILLS,highway/arterial,0.45,99.7787458348112,20.2,75.58239996986948
LAGUNA HILLS,multi-family,0.485,194.21609113193236,20.2,158.56125373496175
LAGUNA HILLS,open space,0.078,134.8476536851397,20.2,17.705496928858842
LAGUNA HILLS,single family,0.405,1721.6556194272923,20.2,1173.7387185445566
LAGUNA HILLS,surface street,0.471,621.6059754309248,20.2,492.8402976204087
LAGUNA NIGUEL,agriculture,0.222,1.56619189939035,20.2,0.5852859128021738
LAGUNA NIGUEL,business,0.414,65.54446404635526,20.2,45.67793699390498
LAGUNA NIGUEL,business,0.422,97.36789873637672,20.2,69.16690966569747
LAGUNA NIGUEL,business,0.486,588.4083428461148,20.2,481.3768652824065
LAGUNA NIGUEL,developed open space,0.217,2273.768629900868,20.2,830.5697843589553
LAGUNA NIGUEL,highway/arterial,0.45,81.32050618965789,20.2,61.60028343866585
LAGUNA NIGUEL,multi-family,0.485,713.0656450417872,20.2,582.1586770395324
LAGUNA NIGUEL,open space,0.078,1601.083171284556,20.2,210.22222038966223
LAGUNA NIGUEL,single family,0.405,2765.7103961667035,20.2,1885.5230625866502
LAGUNA NIGUEL,surface street,0.471,1230.535222676706,20.2,975.6298512992264
LAGUNA NIGUEL,water,0.797,45.441317963141294,20.2,60.964829534649745
LAGUNA WOODS,business,0.486,12.041827738900428,20.2,9.851419273194441
LAGUNA WOODS,developed open space,0.217,159.54874427870422,20.2,58.280497139272676
LAGUNA WOODS,multi-family,0.485,513.4434853080536,20.2,419.18381879691674
LAGUNA WOODS,open space,0.078,7.606460732802005,20.2,0.9987282942169033
LAGUNA WOODS,single family,0.405,0.02174854940853365,20.2,0.014827073559267816
LAGUNA WOODS,surface street,0.471,63.34840427341328,20.2,50.22578232817572
LAKE FOREST,agriculture,0.222,9.323612435697246,20.2,3.4842339672200615
LAKE FOREST,business,0.414,176.41649416282718,20.2,122.94465478207427
LAKE FOREST,business,0.422,31.57801829265465,20.2,22.431971594492108
LAKE FOREST,business,0.486,446.9698423493028,20.2,365.66602802596464
LAKE FOREST,developed open space,0.217,706.5654571516634,20.2,258.0965854065501
LAKE FOREST,highway/arterial,0.45,65.57838499331527,20.2,49.67562663243632
LAKE FOREST,multi-family,0.485,393.8112778265768,20.2,321.51409073891443
LAKE FOREST,open space,0.078,239.37101783335802,20.2,31.42941464151991
LAKE FOREST,single family,0.405,763.0034724954239,20.2,520.1776173737553
LAKE FOREST,surface street,0.471,471.33898790216574,20.2,373.70111655823206
MISSION VIEJO,agriculture,0.222,1.0056725477006214,20.2,0.37581983107572225
MISSION VIEJO,business,0.414,131.66885329269357,20.2,91.76002385967814
MISSION VIEJO,business,0.422,541.2776372046723,20.2,384.5055908822923
MISSION VIEJO,business,0.486,967.7263810671973,20.2,791.6969523510741
MISSION VIEJO,developed open space,0.217,2358.4073845349944,20.2,861.4869107808912
MISSION VIEJO,highway/arterial,0.45,527.0756977309144,20.2,399.25984103116764
MISSION VIEJO,multi-family,0.485,591.6165993004826,20.2,483.00565194556896
MISSION VIEJO,open space,0.078,458.209331553236,20.2,60.162885232939885
MISSION VIEJO,single family,0.405,4019.2983846991287,20.2,2740.156673768631
MISSION VIEJO,surface street,0.471,1778.868533688389,20.2,1410.3759169348393
MISSION VIEJO,water,0.797,150.82622611333196,20.2,202.3509787240814
NEWPORT BEACH,agriculture,0.222,1.055195248223045,20.2,0.39432646426095186
NEWPORT BEACH,developed open space,0.217,11.67269924215562,20.2,4.263842488172078
NEWPORT BEACH,highway/arterial,0.45,5.109659281899179,20.2,3.8705669060386287
NEWPORT BEACH,multi-family,0.485,10.641947756832296,20.2,8.688263514473835
NEWPORT BEACH,open space,0.078,100.74877595609962,20.2,13.22831428303588
NEWPORT BEACH,surface street,0.471,0.7810119678393895,20.2,0.6192253387014599
ORANGE CO,agriculture,0.222,1020.3162614579069,20.2,381.2921869068198
ORANGE CO,business,0.414,353.11185864083166,20.2,246.08365428679556
ORANGE CO,business,0.422,154.31672747791563,20.2,109.62145930939532
ORANGE CO,business,0.486,817.736260007596,20.2,668.9900343122143
ORANGE CO,developed open space,0.217,5639.918138865754,20.2,2060.1680974920123
ORANGE CO,highway/arterial,0.45,167.96733726491033,20.2,127.23525797816959
ORANGE CO,multi-family,0.485,428.56775754560744,20.2,349.889860056193
ORANGE CO,open space,0.078,79657.55021431607,20.2,10459.0363431397
ORANGE CO,single family,0.405,4675.315001722693,20.2,3187.396002424446
ORANGE CO,surface street,0.471,1765.6561276712425,20.2,1399.9004608241446
ORANGE CO,water,0.797,81.08743711510509,20.2,108.78825709091025
RANCHO SANTA MARGARITA,agriculture,0.222,21.80230699764532,20.2,8.147522125020057
RANCHO SANTA MARGARITA,business,0.414,106.57065756257336,20.2,74.26909125535738
RANCHO SANTA MARGARITA,business,0.422,108.94411167686872,20.2,77.3902654648583
RANCHO SANTA MARGARITA,business,0.486,429.12782234486394,20.2,351.06947146033315
RANCHO SANTA MARGARITA,developed open space,0.217,1571.6413066083799,20.2,574.0943752822644
RANCHO SANTA MARGARITA,highway/arterial,0.45,362.9351177645791,20.2,274.9233517066687
RANCHO SANTA MARGARITA,multi-family,0.485,452.88425128267505,20.2,369.74225081803064
RANCHO SANTA MARGARITA,open space,0.078,3180.22245527831,20.2,417.56320837804213
RANCHO SANTA MARGARITA,single family,0.405,1166.1175684021223,20.2,795.0006522581469
RANCHO SANTA MARGARITA,surface street,0.471,812.8400055457195,20.2,644.4601983969236
RANCHO SANTA MARGARITA,water,0.797,67.15788907267634,20.2,90.1001432780538
SAN CLEMENTE,agriculture,0.222,5.993887585146538,20.2,2.2399157905692615
SAN CLEMENTE,business,0.414,255.28235121673973,20.2,177.9062705629459
SAN CLEMENTE,business,0.422,164.9993025705095,20.2,117.2100045693376
SAN CLEMENTE,business,0.486,507.8940615064909,20.2,415.5081317184602
SAN CLEMENTE,developed open space,0.217,3064.993591100268,20.2,1119.5910756024095
SAN CLEMENTE,highway/arterial,0.45,237.6955458490501,20.2,180.05437598065546
