LSPC_LU_DESC,LSPC_LU_CODE,RC_Group,EMC_Group,RC,FACILITYID,Shape_Area,AREA,PERCENTAGE,...1,Collected Date,HSN,Fraction,Sample Type,Composite Start Time,Composite End Time,Stormflow Volume -cf,"2,4'-DDD - ng/L","2,4'-DDE - ng/L","2,4'-DDT - ng/L","4,4'-DDD - ng/L","4,4'-DDE - ng/L","4,4'-DDT - ng/L",Acenaphthene - ng/L,Acenaphthylene - ng/L,Aldrin - ng/L,Anthracene - ng/L,Azinphos Methyl - ng/L,Benz[a]anthracene - ng/L,Benzo[a]pyrene - ng/L,Benzo[b]fluoranthene - ng/L,"Benzo[g,h,i]perylene - ng/L",Benzo[k]fluoranthene - ng/L,BHC-alpha - ng/L,BHC-beta - ng/L,BHC-delta - ng/L,BHC-gamma - ng/L,Biphenyl - ng/L,Bolstar (Sulprofos) - ng/L,Chlordane-alpha - ng/L,Chlordane-gamma - ng/L,Chlorpyrifos - ng/L,Chrysene - ng/L,Demeton - ng/L,Diazinon - ng/L,"Dibenz[a,h]anthracene - ng/L",Dibenzothiophene - ng/L,Dichlorvos - ng/L,Dieldrin - ng/L,Dimethoate - ng/L,Disulfoton - ng/L,Endosulfan-I - ng/L,Endosulfan-II - ng/L,Endosulfan Sulfate - ng/L,Endrin - ng/L,Endrin Aldehyde - ng/L,Ethoprop (Ethoprofos) - ng/L,Ethyl Parathion - ng/L,Fenchlorphos (Ronnel) - ng/L,Fensulfothion - ng/L,Fenthion - ng/L,Fluoranthene - ng/L,Fluorene - ng/L,Heptachlor - ng/L,Heptachlor Epoxide - ng/L,"Indeno[1,2,3-cd]pyrene - ng/L",Malathion - ng/L,Merphos - ng/L,Methoxychlor - ng/L,Methyl Parathion - ng/L,Mevinphos (Phosdrin) - ng/L,Mirex - ng/L,Naphthalene - ng/L,Phenanthrene - ng/L,Phorate - ng/L,Pyrene - ng/L,Tetrachlorvinphos (Stirofos) - ng/L,Tokuthion (Prothiofos) - ng/L,Toxaphene - ng/L,trans-Nonachlor - ng/L,Trichloronate - ng/L,"Arsenic, Total - ug/L","Cadmium, Total - ug/L","Calcium, Total","Chromium, Total - ug/L","Copper, Total - ug/L",Dissolved Organic Carbon - mg/L,"Hardness as CaCO3, Total - mg/L","Iron, Total - ug/L","Lead, Total - ug/L","Magnesium, Total - ug/L","Manganese, Total - ug/L",MBAS - mg/L,"Mercury, Total - ug/L","Nickel, Total - ug/L","Selenium, Total - ug/L","Silver, Total - ug/L","Thallium, Total - ug/L",Total Organic Carbon (TOC) - mg/L,"Zinc, Total - ug/L","Ammonia, as Nitrogen - mg/L",Chloride - mg/L,Nitrate + Nitrite as N - mg/L,"Nitrogen, Total Kjeldahl - mg/L",Orthophosphate as P - mg/L,pH,Phosphorus as PO4 - mg/L,SpecificConductivity,Sulfate - mg/L,Temperature,Total Dissolved Solids - mg/L,VSS - mg/L,TSS - mg/L,Turbidity - NTU,Enterococcus - CFU/100 mL,E. coli - CFU/100 mL,Fecal coliforms - CFU/100 mL,Total Coliforms - CFU/100 mL,TN - mg/L,Field Dissolved Oxygen,Field pH,Field Specific Conductivity,Field Temperature,Field Turbidity - NTU,...117,GlobalID_tribarea,area_acres,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,OBJECTID_outfall,GlobalID,LOCDESC,OBJECTID_hydstra,station,Rain_Gage_Total,Composite Begin,Composite End,Rain_Event_Total,RC_Event,RC_M,RC_CF,na.rm,RCandCF,RC_Mcf,RC_WMAcf,RC_WMAcf_M,Stormwater Volume (acre-ft)_RC,Stormwater Volume (acre-ft)_RC_M,Stormwater Volume (acre-ft)_RC_Event,Stormwater Volume (acre-ft)_RC_WMAcf,Stormwater Volume (acre-ft)_RC_WMAcf_M
COMM,10,Commercial,business,0.486,J03-9216-2,4378781.726,100.5233985,8.94903991,18,2024-01-21T10:47:00Z,3251005,Total,Grab,NA,NA,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=6700,>=1800,2200,>=34000,NA,NA,NA,NA,NA,NA,81,{937976FA-29DD-484B-8AA4-9F81D9CFC877},1123.28596907,495,495,29,8071.272419,495,{BDBAD671-CCD0-47D1-B121-7ED3242CBA94},J03P01in; 8x10 box channel in Crown Valley Park,29,SULPHURCREEK,20.56,NA,NA,NA,NA,0.37132378492851387,NA,TRUE,NA,NA,0.12161927879041888,0.07919136914043395,83.70382346297998,714.6361265412443,NA,20.946499262485943,152.40880222340905
COMM,10,Commercial,business,0.486,J03-9216-2,4378781.726,100.5233985,8.94903991,22,2024-01-21T10:47:00Z,3252003,Total,Composite,2024-01-20T10:17:00Z,2024-01-21T09:17:00Z,712914,<2,<2,<2,<2,<2,<2,<5,<5,<5,<5,<10,J2.55,J3.5,9.76,9.6199999999999992,6.24,<5,<5,<5,<5,J2.16,<4,<2,<2,<1,7.66,<2,<1,<5,J4.98,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,<20,<4,<2,<4,10.6,J1.75,<5,<5,J4.56,<5,<2,<5,<2,<10,<5,10.3,6.68,<10,17.2,<4,<6,J15.4,<2,<2,1.4,1.1000000000000001,67.9,2,12,8.5,288,680,0.75,28.9,110,0.14000000000000001,<0.05,8.1,1.4,<0.2,<0.2,9.1,50,0.11,110,1.7,1.2,0.19,H7.43,1,1070,200,H16.3,570,7.3,21,12,NA,NA,NA,NA,2.9,NA,NA,NA,NA,NA,81,{937976FA-29DD-484B-8AA4-9F81D9CFC877},1123.28596907,495,495,29,8071.272419,495,{BDBAD671-CCD0-47D1-B121-7ED3242CBA94},J03P01in; 8x10 box channel in Crown Valley Park,29,SULPHURCREEK,20.56,2024-01-20,2024-01-21,1.82,0.09606579832315541,0.37132378492851387,0.2587116748840899,TRUE,0.1257338739936677,NA,0.12161927879041888,0.07919136914043395,83.70382346297998,714.6361265412443,184.88470923016374,20.946499262485943,152.40880222340905
COMM,10,Commercial,business,0.486,J03-9216-2,4378781.726,100.5233985,8.94903991,26,2024-01-21T10:47:00Z,3252007,Dissolved,Composite,2024-01-20T10:17:00Z,2024-01-21T09:17:00Z,712914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,0.75,NA,0.77,7.3,NA,NA,38,<0.2,NA,81,NA,<0.05,6.8,1.4,<0.2,<0.2,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,{937976FA-29DD-484B-8AA4-9F81D9CFC877},1123.28596907,495,495,29,8071.272419,495,{BDBAD671-CCD0-47D1-B121-7ED3242CBA94},J03P01in; 8x10 box channel in Crown Valley Park,29,SULPHURCREEK,20.56,2024-01-20,2024-01-21,1.82,0.09606579832315541,0.37132378492851387,0.2587116748840899,TRUE,0.1257338739936677,NA,0.12161927879041888,0.07919136914043395,83.70382346297998,714.6361265412443,184.88470923016374,20.946499262485943,152.40880222340905
COMM,10,Commercial,business,0.486,J07-9109-4 (J07P02),1382206.191,31.73121487,8.034722212,19,2024-01-21T12:09:00Z,3251006,Total,Grab,NA,NA,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=6400,2400,4400,240000,NA,NA,NA,NA,NA,NA,336,{03BDF6DE-AEFE-4B0B-B433-05D6CB603581},394.92574829,299,299,30,12630.26776,299,{D0C41BF9-0216-43F4-8129-6EAC01EF1A03},J07P02,30,ELTORO,19.47,NA,NA,NA,NA,0.39812587475814387,NA,TRUE,NA,NA,0.12161927879041888,0.09143756505923496,25.021173517515447,255.10593298150886,NA,6.261434316234891,58.59017668259804
COMM,10,Commercial,business,0.486,J07-9109-4 (J07P02),1382206.191,31.73121487,8.034722212,23,2024-01-21T12:09:00Z,3252004,Total,Composite,2024-01-20T11:29:00Z,2024-01-21T10:29:00Z,968031.3,<2,<2,<2,<2,<2,<2,<5,J1.75,<5,J2.68,<10,J2.31,5.3,<5,14.7,6.07,<5,<5,<5,<5,J4.03,<4,<2,J1.48,<1,7.52,<2,<1,<5,7.47,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,<20,<4,<2,<4,10.5,<5,<5,<5,J4.71,<5,<2,<5,<2,<10,<5,20.5,8.99,<10,23.1,<4,<6,29.2,2.37,<2,4.2,3.3,44.2,2.5,21,11,152,1000,1.3,10.1,39,0.14000000000000001,<0.05,5.7,0.61,<0.2,<0.2,12,120,0.22,59,2.2,2.3,0.28,H7.55,1.3,630,91,H16.4,310,11,32,16,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,336,{03BDF6DE-AEFE-4B0B-B433-05D6CB603581},394.92574829,299,299,30,12630.26776,299,{D0C41BF9-0216-43F4-8129-6EAC01EF1A03},J07P02,30,ELTORO,19.47,2024-01-20,2024-01-21,2.52,0.2679580349998111,0.39812587475814387,0.6730485306000068,TRUE,0.3271015858716033,NA,0.12161927879041888,0.09143756505923496,25.021173517515447,255.10593298150886,171.69867334054834,6.261434316234891,58.59017668259804
COMM,10,Commercial,business,0.486,J07-9109-4 (J07P02),1382206.191,31.73121487,8.034722212,27,2024-01-21T12:09:00Z,3252008,Dissolved,Composite,2024-01-20T11:29:00Z,2024-01-21T10:29:00Z,968031.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,1,14,NA,NA,31,<0.2,NA,4.5999999999999996,NA,<0.05,4.2,0.52,<0.2,<0.2,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336,{03BDF6DE-AEFE-4B0B-B433-05D6CB603581},394.92574829,299,299,30,12630.26776,299,{D0C41BF9-0216-43F4-8129-6EAC01EF1A03},J07P02,30,ELTORO,19.47,2024-01-20,2024-01-21,2.52,0.2679580349998111,0.39812587475814387,0.6730485306000068,TRUE,0.3271015858716033,NA,0.12161927879041888,0.09143756505923496,25.021173517515447,255.10593298150886,171.69867334054834,6.261434316234891,58.59017668259804
COMM,10,Commercial,business,0.486,K01-12156-4,1262424.544,28.98139563,2.051496713,16,2024-01-21T10:23:00Z,3251003,Total,Grab,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,>=9000,2800,>=5100,>=59000,NA,NA,NA,NA,NA,NA,326,{69600548-71B3-42DD-82C0-FEECBD33EB65},1412.69395318,215,215,29,16023.70933,215,{309906B0-76A0-4415-BAED-B4E04CEE89DD},SCNK01; Salt Creek Corridor Regional Park (station on upstream side of tunnel).  RW that captures influence of upstream outfalls,29,SULPHURCREEK,20.56,NA,NA,NA,NA,0.31884533727982217,NA,TRUE,NA,NA,0.12161927879041888,0.06548683864112503,24.132228513188398,771.7382410235633,NA,6.038979891727481,158.50536844684177
COMM,10,Commercial,business,0.486,K01-12156-4,1262424.544,28.98139563,2.051496713,20,2024-01-22T10:00:00Z,3252001,Total,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,31974.9,<2,<2,<2,<2,<2,<2,<5,<5,<5,<5,<10,<5,<5,<5,<5,<5,<5,<5,<5,<5,<5,<4,<2,<2,<1,<5,<2,<1,<5,<5,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,<20,<4,<2,<4,<5,J1.08,<5,<5,<5,<5,<2,<5,<2,<10,<5,J4.47,J1.3,<10,J1.49,<4,<6,J10.7,<2,<2,1.4,0.23,118,1.1,5.8,7.1,493,440,0.23,48.2,48,7.0000000000000007E-2,<0.05,3.5,2.5,<0.2,<0.2,7.9,14,<0.1,190,0.93,0.8,0.18,H7.81,0.68,1900,410,H19.3,950,<5,11,6.8,NA,NA,NA,NA,1.73,NA,NA,NA,NA,NA,326,{69600548-71B3-42DD-82C0-FEECBD33EB65},1412.69395318,215,215,29,16023.70933,215,{309906B0-76A0-4415-BAED-B4E04CEE89DD},SCNK01; Salt Creek Corridor Regional Park (station on upstream side of tunnel).  RW that captures influence of upstream outfalls,29,SULPHURCREEK,20.56,2024-01-21,2024-01-22,3.76,0.001658313509399875,0.31884533727982217,0.005200996582065495,TRUE,0.0025276843388838304,NA,0.12161927879041888,0.06548683864112503,24.132228513188398,771.7382410235633,4.0138079538127895,6.038979891727481,158.50536844684177
COMM,10,Commercial,business,0.486,K01-12156-4,1262424.544,28.98139563,2.051496713,24,2024-01-22T10:00:00Z,3252005,Dissolved,Composite,2024-01-21T10:30:00Z,2024-01-22T06:30:00Z,31974.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,<0.2,NA,0.42,4.4,NA,NA,37,<0.2,NA,35,NA,<0.05,3,2.3,<0.2,<0.2,NA,<10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,326,{69600548-71B3-42DD-82C0-FEECBD33EB65},1412.69395318,215,215,29,16023.70933,215,{309906B0-76A0-4415-BAED-B4E04CEE89DD},SCNK01; Salt Creek Corridor Regional Park (station on upstream side of tunnel).  RW that captures influence of upstream outfalls,29,SULPHURCREEK,20.56,2024-01-21,2024-01-22,3.76,0.001658313509399875,0.31884533727982217,0.005200996582065495,TRUE,0.0025276843388838304,NA,0.12161927879041888,0.06548683864112503,24.132228513188398,771.7382410235633,4.0138079538127895,6.038979891727481,158.50536844684177
COMM,10,Commercial,business,0.486,L01-724-4 (L01P03),428563.1752,9.838496086,2.8132316,35,2024-02-21T09:00:00Z,3298002,Total,Composite,2024-02-20T10:22:00Z,2024-02-21T00:22:00Z,83750.4,<2,<2,<2,<2,<2,<2,<5,<5,<5,<5,<10,<5,<5,J1.19,J2.33,<5,<5,<5,<5,<5,J1.04,<4,<2,<2,<1,J2.92,<2,<1,<5,<5,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,<20,<4,<2,<4,J2.73,J1.54,<5,<5,J1.02,<5,<2,<5,<2,<10,<5,J4.73,J2.99,<10,J4.61,<4,<6,<25,<2,<2,2.4,0.35,76.9,3.4,9.8,6.7,316,1300,0.65,30,35,6.8000000000000005E-2,<0.05,4.5,1.9,<0.2,<0.2,6.8,37,<0.1,130,0.82,1.3,0.31,H8.03,1.3,1330,240,H18.1,690,6.3,27,21,NA,NA,NA,NA,2.12,NA,NA,NA,NA,NA,322,{4397F881-B343-464B-9EAA-09390E6E5C26},349.72191376,238,238,24,10843.46497,238,{1A565B60-44E0-4E2C-84FE-2362549F11C4},L01P03,24,PALISADES,19.47,2024-02-20,2024-02-21,2.6,0.025373715767409682,0.3532904558522492,0.07182111870585406,TRUE,0.03490506369104507,NA,0.12161927879041888,0.08232146070875104,7.757998511174009,200.4654147565765,14.39765034965035,1.9414036703418236,46.71115647474102
