Station,Collected Date,HSN,Fraction,Sample Type,Composite Start Time,Composite End Time,Parameter,Units,Qualifier,Result,LSPC_LU_DESC,RC_Group,EMC_Group,AREA,...1,EMC
J01-9046-2,2023-12-19T09:45:00Z,3209003,Total,Composite,2023-12-18T22:17:00Z,2023-12-19T07:17:00Z,"Copper, Total",mg/L,NA,0.099,EDU,Education,business,0.283630505,14,0.0254
J01-9046-2,2023-12-19T09:45:00Z,3209003,Total,Composite,2023-12-18T22:17:00Z,2023-12-19T07:17:00Z,"Copper, Total",mg/L,NA,0.099,UTIL,Commercial,business,0.035323499,14,0.0254
J01-9046-2,2023-12-19T09:45:00Z,3209003,Total,Composite,2023-12-18T22:17:00Z,2023-12-19T07:17:00Z,"Copper, Total",mg/L,NA,0.099,RESSFH,Single Family Residential,single family,23.15635728,32,0.0268
J01-9046-2,2023-12-19T09:45:00Z,3209003,Total,Composite,2023-12-18T22:17:00Z,2023-12-19T07:17:00Z,"Copper, Total",mg/L,NA,0.099,TRANS,Streets and Roads,surface street,10.7141188,50,0.0306
J01-9046-2,2023-12-19T09:45:00Z,3209003,Total,Composite,2023-12-18T22:17:00Z,2023-12-19T07:17:00Z,"Copper, Total",mg/L,NA,0.099,OSDEV,Developed Open Space,developed open space,8.336766718,59,0.0106
J01-9046-2,2023-12-19T09:45:00Z,3209003,Total,Composite,2023-12-18T22:17:00Z,2023-12-19T07:17:00Z,"Copper, Total",mg/L,NA,0.099,OSIRR,Developed Open Space,developed open space,0.005437836,59,0.0106
J01-9046-2,2023-12-19T09:45:00Z,3209003,Total,Composite,2023-12-18T22:17:00Z,2023-12-19T07:17:00Z,"Copper, Total",mg/L,NA,0.099,OSLOW,Open Space,open space,3.832187856,68,0.0106
J01-9046-2,2023-12-19T09:45:00Z,3209006,Dissolved,Composite,2023-12-18T22:17:00Z,2023-12-19T07:17:00Z,"Copper, Total",mg/L,NA,0.019,EDU,Education,business,0.283630505,17,0.0137
J01-9046-2,2023-12-19T09:45:00Z,3209006,Dissolved,Composite,2023-12-18T22:17:00Z,2023-12-19T07:17:00Z,"Copper, Total",mg/L,NA,0.019,UTIL,Commercial,business,0.035323499,17,0.0137
J01-9046-2,2023-12-19T09:45:00Z,3209006,Dissolved,Composite,2023-12-18T22:17:00Z,2023-12-19T07:17:00Z,"Copper, Total",mg/L,NA,0.019,RESSFH,Single Family Residential,single family,23.15635728,35,0.0148
J01-9046-2,2023-12-19T09:45:00Z,3209006,Dissolved,Composite,2023-12-18T22:17:00Z,2023-12-19T07:17:00Z,"Copper, Total",mg/L,NA,0.019,TRANS,Streets and Roads,surface street,10.7141188,53,0.0176
J01-9046-2,2023-12-19T09:45:00Z,3209006,Dissolved,Composite,2023-12-18T22:17:00Z,2023-12-19T07:17:00Z,"Copper, Total",mg/L,NA,0.019,OSDEV,Developed Open Space,developed open space,8.336766718,62,6e-4
J01-9046-2,2023-12-19T09:45:00Z,3209006,Dissolved,Composite,2023-12-18T22:17:00Z,2023-12-19T07:17:00Z,"Copper, Total",mg/L,NA,0.019,OSIRR,Developed Open Space,developed open space,0.005437836,62,6e-4
J01-9046-2,2023-12-19T09:45:00Z,3209006,Dissolved,Composite,2023-12-18T22:17:00Z,2023-12-19T07:17:00Z,"Copper, Total",mg/L,NA,0.019,OSLOW,Open Space,open space,3.832187856,71,6e-4
L01-728-5 (L01-DP),2023-12-21T09:00:00Z,3210001,Total,Composite,2023-12-20T04:24:00Z,2023-12-21T03:24:00Z,"Copper, Total",mg/L,NA,0.019,COMM,Commercial,business,11.56177355,14,0.0254
L01-728-5 (L01-DP),2023-12-21T09:00:00Z,3210001,Total,Composite,2023-12-20T04:24:00Z,2023-12-21T03:24:00Z,"Copper, Total",mg/L,NA,0.019,UTIL,Commercial,business,0.004106085,14,0.0254
L01-728-5 (L01-DP),2023-12-21T09:00:00Z,3210001,Total,Composite,2023-12-20T04:24:00Z,2023-12-21T03:24:00Z,"Copper, Total",mg/L,NA,0.019,RESSFH,Single Family Residential,single family,0.132567045,32,0.0268
L01-728-5 (L01-DP),2023-12-21T09:00:00Z,3210001,Total,Composite,2023-12-20T04:24:00Z,2023-12-21T03:24:00Z,"Copper, Total",mg/L,NA,0.019,RESMF,Multi-family Residential,multi-family,2.80773538,23,0.0243
L01-728-5 (L01-DP),2023-12-21T09:00:00Z,3210001,Total,Composite,2023-12-20T04:24:00Z,2023-12-21T03:24:00Z,"Copper, Total",mg/L,NA,0.019,TRANS,Streets and Roads,surface street,4.203289333,50,0.0306
L01-728-5 (L01-DP),2023-12-21T09:00:00Z,3210001,Total,Composite,2023-12-20T04:24:00Z,2023-12-21T03:24:00Z,"Copper, Total",mg/L,NA,0.019,OSDEV,Developed Open Space,developed open space,5.903704117,59,0.0106
L01-728-5 (L01-DP),2023-12-21T09:00:00Z,3210001,Total,Composite,2023-12-20T04:24:00Z,2023-12-21T03:24:00Z,"Copper, Total",mg/L,NA,0.019,OSIRR,Developed Open Space,developed open space,0.110569892,59,0.0106
J01-9273-1,2023-12-21T10:00:00Z,3210002,Total,Composite,2023-12-20T06:09:00Z,2023-12-21T02:09:00Z,"Copper, Total",mg/L,NA,0.01,RESMF,Multi-family Residential,multi-family,28.06454827,23,0.0243
J01-9273-1,2023-12-21T10:00:00Z,3210002,Total,Composite,2023-12-20T06:09:00Z,2023-12-21T02:09:00Z,"Copper, Total",mg/L,NA,0.01,TRANS,Streets and Roads,surface street,2.624744102,50,0.0306
