FACILITYID,LSPC_LU_EDIT,Shape_Area,AREA,PERCENTAGE
DP01-12022-1,OSDEV,15620.58523,0.358599294,3.919945989
DP01-12022-1,OSLOW,524.1486016,0.012032796,0.131533754
DP01-12022-1,RESSFH,382345.0736,8.777435116,95.94852026
DP01-12022-2,RESSFH,433609.4087,9.954302312,97.77052135
DP01-12022-2,RESSFL,9887.672736,0.226989732,2.229478648
DP02-12131-1,OSDEV,40738.28651,0.935226113,9.055079892
DP02-12131-1,OSLOW,12008.47255,0.275677699,2.669176533
DP02-12131-1,RESSFH,271011.3922,6.221590364,60.23890591
DP02-12131-1,TRANS,126136.1406,2.895698924,28.03684023
DP04-12015-1,EDU,88921.22439,2.041358588,1.141046575
DP04-12015-1,OSAGIR,529214.0783,12.14913212,6.790931135
DP04-12015-1,OSDEV,889285.9464,20.41527786,11.4114115
DP04-12015-1,OSFOR,26062.80816,0.59832214,0.334440716
DP04-12015-1,OSLOW,4678938.268,107.4140722,60.0406317
DP04-12015-1,RESMF,597811.0189,13.72390749,7.671174346
DP04-12015-1,RESSFH,870905.9932,19.99333051,11.175558
DP04-12015-1,TRANS,111813.7002,2.56689962,1.43480525
DP05-12190-1,OSDEV,450179.7453,10.33474624,20.27062826
DP05-12190-1,RESSFH,1630824.986,37.43873988,73.43255087
DP05-12190-1,TRANS,139842.6998,3.210359486,6.296816801
DP06-12106-1,COMM,762500.1619,17.5046651,26.3048681
DP06-12106-1,OSAGIR,41764.82193,0.958792217,1.440810359
DP06-12106-1,OSDEV,363387.4703,8.342261797,12.53620649
DP06-12106-1,OSIRR,16.47442703,0.000378202,0.000568338
DP06-12106-1,OSLOW,142889.3597,3.280301453,4.929422902
DP06-12106-1,RESMF,203952.1831,4.682116595,7.035979194
DP06-12106-1,RESSFH,773326.3995,17.75320231,26.6783536
DP06-12106-1,TRANS,610866.6863,14.02362557,21.07378911
I00-11437-1,COMM,129159.0956,2.9650967,0.489942642
I00-11437-1,EDU,531639.9404,12.20482247,2.016683965
I00-11437-1,OSAGIR,267537.8055,6.141847468,1.014858293
I00-11437-1,OSDEV,1179371.141,27.07474423,4.473740005
I00-11437-1,OSFOR,730137.0331,16.76170692,2.769648281
I00-11437-1,OSIRR,81054.85386,1.860770847,0.307467539
I00-11437-1,OSLOW,5832149.634,133.8882682,22.12324876
I00-11437-1,RESMF,5261.044972,0.120777457,0.019956862
I00-11437-1,RESSFH,14925169.59,342.6361179,56.61604389
I00-11437-1,TRANS,2539220.035,58.29270414,9.632091084
I00-11437-1,UTIL,141384.9137,3.245763986,0.536319164
I00-11453-1,COMM,94229.15962,2.163212501,0.632352154
I00-11453-1,EDU,1064948.81,24.44795845,7.146648417
I00-11453-1,OSDEV,578562.4992,13.28202051,3.882611755
I00-11453-1,OSLOW,2527136.087,58.01529374,16.95908098
I00-11453-1,RESMF,256128.5092,5.879925016,1.71882478
I00-11453-1,RESSFH,8379319.914,192.3634856,56.23186094
I00-11453-1,TRANS,2001049.181,45.93795192,13.42862195
I00-11468-1,COMM,115290.174,2.646708796,1.185074048
I00-11468-1,OSAGIR,63476.66508,1.457229545,0.652480137
I00-11468-1,OSDEV,468076.6603,10.74560451,4.811385771
I00-11468-1,OSFOR,650465.9466,14.93270313,6.686175291
I00-11468-1,OSLOW,4455675.449,102.2886426,45.80013335
I00-11468-1,RESMF,5261.044972,0.120777457,0.054078571
I00-11468-1,RESSFH,3131155.474,71.88172632,32.18531957
I00-11468-1,TRANS,839119.4338,19.26360859,8.625354877
I00-11518-1,COMM,236796.5229,5.436121903,0.842598966
I00-11518-1,EDU,531639.9404,12.20482247,1.891747643
I00-11518-1,OSAGIR,267537.8055,6.141847468,0.951986438
I00-11518-1,OSDEV,1233406.127,28.31522177,4.388859745
I00-11518-1,OSFOR,730137.0331,16.76170692,2.598064793
I00-11518-1,OSIRR,81054.85386,1.860770847,0.288419506
I00-11518-1,OSLOW,5834862.914,133.9505568,20.76233806
I00-11518-1,RESMF,112049.1241,2.572304232,0.39870719
I00-11518-1,RESSFH,15866872.32,364.2547243,56.45948705
I00-11518-1,TRANS,3067369.487,70.41739571,10.91469726
I00-11518-1,UTIL,141384.9137,3.245763986,0.50309346
I00-11518-2,COMM,577704.6989,13.262275,1.697945825
I00-11518-2,EDU,611.2280739,0.014031866,0.001796475
I00-11518-2,OSAGIR,245025.6665,5.625015301,0.720160851
I00-11518-2,OSDEV,1578134.012,36.2289718,4.638331768
I00-11518-2,OSFOR,735688.5792,16.88908584,2.162280062
I00-11518-2,OSIRR,80536.85019,1.848871676,0.2367078
I00-11518-2,OSLOW,6248745.933,143.4514677,18.36584001
I00-11518-2,RESMF,240392.258,5.518646877,0.706542688
I00-11518-2,RESSFH,19353792.68,444.301944,56.88319924
I00-11518-2,TRANS,4821724.705,110.6915681,14.17164747
I00-11518-2,UTIL,141384.9137,3.245751003,0.415547813
I01-11010-1,COMM,358420.1504,8.228227366,67.72712778
I01-11010-1,TRANS,170791.9479,3.920859299,32.27287323
I01-11010-2,COMM,93614.18434,2.149094555,9.801426694
I01-11010-2,OSDEV,44822.72403,1.028992271,4.692949544
I01-11010-2,OSLOW,948.8735148,0.021783226,0.099347276
I01-11010-2,RESMF,191386.6753,4.393651076,20.03822905
I01-11010-2,RESSFH,331210.9138,7.603586746,34.67785907
I01-11010-2,TRANS,293124.3899,6.729236969,30.69019123
I01-11015-1,COMM,58987.74735,1.354177762,53.49389734
I01-11015-1,OSDEV,19000.72019,0.43619826,17.23107969
I01-11015-1,TRANS,32281.57318,0.741085912,29.27501455
I01-11015-2,COMM,48457.19388,1.112428552,0.453352685
I01-11015-2,OSDEV,242456.3921,5.566055142,2.268357853
I01-11015-2,OSLOW,10073663.97,231.2604285,94.2465347
I01-11015-2,RESMF,7866.149779,0.180582673,0.073593616
I01-11015-2,RESSFH,128987.594,2.961159549,1.2067738
I01-11015-2,TRANS,68924.87518,1.582303739,0.644842895
I01-11015-2,UTIL,118274.4621,2.715218899,1.106544573
I01-11015-3,COMM,78512.24303,1.802393091,0.740187699
I01-11015-3,OSDEV,243369.6998,5.586999535,2.294409779
I01-11015-3,OSLOW,10135774.13,232.6853565,95.55675709
I01-11015-3,RESSFH,323.8212683,0.007433913,0.003052881
I01-11015-3,TRANS,49948.55985,1.146661153,0.470898654
I01-11015-3,UTIL,99143.65559,2.276025151,0.934693896
I01-11021-1,COMM,271150.7449,6.224789474,41.43139211
I01-11021-1,RESMF,55871.75322,1.282644093,8.537112878
I01-11021-1,RESSFH,128172.5795,2.942449315,19.58456135
I01-11021-1,TRANS,199262.2328,4.574449721,30.44694458
I01-11023-1,OSDEV,5789.339972,0.13290549,3.134480035
I01-11023-1,OSLOW,116559.802,2.675855561,63.10812184
I01-11023-1,TRANS,62349.42177,1.431351496,33.75739181
I01-11023-2,COMM,226942.1704,5.209896193,30.98257105
I01-11023-2,OSDEV,5862.68142,0.134589184,0.800384271
I01-11023-2,OSLOW,91994.51139,2.111911831,12.55926336
I01-11023-2,RESMF,11398.78912,0.261681238,1.556184085
I01-11023-2,RESSFH,351392.3512,8.06689065,47.9727433
